0,ap-pa,ce-ba,df-ba,ma-pi,mg-ba,mt-df,pa-to,pe-pb,pi-ce,pr-sp,rn-pb,ro-mt,se-ba,sp-mg,to-df
ap-ba,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ma-ba,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
mt-ba,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
pa-ba,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
pb-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe-ba,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pi-ba,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
pr-ba,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
rn-ba,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rn-ba,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ro-ba,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
se-ba,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
to-ba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
