Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,894493794.0
 6-1-2023,00:00:00 a 05:59:59,909536231.5
 6-1-2023,06:00:00 a 11:59:59,-1
 6-1-2023,12:00:00 a 17:59:59,877553632.5
 6-1-2023,18:00:00 a 23:59:59,903261596.5
 7-1-2023,00:00:00 a 05:59:59,895017249.5
 7-1-2023,06:00:00 a 11:59:59,891608675.0
 7-1-2023,12:00:00 a 17:59:59,906762035.0
 7-1-2023,18:00:00 a 23:59:59,900413629.0
 8-1-2023,00:00:00 a 05:59:59,895437295.0
 8-1-2023,06:00:00 a 11:59:59,897974814.0
 8-1-2023,12:00:00 a 17:59:59,889298728.0
 8-1-2023,18:00:00 a 23:59:59,908200886.0
 9-1-2023,00:00:00 a 05:59:59,902565416.5
 9-1-2023,06:00:00 a 11:59:59,890078130.0
 9-1-2023,12:00:00 a 17:59:59,801243081.0
 9-1-2023,18:00:00 a 23:59:59,-1
 10-1-2023,00:00:00 a 05:59:59,889297527.0
 10-1-2023,06:00:00 a 11:59:59,890406351.33
 10-1-2023,12:00:00 a 17:59:59,857368723.0
 10-1-2023,18:00:00 a 23:59:59,908646213.0
 11-1-2023,00:00:00 a 05:59:59,917662571.0
 11-1-2023,06:00:00 a 11:59:59,891137571.0
 11-1-2023,12:00:00 a 17:59:59,895116186.0
 11-1-2023,18:00:00 a 23:59:59,905211026.0
 12-1-2023,00:00:00 a 05:59:59,904973064.0
 12-1-2023,06:00:00 a 11:59:59,915381851.0
 12-1-2023,12:00:00 a 17:59:59,895120214.0
 12-1-2023,18:00:00 a 23:59:59,895834958.33
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,900254609.0
 13-1-2023,18:00:00 a 23:59:59,796659240.0
 14-1-2023,00:00:00 a 05:59:59,888198032.0
 14-1-2023,06:00:00 a 11:59:59,893166596.5
 14-1-2023,12:00:00 a 17:59:59,879123365.0
 14-1-2023,18:00:00 a 23:59:59,886021672.5
 15-1-2023,00:00:00 a 05:59:59,902248482.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,899238262.0
 15-1-2023,18:00:00 a 23:59:59,894752361.0
 16-1-2023,00:00:00 a 05:59:59,895042724.5
 16-1-2023,06:00:00 a 11:59:59,899993047.5
 16-1-2023,12:00:00 a 17:59:59,887941171.0
 16-1-2023,18:00:00 a 23:59:59,838913899.0
 17-1-2023,00:00:00 a 05:59:59,901802994.5
 17-1-2023,06:00:00 a 11:59:59,878758721.0
 17-1-2023,12:00:00 a 17:59:59,841509403.0
 17-1-2023,18:00:00 a 23:59:59,868327478.0
 18-1-2023,00:00:00 a 05:59:59,900020122.5
 18-1-2023,06:00:00 a 11:59:59,894070785.0
 18-1-2023,12:00:00 a 17:59:59,898132411.5
 18-1-2023,18:00:00 a 23:59:59,881776255.0
 19-1-2023,00:00:00 a 05:59:59,902771642.0
 19-1-2023,06:00:00 a 11:59:59,862324526.5
 19-1-2023,12:00:00 a 17:59:59,871132686.5
 19-1-2023,18:00:00 a 23:59:59,887932158.0
 20-1-2023,00:00:00 a 05:59:59,876610500.0
 20-1-2023,06:00:00 a 11:59:59,910048867.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,886256922.0
 21-1-2023,00:00:00 a 05:59:59,-1
 21-1-2023,06:00:00 a 11:59:59,898825458.0
 21-1-2023,12:00:00 a 17:59:59,884423903.0
 21-1-2023,18:00:00 a 23:59:59,885025455.0
 22-1-2023,00:00:00 a 05:59:59,899362960.0
 22-1-2023,06:00:00 a 11:59:59,889298194.0
 22-1-2023,12:00:00 a 17:59:59,903194333.5
 22-1-2023,18:00:00 a 23:59:59,912575282.0
 23-1-2023,00:00:00 a 05:59:59,895457040.5
 23-1-2023,06:00:00 a 11:59:59,917847161.0
 23-1-2023,12:00:00 a 17:59:59,933810664.0
 23-1-2023,18:00:00 a 23:59:59,919631865.5
 24-1-2023,00:00:00 a 05:59:59,913418526.0
 24-1-2023,06:00:00 a 11:59:59,884922098.0
 24-1-2023,12:00:00 a 17:59:59,884055707.0
 24-1-2023,18:00:00 a 23:59:59,905601965.5
 25-1-2023,00:00:00 a 05:59:59,919285843.0
 25-1-2023,06:00:00 a 11:59:59,907384924.0
 25-1-2023,12:00:00 a 17:59:59,825318637.0
 25-1-2023,18:00:00 a 23:59:59,915750229.0
 26-1-2023,00:00:00 a 05:59:59,904608595.0
 26-1-2023,06:00:00 a 11:59:59,894226596.0
 26-1-2023,12:00:00 a 17:59:59,864505908.5
 26-1-2023,18:00:00 a 23:59:59,901413676.0
 27-1-2023,00:00:00 a 05:59:59,921808692.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,922382230.0
 27-1-2023,18:00:00 a 23:59:59,837237390.0
 28-1-2023,00:00:00 a 05:59:59,917255989.0
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,887099997.0
 28-1-2023,18:00:00 a 23:59:59,905186988.0
 29-1-2023,00:00:00 a 05:59:59,921700331.0
 29-1-2023,06:00:00 a 11:59:59,903837301.0
 29-1-2023,12:00:00 a 17:59:59,898432405.0
 29-1-2023,18:00:00 a 23:59:59,914412666.0
 30-1-2023,00:00:00 a 05:59:59,921910185.0
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,833382435.0
 30-1-2023,18:00:00 a 23:59:59,759406807.5
 31-1-2023,00:00:00 a 05:59:59,894017596.0
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,868852099.0
 31-1-2023,18:00:00 a 23:59:59,893390548.0
 1-2-2023,00:00:00 a 05:59:59,912633734.0
 1-2-2023,06:00:00 a 11:59:59,-1
 1-2-2023,12:00:00 a 17:59:59,819514040.0
 1-2-2023,18:00:00 a 23:59:59,921016453.0
 2-2-2023,00:00:00 a 05:59:59,895277277.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,-1
 2-2-2023,18:00:00 a 23:59:59,-1
 3-2-2023,00:00:00 a 05:59:59,919676822.5
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,831573870.0
 3-2-2023,18:00:00 a 23:59:59,916774076.0
 4-2-2023,00:00:00 a 05:59:59,903303744.0
 4-2-2023,06:00:00 a 11:59:59,916451070.0
 4-2-2023,12:00:00 a 17:59:59,909221931.0
 4-2-2023,18:00:00 a 23:59:59,894857756.0
 5-2-2023,00:00:00 a 05:59:59,914308312.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,919760415.0
 5-2-2023,18:00:00 a 23:59:59,901199949.0
 6-2-2023,00:00:00 a 05:59:59,901359805.0
 6-2-2023,06:00:00 a 11:59:59,-1
 6-2-2023,12:00:00 a 17:59:59,828911305.0
 6-2-2023,18:00:00 a 23:59:59,872365511.0
 7-2-2023,00:00:00 a 05:59:59,890451407.0
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,918815868.0
 7-2-2023,18:00:00 a 23:59:59,911713875.5
 8-2-2023,00:00:00 a 05:59:59,900889430.0
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,-1
 8-2-2023,18:00:00 a 23:59:59,885238517.5
 9-2-2023,00:00:00 a 05:59:59,898239368.0
 9-2-2023,06:00:00 a 11:59:59,818734333.0
 9-2-2023,12:00:00 a 17:59:59,809188486.0
 9-2-2023,18:00:00 a 23:59:59,886411432.5
 10-2-2023,00:00:00 a 05:59:59,913362261.0
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,830167332.0
 10-2-2023,18:00:00 a 23:59:59,835660428.0
 11-2-2023,00:00:00 a 05:59:59,904504642.0
 11-2-2023,06:00:00 a 11:59:59,-1
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,910977833.0
 12-2-2023,00:00:00 a 05:59:59,903559249.0
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,912479852.0
 12-2-2023,18:00:00 a 23:59:59,913156290.0
 13-2-2023,00:00:00 a 05:59:59,918398503.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,891921332.0
 13-2-2023,18:00:00 a 23:59:59,911430598.0
 14-2-2023,00:00:00 a 05:59:59,901358182.0
 14-2-2023,06:00:00 a 11:59:59,-1
 14-2-2023,12:00:00 a 17:59:59,892446915.0
 14-2-2023,18:00:00 a 23:59:59,648483597.0
 15-2-2023,00:00:00 a 05:59:59,898003045.0
 15-2-2023,06:00:00 a 11:59:59,-1
 15-2-2023,12:00:00 a 17:59:59,879024337.0
 15-2-2023,18:00:00 a 23:59:59,879704814.0
 16-2-2023,00:00:00 a 05:59:59,901044195.0
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,837263100.0
 16-2-2023,18:00:00 a 23:59:59,-1
 17-2-2023,00:00:00 a 05:59:59,919288371.0
 17-2-2023,06:00:00 a 11:59:59,819989916.0
 17-2-2023,12:00:00 a 17:59:59,869118257.0
 17-2-2023,18:00:00 a 23:59:59,899356996.5
 18-2-2023,00:00:00 a 05:59:59,897898277.0
 18-2-2023,06:00:00 a 11:59:59,-1
 18-2-2023,12:00:00 a 17:59:59,898368161.0
 18-2-2023,18:00:00 a 23:59:59,910354776.0
 19-2-2023,00:00:00 a 05:59:59,916560556.0
 19-2-2023,06:00:00 a 11:59:59,-1
 19-2-2023,12:00:00 a 17:59:59,916506523.0
 19-2-2023,18:00:00 a 23:59:59,902458242.0
 20-2-2023,00:00:00 a 05:59:59,916586312.5
 20-2-2023,06:00:00 a 11:59:59,-1
 20-2-2023,12:00:00 a 17:59:59,901622897.0
 20-2-2023,18:00:00 a 23:59:59,915303775.0
 21-2-2023,00:00:00 a 05:59:59,904503376.0
 21-2-2023,06:00:00 a 11:59:59,-1
 21-2-2023,12:00:00 a 17:59:59,877031190.5
 21-2-2023,18:00:00 a 23:59:59,918268093.0
 22-2-2023,00:00:00 a 05:59:59,-1
 22-2-2023,06:00:00 a 11:59:59,917450251.0
 22-2-2023,12:00:00 a 17:59:59,888018207.0
 22-2-2023,18:00:00 a 23:59:59,904603492.0
 23-2-2023,00:00:00 a 05:59:59,922539563.0
 23-2-2023,06:00:00 a 11:59:59,-1
 23-2-2023,12:00:00 a 17:59:59,899888733.0
 23-2-2023,18:00:00 a 23:59:59,689334410.0
 24-2-2023,00:00:00 a 05:59:59,917188188.0
 24-2-2023,06:00:00 a 11:59:59,920494144.0
 24-2-2023,12:00:00 a 17:59:59,882326264.5
 24-2-2023,18:00:00 a 23:59:59,911424674.0
 25-2-2023,00:00:00 a 05:59:59,892812713.0
 25-2-2023,06:00:00 a 11:59:59,-1
 25-2-2023,12:00:00 a 17:59:59,916143828.0
 25-2-2023,18:00:00 a 23:59:59,883482601.5
 26-2-2023,00:00:00 a 05:59:59,918349426.0
 26-2-2023,06:00:00 a 11:59:59,-1
 26-2-2023,12:00:00 a 17:59:59,900292980.0
 26-2-2023,18:00:00 a 23:59:59,916711829.5
 27-2-2023,00:00:00 a 05:59:59,918664736.0
 27-2-2023,06:00:00 a 11:59:59,-1
 27-2-2023,12:00:00 a 17:59:59,-1
 27-2-2023,18:00:00 a 23:59:59,917187363.0
 28-2-2023,00:00:00 a 05:59:59,923377272.0
 28-2-2023,06:00:00 a 11:59:59,-1
 28-2-2023,12:00:00 a 17:59:59,897375964.0
 28-2-2023,18:00:00 a 23:59:59,877398512.0
 1-3-2023,00:00:00 a 05:59:59,909641772.0
 1-3-2023,06:00:00 a 11:59:59,-1
 1-3-2023,12:00:00 a 17:59:59,817156829.0
 1-3-2023,18:00:00 a 23:59:59,889636783.5
 2-3-2023,00:00:00 a 05:59:59,887988838.0
 2-3-2023,06:00:00 a 11:59:59,-1
 2-3-2023,12:00:00 a 17:59:59,825389569.0
 2-3-2023,18:00:00 a 23:59:59,907544161.0
 3-3-2023,00:00:00 a 05:59:59,916089933.0
 3-3-2023,06:00:00 a 11:59:59,-1
 3-3-2023,12:00:00 a 17:59:59,-1
 3-3-2023,18:00:00 a 23:59:59,859677913.0
 4-3-2023,00:00:00 a 05:59:59,902092142.0
 4-3-2023,06:00:00 a 11:59:59,-1
 4-3-2023,12:00:00 a 17:59:59,905868475.0
 4-3-2023,18:00:00 a 23:59:59,890902143.0
 5-3-2023,00:00:00 a 05:59:59,914933021.0
 5-3-2023,06:00:00 a 11:59:59,-1
 5-3-2023,12:00:00 a 17:59:59,902041653.0
 5-3-2023,18:00:00 a 23:59:59,904612741.5
 6-3-2023,00:00:00 a 05:59:59,910585856.0
 6-3-2023,06:00:00 a 11:59:59,900944247.0
 6-3-2023,12:00:00 a 17:59:59,920966741.0
 6-3-2023,18:00:00 a 23:59:59,868434021.0
 7-3-2023,00:00:00 a 05:59:59,909110263.0
 7-3-2023,06:00:00 a 11:59:59,-1
 7-3-2023,12:00:00 a 17:59:59,-1
 7-3-2023,18:00:00 a 23:59:59,861903571.5
 8-3-2023,00:00:00 a 05:59:59,919132555.0
 8-3-2023,06:00:00 a 11:59:59,-1
 8-3-2023,12:00:00 a 17:59:59,902568245.0
 8-3-2023,18:00:00 a 23:59:59,921279426.0
 9-3-2023,00:00:00 a 05:59:59,923171757.0
 9-3-2023,06:00:00 a 11:59:59,-1
 9-3-2023,12:00:00 a 17:59:59,894491468.0
 9-3-2023,18:00:00 a 23:59:59,893601968.0
 10-3-2023,00:00:00 a 05:59:59,918397769.0
 10-3-2023,06:00:00 a 11:59:59,-1
 10-3-2023,12:00:00 a 17:59:59,892865899.0
 10-3-2023,18:00:00 a 23:59:59,886573313.0
 11-3-2023,00:00:00 a 05:59:59,898840605.0
 11-3-2023,06:00:00 a 11:59:59,-1
 11-3-2023,12:00:00 a 17:59:59,891867297.0
 11-3-2023,18:00:00 a 23:59:59,888514161.0
 12-3-2023,00:00:00 a 05:59:59,895325319.0
 12-3-2023,06:00:00 a 11:59:59,920339940.0
 12-3-2023,12:00:00 a 17:59:59,-1
 12-3-2023,18:00:00 a 23:59:59,-1
 13-3-2023,00:00:00 a 05:59:59,905447005.0
 13-3-2023,06:00:00 a 11:59:59,-1
 13-3-2023,12:00:00 a 17:59:59,907125501.0
 13-3-2023,18:00:00 a 23:59:59,915608474.5
