Data,Intervalo,Vazao
4-1-2023,00:00:00 a 05:59:59,-1
 4-1-2023,06:00:00 a 11:59:59,-1
 4-1-2023,12:00:00 a 17:59:59,920327930.0
 4-1-2023,18:00:00 a 23:59:59,912315510.0
 6-1-2023,00:00:00 a 05:59:59,-1
 6-1-2023,06:00:00 a 11:59:59,-1
 6-1-2023,12:00:00 a 17:59:59,-1
 6-1-2023,18:00:00 a 23:59:59,922384905.0
 7-1-2023,00:00:00 a 05:59:59,-1
 7-1-2023,06:00:00 a 11:59:59,908487267.0
 7-1-2023,12:00:00 a 17:59:59,906181055.0
 7-1-2023,18:00:00 a 23:59:59,914437293.0
 8-1-2023,00:00:00 a 05:59:59,911159705.0
 8-1-2023,06:00:00 a 11:59:59,925735321.0
 8-1-2023,12:00:00 a 17:59:59,857936482.33
 8-1-2023,18:00:00 a 23:59:59,734347808.5
 9-1-2023,00:00:00 a 05:59:59,733744211.0
 9-1-2023,06:00:00 a 11:59:59,818939043.5
 9-1-2023,12:00:00 a 17:59:59,875692067.0
 9-1-2023,18:00:00 a 23:59:59,922274974.0
 10-1-2023,00:00:00 a 05:59:59,924526084.0
 10-1-2023,06:00:00 a 11:59:59,925023053.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,906601779.0
 11-1-2023,00:00:00 a 05:59:59,924165414.0
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,-1
 11-1-2023,18:00:00 a 23:59:59,909225295.0
 12-1-2023,00:00:00 a 05:59:59,916221980.0
 12-1-2023,06:00:00 a 11:59:59,910532153.0
 12-1-2023,12:00:00 a 17:59:59,-1
 12-1-2023,18:00:00 a 23:59:59,836004449.5
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,915985209.0
 13-1-2023,12:00:00 a 17:59:59,746011670.0
 13-1-2023,18:00:00 a 23:59:59,909204848.33
 14-1-2023,00:00:00 a 05:59:59,911376893.0
 14-1-2023,06:00:00 a 11:59:59,915722084.5
 14-1-2023,12:00:00 a 17:59:59,912944474.0
 14-1-2023,18:00:00 a 23:59:59,913100766.67
 15-1-2023,00:00:00 a 05:59:59,912101507.0
 15-1-2023,06:00:00 a 11:59:59,910586722.0
 15-1-2023,12:00:00 a 17:59:59,919861786.67
 15-1-2023,18:00:00 a 23:59:59,922641930.0
 16-1-2023,00:00:00 a 05:59:59,911346054.0
 16-1-2023,06:00:00 a 11:59:59,917429561.0
 16-1-2023,12:00:00 a 17:59:59,911004559.0
 16-1-2023,18:00:00 a 23:59:59,915407545.0
 17-1-2023,00:00:00 a 05:59:59,906260332.0
 17-1-2023,06:00:00 a 11:59:59,925317417.0
 17-1-2023,12:00:00 a 17:59:59,911397184.0
 17-1-2023,18:00:00 a 23:59:59,924371294.0
 18-1-2023,00:00:00 a 05:59:59,924132496.0
 18-1-2023,06:00:00 a 11:59:59,906994634.5
 18-1-2023,12:00:00 a 17:59:59,918766506.0
 18-1-2023,18:00:00 a 23:59:59,912001940.0
 19-1-2023,00:00:00 a 05:59:59,907411839.0
 19-1-2023,06:00:00 a 11:59:59,912605230.5
 19-1-2023,12:00:00 a 17:59:59,-1
 19-1-2023,18:00:00 a 23:59:59,909694817.0
 20-1-2023,00:00:00 a 05:59:59,909080425.5
 20-1-2023,06:00:00 a 11:59:59,911528985.0
 20-1-2023,12:00:00 a 17:59:59,918134386.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,-1
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,924478555.0
 21-1-2023,18:00:00 a 23:59:59,917543594.5
 22-1-2023,00:00:00 a 05:59:59,905759450.0
 22-1-2023,06:00:00 a 11:59:59,-1
 22-1-2023,12:00:00 a 17:59:59,911740980.0
 22-1-2023,18:00:00 a 23:59:59,907729754.0
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,923218415.5
 23-1-2023,18:00:00 a 23:59:59,735728273.0
 24-1-2023,00:00:00 a 05:59:59,916533604.5
 24-1-2023,06:00:00 a 11:59:59,924427837.0
 24-1-2023,12:00:00 a 17:59:59,912372136.0
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,905114465.0
 25-1-2023,06:00:00 a 11:59:59,412196771.0
 25-1-2023,12:00:00 a 17:59:59,238184002.0
 25-1-2023,18:00:00 a 23:59:59,-1
 26-1-2023,00:00:00 a 05:59:59,936172326.0
 26-1-2023,06:00:00 a 11:59:59,925518341.0
 26-1-2023,12:00:00 a 17:59:59,707763568.0
 26-1-2023,18:00:00 a 23:59:59,872943142.0
 27-1-2023,00:00:00 a 05:59:59,922433230.0
 27-1-2023,06:00:00 a 11:59:59,921228241.0
 27-1-2023,12:00:00 a 17:59:59,915932418.0
 27-1-2023,18:00:00 a 23:59:59,911555449.5
 28-1-2023,00:00:00 a 05:59:59,921064599.0
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,918211159.5
 28-1-2023,18:00:00 a 23:59:59,925605683.5
 29-1-2023,00:00:00 a 05:59:59,925163323.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,911214594.0
 29-1-2023,18:00:00 a 23:59:59,912948491.0
 30-1-2023,00:00:00 a 05:59:59,922432487.5
 30-1-2023,06:00:00 a 11:59:59,924399634.0
 30-1-2023,12:00:00 a 17:59:59,-1
 30-1-2023,18:00:00 a 23:59:59,923537975.0
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,728368629.5
 31-1-2023,12:00:00 a 17:59:59,925118732.0
 31-1-2023,18:00:00 a 23:59:59,918320586.5
 1-2-2023,00:00:00 a 05:59:59,910272375.0
 1-2-2023,06:00:00 a 11:59:59,925630227.0
 1-2-2023,12:00:00 a 17:59:59,867332375.5
 1-2-2023,18:00:00 a 23:59:59,908017519.0
 2-2-2023,00:00:00 a 05:59:59,915857031.5
 2-2-2023,06:00:00 a 11:59:59,907599585.0
 2-2-2023,12:00:00 a 17:59:59,922386704.0
 2-2-2023,18:00:00 a 23:59:59,907860254.5
 3-2-2023,00:00:00 a 05:59:59,-1
 3-2-2023,06:00:00 a 11:59:59,924113494.0
 3-2-2023,12:00:00 a 17:59:59,908644350.0
 3-2-2023,18:00:00 a 23:59:59,-1
 4-2-2023,00:00:00 a 05:59:59,914516910.0
 4-2-2023,06:00:00 a 11:59:59,921439477.0
 4-2-2023,12:00:00 a 17:59:59,914253844.0
 4-2-2023,18:00:00 a 23:59:59,906260220.5
 5-2-2023,00:00:00 a 05:59:59,-1
 5-2-2023,06:00:00 a 11:59:59,913862141.5
 5-2-2023,12:00:00 a 17:59:59,908918765.0
 5-2-2023,18:00:00 a 23:59:59,914753176.0
 6-2-2023,00:00:00 a 05:59:59,922746464.0
 6-2-2023,06:00:00 a 11:59:59,906392312.0
 6-2-2023,12:00:00 a 17:59:59,912412804.5
 6-2-2023,18:00:00 a 23:59:59,905603024.0
 7-2-2023,00:00:00 a 05:59:59,911426041.0
 7-2-2023,06:00:00 a 11:59:59,912629581.0
 7-2-2023,12:00:00 a 17:59:59,922122759.0
 7-2-2023,18:00:00 a 23:59:59,910846179.0
 8-2-2023,00:00:00 a 05:59:59,925633148.0
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,909799559.0
 8-2-2023,18:00:00 a 23:59:59,921650253.0
 9-2-2023,00:00:00 a 05:59:59,914277875.5
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,910899838.0
 9-2-2023,18:00:00 a 23:59:59,915016480.5
 10-2-2023,00:00:00 a 05:59:59,919653166.0
 10-2-2023,06:00:00 a 11:59:59,910213939.0
 10-2-2023,12:00:00 a 17:59:59,918817571.0
 10-2-2023,18:00:00 a 23:59:59,923431825.5
 11-2-2023,00:00:00 a 05:59:59,911787391.0
 11-2-2023,06:00:00 a 11:59:59,924106840.0
 11-2-2023,12:00:00 a 17:59:59,924035081.0
 11-2-2023,18:00:00 a 23:59:59,912369350.5
 12-2-2023,00:00:00 a 05:59:59,912105429.0
 12-2-2023,06:00:00 a 11:59:59,912786503.0
 12-2-2023,12:00:00 a 17:59:59,911005652.0
 12-2-2023,18:00:00 a 23:59:59,923326689.5
 13-2-2023,00:00:00 a 05:59:59,909118119.0
 13-2-2023,06:00:00 a 11:59:59,911371583.0
 13-2-2023,12:00:00 a 17:59:59,921070908.0
 13-2-2023,18:00:00 a 23:59:59,922485704.0
 14-2-2023,00:00:00 a 05:59:59,912158862.0
 14-2-2023,06:00:00 a 11:59:59,908540946.0
 14-2-2023,12:00:00 a 17:59:59,-1
 14-2-2023,18:00:00 a 23:59:59,-1
 15-2-2023,00:00:00 a 05:59:59,926260396.0
 15-2-2023,06:00:00 a 11:59:59,-1
