Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,658400837.0
 9-1-2023,18:00:00 a 23:59:59,711704970.0
 10-1-2023,00:00:00 a 05:59:59,837394259.0
 10-1-2023,06:00:00 a 11:59:59,901674785.0
 10-1-2023,12:00:00 a 17:59:59,735105417.0
 10-1-2023,18:00:00 a 23:59:59,849139816.5
 11-1-2023,00:00:00 a 05:59:59,875091288.0
 11-1-2023,06:00:00 a 11:59:59,894069622.0
 11-1-2023,12:00:00 a 17:59:59,711432691.0
 11-1-2023,18:00:00 a 23:59:59,623622933.0
 12-1-2023,00:00:00 a 05:59:59,901669031.5
 12-1-2023,06:00:00 a 11:59:59,825703505.5
 12-1-2023,12:00:00 a 17:59:59,789313754.0
 12-1-2023,18:00:00 a 23:59:59,741556766.0
 13-1-2023,00:00:00 a 05:59:59,906103953.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,731277341.0
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,903587191.0
 14-1-2023,18:00:00 a 23:59:59,859309922.0
 15-1-2023,00:00:00 a 05:59:59,903139929.5
 15-1-2023,06:00:00 a 11:59:59,882377145.0
 15-1-2023,12:00:00 a 17:59:59,844153226.0
 15-1-2023,18:00:00 a 23:59:59,850817138.5
 16-1-2023,00:00:00 a 05:59:59,920911503.0
 16-1-2023,06:00:00 a 11:59:59,859469057.0
 16-1-2023,12:00:00 a 17:59:59,663461436.0
 16-1-2023,18:00:00 a 23:59:59,720557299.5
 17-1-2023,00:00:00 a 05:59:59,868380776.0
 17-1-2023,06:00:00 a 11:59:59,755140260.0
 17-1-2023,12:00:00 a 17:59:59,845202825.0
 17-1-2023,18:00:00 a 23:59:59,-1
 18-1-2023,00:00:00 a 05:59:59,891555310.0
 18-1-2023,06:00:00 a 11:59:59,911807680.0
 18-1-2023,12:00:00 a 17:59:59,550818514.5
 18-1-2023,18:00:00 a 23:59:59,780981864.0
 19-1-2023,00:00:00 a 05:59:59,804020780.0
 19-1-2023,06:00:00 a 11:59:59,707268366.0
 19-1-2023,12:00:00 a 17:59:59,719328530.0
 19-1-2023,18:00:00 a 23:59:59,796919035.0
 20-1-2023,00:00:00 a 05:59:59,896760119.0
 20-1-2023,06:00:00 a 11:59:59,914989247.0
 20-1-2023,12:00:00 a 17:59:59,804756567.0
 20-1-2023,18:00:00 a 23:59:59,854198439.5
 21-1-2023,00:00:00 a 05:59:59,906599897.0
 21-1-2023,06:00:00 a 11:59:59,897006183.5
 21-1-2023,12:00:00 a 17:59:59,818361712.0
 21-1-2023,18:00:00 a 23:59:59,914937001.0
 22-1-2023,00:00:00 a 05:59:59,890058380.5
 22-1-2023,06:00:00 a 11:59:59,910844813.0
 22-1-2023,12:00:00 a 17:59:59,907124821.0
 22-1-2023,18:00:00 a 23:59:59,907438455.0
 23-1-2023,00:00:00 a 05:59:59,895275755.0
 23-1-2023,06:00:00 a 11:59:59,875665117.0
 23-1-2023,12:00:00 a 17:59:59,793197265.5
 23-1-2023,18:00:00 a 23:59:59,887934467.0
 24-1-2023,00:00:00 a 05:59:59,902955708.5
 24-1-2023,06:00:00 a 11:59:59,705063771.0
 24-1-2023,12:00:00 a 17:59:59,638718742.0
