Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,810918621.0
 5-1-2023,06:00:00 a 11:59:59,915779802.0
 5-1-2023,12:00:00 a 17:59:59,831800051.0
 5-1-2023,18:00:00 a 23:59:59,916849924.0
 6-1-2023,00:00:00 a 05:59:59,-1
 6-1-2023,06:00:00 a 11:59:59,874921055.5
 6-1-2023,12:00:00 a 17:59:59,908647985.0
 6-1-2023,18:00:00 a 23:59:59,918868021.0
 7-1-2023,00:00:00 a 05:59:59,925264665.0
 7-1-2023,06:00:00 a 11:59:59,921619873.0
 7-1-2023,12:00:00 a 17:59:59,921277952.0
 7-1-2023,18:00:00 a 23:59:59,916953920.0
 8-1-2023,00:00:00 a 05:59:59,919632156.5
 8-1-2023,06:00:00 a 11:59:59,919944745.0
 8-1-2023,12:00:00 a 17:59:59,911424173.0
 8-1-2023,18:00:00 a 23:59:59,921017926.0
 9-1-2023,00:00:00 a 05:59:59,921961369.0
 9-1-2023,06:00:00 a 11:59:59,736834465.0
 9-1-2023,12:00:00 a 17:59:59,919286257.0
 9-1-2023,18:00:00 a 23:59:59,917404233.0
 10-1-2023,00:00:00 a 05:59:59,916598165.33
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,922118195.0
 10-1-2023,18:00:00 a 23:59:59,919129982.0
 11-1-2023,00:00:00 a 05:59:59,918447580.0
 11-1-2023,06:00:00 a 11:59:59,912604784.5
 11-1-2023,12:00:00 a 17:59:59,918554229.0
 11-1-2023,18:00:00 a 23:59:59,915355128.0
 12-1-2023,00:00:00 a 05:59:59,911633296.0
 12-1-2023,06:00:00 a 11:59:59,885575790.0
 12-1-2023,12:00:00 a 17:59:59,887617026.5
 12-1-2023,18:00:00 a 23:59:59,910847637.0
 13-1-2023,00:00:00 a 05:59:59,920122817.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,914044545.5
 13-1-2023,18:00:00 a 23:59:59,914360969.0
 14-1-2023,00:00:00 a 05:59:59,903742137.0
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,913232010.5
 14-1-2023,18:00:00 a 23:59:59,906445455.5
 15-1-2023,00:00:00 a 05:59:59,-1
 15-1-2023,06:00:00 a 11:59:59,905129852.0
 15-1-2023,12:00:00 a 17:59:59,922436698.5
 15-1-2023,18:00:00 a 23:59:59,924427115.0
 16-1-2023,00:00:00 a 05:59:59,905762983.0
 16-1-2023,06:00:00 a 11:59:59,748474222.0
 16-1-2023,12:00:00 a 17:59:59,921168074.0
 16-1-2023,18:00:00 a 23:59:59,908986801.0
 17-1-2023,00:00:00 a 05:59:59,915197636.0
 17-1-2023,06:00:00 a 11:59:59,913833390.0
 17-1-2023,12:00:00 a 17:59:59,915170305.5
 17-1-2023,18:00:00 a 23:59:59,921829866.0
 18-1-2023,00:00:00 a 05:59:59,909876766.0
 18-1-2023,06:00:00 a 11:59:59,915512392.0
 18-1-2023,12:00:00 a 17:59:59,903611316.0
 18-1-2023,18:00:00 a 23:59:59,918056845.0
 19-1-2023,00:00:00 a 05:59:59,828534639.0
 19-1-2023,06:00:00 a 11:59:59,927361588.0
 19-1-2023,12:00:00 a 17:59:59,890194247.0
 19-1-2023,18:00:00 a 23:59:59,913572570.0
 20-1-2023,00:00:00 a 05:59:59,916248778.0
 20-1-2023,06:00:00 a 11:59:59,909407530.0
 20-1-2023,12:00:00 a 17:59:59,917400416.0
 20-1-2023,18:00:00 a 23:59:59,913495159.0
 21-1-2023,00:00:00 a 05:59:59,904239061.0
 21-1-2023,06:00:00 a 11:59:59,917531156.0
 21-1-2023,12:00:00 a 17:59:59,886832575.0
 21-1-2023,18:00:00 a 23:59:59,923953895.0
 22-1-2023,00:00:00 a 05:59:59,915720688.0
 22-1-2023,06:00:00 a 11:59:59,922274882.0
 22-1-2023,12:00:00 a 17:59:59,840398576.0
 22-1-2023,18:00:00 a 23:59:59,910924615.0
 23-1-2023,00:00:00 a 05:59:59,899079285.0
 23-1-2023,06:00:00 a 11:59:59,914516152.0
 23-1-2023,12:00:00 a 17:59:59,912708227.5
 23-1-2023,18:00:00 a 23:59:59,920703031.0
 24-1-2023,00:00:00 a 05:59:59,919235918.5
 24-1-2023,06:00:00 a 11:59:59,832308240.0
 24-1-2023,12:00:00 a 17:59:59,918710987.0
 24-1-2023,18:00:00 a 23:59:59,916196120.0
 25-1-2023,00:00:00 a 05:59:59,909064917.0
 25-1-2023,06:00:00 a 11:59:59,909850850.0
 25-1-2023,12:00:00 a 17:59:59,777205502.0
 25-1-2023,18:00:00 a 23:59:59,914520679.0
 26-1-2023,00:00:00 a 05:59:59,918291028.0
 26-1-2023,06:00:00 a 11:59:59,918896206.5
 26-1-2023,12:00:00 a 17:59:59,932027989.0
 26-1-2023,18:00:00 a 23:59:59,862112663.0
 27-1-2023,00:00:00 a 05:59:59,848827577.0
 27-1-2023,06:00:00 a 11:59:59,917348724.5
 27-1-2023,12:00:00 a 17:59:59,911267797.0
 27-1-2023,18:00:00 a 23:59:59,919917518.0
 28-1-2023,00:00:00 a 05:59:59,-1
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,911874533.33
 28-1-2023,18:00:00 a 23:59:59,913049469.0
 29-1-2023,00:00:00 a 05:59:59,922958533.0
 29-1-2023,06:00:00 a 11:59:59,918403956.0
 29-1-2023,12:00:00 a 17:59:59,913206390.0
 29-1-2023,18:00:00 a 23:59:59,-1
 30-1-2023,00:00:00 a 05:59:59,918343228.0
 30-1-2023,06:00:00 a 11:59:59,890402494.5
 30-1-2023,12:00:00 a 17:59:59,921388338.0
 30-1-2023,18:00:00 a 23:59:59,910584991.0
 31-1-2023,00:00:00 a 05:59:59,920390667.0
 31-1-2023,06:00:00 a 11:59:59,917241122.0
 31-1-2023,12:00:00 a 17:59:59,918346547.5
 31-1-2023,18:00:00 a 23:59:59,921752056.0
 1-2-2023,00:00:00 a 05:59:59,910243508.0
 1-2-2023,06:00:00 a 11:59:59,919067765.0
 1-2-2023,12:00:00 a 17:59:59,915739859.0
 1-2-2023,18:00:00 a 23:59:59,921253810.5
 2-2-2023,00:00:00 a 05:59:59,917822060.0
 2-2-2023,06:00:00 a 11:59:59,881382716.0
 2-2-2023,12:00:00 a 17:59:59,892838238.0
 2-2-2023,18:00:00 a 23:59:59,-1
 3-2-2023,00:00:00 a 05:59:59,929458602.0
 3-2-2023,06:00:00 a 11:59:59,820720886.0
 3-2-2023,12:00:00 a 17:59:59,905345028.5
 3-2-2023,18:00:00 a 23:59:59,905761035.0
 4-2-2023,00:00:00 a 05:59:59,927935660.0
 4-2-2023,06:00:00 a 11:59:59,920233518.0
 4-2-2023,12:00:00 a 17:59:59,836528853.5
 4-2-2023,18:00:00 a 23:59:59,919445638.0
 5-2-2023,00:00:00 a 05:59:59,-1
 5-2-2023,06:00:00 a 11:59:59,910188224.0
 5-2-2023,12:00:00 a 17:59:59,903980305.0
 5-2-2023,18:00:00 a 23:59:59,924482623.0
 6-2-2023,00:00:00 a 05:59:59,913180518.5
 6-2-2023,06:00:00 a 11:59:59,913284803.0
 6-2-2023,12:00:00 a 17:59:59,922433367.0
 6-2-2023,18:00:00 a 23:59:59,912525566.0
 7-2-2023,00:00:00 a 05:59:59,921124488.0
 7-2-2023,06:00:00 a 11:59:59,917924853.0
 7-2-2023,12:00:00 a 17:59:59,907765133.0
 7-2-2023,18:00:00 a 23:59:59,925108905.0
 8-2-2023,00:00:00 a 05:59:59,899233372.5
 8-2-2023,06:00:00 a 11:59:59,892994563.5
 8-2-2023,12:00:00 a 17:59:59,917084707.0
 8-2-2023,18:00:00 a 23:59:59,917871506.0
 9-2-2023,00:00:00 a 05:59:59,913977753.5
 9-2-2023,06:00:00 a 11:59:59,725012441.0
 9-2-2023,12:00:00 a 17:59:59,854067258.0
 9-2-2023,18:00:00 a 23:59:59,924895304.0
 10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,926681310.0
 10-2-2023,12:00:00 a 17:59:59,924238109.0
 10-2-2023,18:00:00 a 23:59:59,932395830.0
 11-2-2023,00:00:00 a 05:59:59,898579538.5
 11-2-2023,06:00:00 a 11:59:59,914386496.0
 11-2-2023,12:00:00 a 17:59:59,907754324.5
 11-2-2023,18:00:00 a 23:59:59,-1
 12-2-2023,00:00:00 a 05:59:59,843712405.0
 12-2-2023,06:00:00 a 11:59:59,884526240.0
 12-2-2023,12:00:00 a 17:59:59,904504845.5
 12-2-2023,18:00:00 a 23:59:59,923276338.0
 13-2-2023,00:00:00 a 05:59:59,911685857.0
 13-2-2023,06:00:00 a 11:59:59,810863780.0
 13-2-2023,12:00:00 a 17:59:59,926001817.0
 13-2-2023,18:00:00 a 23:59:59,919412224.0
