Data,Intervalo,Vazao
31-3-2023,00:00:00 a 05:59:59,924012841.0
 31-3-2023,06:00:00 a 11:59:59,928727663.0
 31-3-2023,12:00:00 a 17:59:59,940626135.0
 31-3-2023,18:00:00 a 23:59:59,-1
 1-4-2023,00:00:00 a 05:59:59,933261410.0
 1-4-2023,06:00:00 a 11:59:59,934833680.0
 1-4-2023,12:00:00 a 17:59:59,929563878.0
 1-4-2023,18:00:00 a 23:59:59,-1
 2-4-2023,00:00:00 a 05:59:59,919184938.0
 2-4-2023,06:00:00 a 11:59:59,922170122.5
 2-4-2023,12:00:00 a 17:59:59,929613240.0
 2-4-2023,18:00:00 a 23:59:59,-1
 3-4-2023,00:00:00 a 05:59:59,919656339.0
 3-4-2023,06:00:00 a 11:59:59,930054538.5
 3-4-2023,12:00:00 a 17:59:59,929143518.0
 3-4-2023,18:00:00 a 23:59:59,-1
 4-4-2023,00:00:00 a 05:59:59,928776377.0
 4-4-2023,06:00:00 a 11:59:59,929410495.0
 4-4-2023,12:00:00 a 17:59:59,927996255.0
 4-4-2023,18:00:00 a 23:59:59,-1
 5-4-2023,00:00:00 a 05:59:59,940311797.0
 5-4-2023,06:00:00 a 11:59:59,923219339.0
 5-4-2023,12:00:00 a 17:59:59,927494004.5
 5-4-2023,18:00:00 a 23:59:59,-1
 6-4-2023,00:00:00 a 05:59:59,929036199.0
 6-4-2023,06:00:00 a 11:59:59,920337478.5
 6-4-2023,12:00:00 a 17:59:59,930884980.0
 6-4-2023,18:00:00 a 23:59:59,929985913.0
 7-4-2023,00:00:00 a 05:59:59,929878777.0
 7-4-2023,06:00:00 a 11:59:59,928120857.0
 7-4-2023,12:00:00 a 17:59:59,919151582.0
 7-4-2023,18:00:00 a 23:59:59,929249677.0
 8-4-2023,00:00:00 a 05:59:59,928460319.0
 8-4-2023,06:00:00 a 11:59:59,918606469.5
 8-4-2023,12:00:00 a 17:59:59,928909911.5
 8-4-2023,18:00:00 a 23:59:59,929565831.0
 9-4-2023,00:00:00 a 05:59:59,925373402.0
 9-4-2023,06:00:00 a 11:59:59,929725395.0
 9-4-2023,12:00:00 a 17:59:59,920236233.0
 9-4-2023,18:00:00 a 23:59:59,919078472.0
 10-4-2023,00:00:00 a 05:59:59,927731094.0
 10-4-2023,06:00:00 a 11:59:59,923272920.0
 10-4-2023,12:00:00 a 17:59:59,922880633.0
 10-4-2023,18:00:00 a 23:59:59,927570169.0
 11-4-2023,00:00:00 a 05:59:59,929458044.5
 11-4-2023,06:00:00 a 11:59:59,923980058.5
 11-4-2023,12:00:00 a 17:59:59,-1
 11-4-2023,18:00:00 a 23:59:59,929039590.0
 12-4-2023,00:00:00 a 05:59:59,935045707.5
 12-4-2023,06:00:00 a 11:59:59,928435822.0
 12-4-2023,12:00:00 a 17:59:59,918500882.0
 12-4-2023,18:00:00 a 23:59:59,-1
 13-4-2023,00:00:00 a 05:59:59,920652674.0
 13-4-2023,06:00:00 a 11:59:59,929514889.0
 13-4-2023,12:00:00 a 17:59:59,930825848.0
 13-4-2023,18:00:00 a 23:59:59,919234288.0
 14-4-2023,00:00:00 a 05:59:59,919339375.0
 14-4-2023,06:00:00 a 11:59:59,930434520.0
 14-4-2023,12:00:00 a 17:59:59,-1
 14-4-2023,18:00:00 a 23:59:59,-1
 15-4-2023,00:00:00 a 05:59:59,930244989.0
 15-4-2023,06:00:00 a 11:59:59,929381097.0
 15-4-2023,12:00:00 a 17:59:59,929772525.0
 15-4-2023,18:00:00 a 23:59:59,-1
 16-4-2023,00:00:00 a 05:59:59,929512100.0
 16-4-2023,06:00:00 a 11:59:59,931959152.5
 16-4-2023,12:00:00 a 17:59:59,928622341.0
 16-4-2023,18:00:00 a 23:59:59,-1
 17-4-2023,00:00:00 a 05:59:59,924214978.0
 17-4-2023,06:00:00 a 11:59:59,-1
 17-4-2023,12:00:00 a 17:59:59,-1
 17-4-2023,18:00:00 a 23:59:59,-1
 
