Data,Intervalo,Vazao
30-3-2023,00:00:00 a 05:59:59,-1
 30-3-2023,06:00:00 a 11:59:59,-1
 30-3-2023,12:00:00 a 17:59:59,932159454.0
 30-3-2023,18:00:00 a 23:59:59,923394541.67
 31-3-2023,00:00:00 a 05:59:59,928305725.0
 31-3-2023,06:00:00 a 11:59:59,915015003.5
 31-3-2023,12:00:00 a 17:59:59,928098329.0
 31-3-2023,18:00:00 a 23:59:59,-1
 1-4-2023,00:00:00 a 05:59:59,916772059.0
 1-4-2023,06:00:00 a 11:59:59,-1
 1-4-2023,12:00:00 a 17:59:59,917688438.5
 1-4-2023,18:00:00 a 23:59:59,925681781.0
 2-4-2023,00:00:00 a 05:59:59,917449461.0
 2-4-2023,06:00:00 a 11:59:59,935752918.0
 2-4-2023,12:00:00 a 17:59:59,927050445.0
 2-4-2023,18:00:00 a 23:59:59,-1
 3-4-2023,00:00:00 a 05:59:59,931505563.0
 3-4-2023,06:00:00 a 11:59:59,913982404.0
 3-4-2023,12:00:00 a 17:59:59,911949453.0
 3-4-2023,18:00:00 a 23:59:59,-1
 4-4-2023,00:00:00 a 05:59:59,927211533.0
 4-4-2023,06:00:00 a 11:59:59,914648979.0
 4-4-2023,12:00:00 a 17:59:59,924794839.0
 4-4-2023,18:00:00 a 23:59:59,-1
 5-4-2023,00:00:00 a 05:59:59,927778133.0
 5-4-2023,06:00:00 a 11:59:59,919340708.0
 5-4-2023,12:00:00 a 17:59:59,924951318.5
 5-4-2023,18:00:00 a 23:59:59,-1
 7-4-2023,00:00:00 a 05:59:59,920965674.5
 7-4-2023,06:00:00 a 11:59:59,918134890.0
 7-4-2023,12:00:00 a 17:59:59,928951485.0
 7-4-2023,18:00:00 a 23:59:59,928728128.0
 8-4-2023,00:00:00 a 05:59:59,913625776.0
 8-4-2023,06:00:00 a 11:59:59,923926067.5
 8-4-2023,12:00:00 a 17:59:59,929201940.0
 8-4-2023,18:00:00 a 23:59:59,-1
 9-4-2023,00:00:00 a 05:59:59,926149658.0
 9-4-2023,06:00:00 a 11:59:59,931191195.0
 9-4-2023,12:00:00 a 17:59:59,927788116.0
 9-4-2023,18:00:00 a 23:59:59,-1
 10-4-2023,00:00:00 a 05:59:59,924114048.0
 10-4-2023,06:00:00 a 11:59:59,932788194.5
 10-4-2023,12:00:00 a 17:59:59,926206347.0
 10-4-2023,18:00:00 a 23:59:59,-1
 11-4-2023,00:00:00 a 05:59:59,928252739.0
 11-4-2023,06:00:00 a 11:59:59,-1
 11-4-2023,12:00:00 a 17:59:59,916509273.0
 11-4-2023,18:00:00 a 23:59:59,-1
 12-4-2023,00:00:00 a 05:59:59,-1
 12-4-2023,06:00:00 a 11:59:59,-1
 12-4-2023,12:00:00 a 17:59:59,920522096.0
 12-4-2023,18:00:00 a 23:59:59,-1
 13-4-2023,00:00:00 a 05:59:59,-1
 13-4-2023,06:00:00 a 11:59:59,924165858.5
 13-4-2023,12:00:00 a 17:59:59,929775546.0
 13-4-2023,18:00:00 a 23:59:59,-1
 14-4-2023,00:00:00 a 05:59:59,924900738.0
 14-4-2023,06:00:00 a 11:59:59,921753267.0
 14-4-2023,12:00:00 a 17:59:59,928094059.0
 14-4-2023,18:00:00 a 23:59:59,926366227.0
 15-4-2023,00:00:00 a 05:59:59,-1
 15-4-2023,06:00:00 a 11:59:59,934125913.5
 15-4-2023,12:00:00 a 17:59:59,929616819.0
 15-4-2023,18:00:00 a 23:59:59,-1
 16-4-2023,00:00:00 a 05:59:59,926683441.0
 16-4-2023,06:00:00 a 11:59:59,929961281.0
 16-4-2023,12:00:00 a 17:59:59,921177424.0
 16-4-2023,18:00:00 a 23:59:59,-1
 17-4-2023,00:00:00 a 05:59:59,918499504.0
 17-4-2023,06:00:00 a 11:59:59,917767337.0
 17-4-2023,12:00:00 a 17:59:59,-1
 17-4-2023,18:00:00 a 23:59:59,-1
 
