Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,898001743.0
 9-1-2023,18:00:00 a 23:59:59,897635459.0
 10-1-2023,00:00:00 a 05:59:59,914752653.5
 10-1-2023,06:00:00 a 11:59:59,914411752.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,880278143.0
 11-1-2023,00:00:00 a 05:59:59,913337827.5
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,835900286.0
 11-1-2023,18:00:00 a 23:59:59,-1
 12-1-2023,00:00:00 a 05:59:59,898762208.5
 12-1-2023,06:00:00 a 11:59:59,898736556.0
 12-1-2023,12:00:00 a 17:59:59,918029940.0
 12-1-2023,18:00:00 a 23:59:59,919811878.0
 13-1-2023,00:00:00 a 05:59:59,924190150.0
 13-1-2023,06:00:00 a 11:59:59,887960241.5
 13-1-2023,12:00:00 a 17:59:59,713871540.0
 13-1-2023,18:00:00 a 23:59:59,904059494.0
 14-1-2023,00:00:00 a 05:59:59,921907839.5
 14-1-2023,06:00:00 a 11:59:59,930716243.0
 14-1-2023,12:00:00 a 17:59:59,915004046.5
 14-1-2023,18:00:00 a 23:59:59,913681585.0
 15-1-2023,00:00:00 a 05:59:59,916636580.5
 15-1-2023,06:00:00 a 11:59:59,917609545.0
 15-1-2023,12:00:00 a 17:59:59,912367072.0
 15-1-2023,18:00:00 a 23:59:59,915146145.0
 16-1-2023,00:00:00 a 05:59:59,923146457.5
 16-1-2023,06:00:00 a 11:59:59,815768602.5
 16-1-2023,12:00:00 a 17:59:59,892916276.0
 16-1-2023,18:00:00 a 23:59:59,912314597.0
 17-1-2023,00:00:00 a 05:59:59,897635504.0
 17-1-2023,06:00:00 a 11:59:59,916159406.33
 17-1-2023,12:00:00 a 17:59:59,914473325.0
 17-1-2023,18:00:00 a 23:59:59,911242174.0
 18-1-2023,00:00:00 a 05:59:59,853279608.5
 18-1-2023,06:00:00 a 11:59:59,914202585.0
 18-1-2023,12:00:00 a 17:59:59,904478338.5
 18-1-2023,18:00:00 a 23:59:59,905681688.5
 19-1-2023,00:00:00 a 05:59:59,910794801.0
 19-1-2023,06:00:00 a 11:59:59,905894032.0
 19-1-2023,12:00:00 a 17:59:59,895484665.0
 19-1-2023,18:00:00 a 23:59:59,905553221.0
 20-1-2023,00:00:00 a 05:59:59,908278029.0
 20-1-2023,06:00:00 a 11:59:59,909562179.0
 20-1-2023,12:00:00 a 17:59:59,895643026.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,891761726.0
 21-1-2023,06:00:00 a 11:59:59,903663655.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,901331707.5
 22-1-2023,00:00:00 a 05:59:59,903714547.0
 22-1-2023,06:00:00 a 11:59:59,901409800.0
 22-1-2023,12:00:00 a 17:59:59,900594996.0
 22-1-2023,18:00:00 a 23:59:59,914254305.5
 23-1-2023,00:00:00 a 05:59:59,917373984.0
 23-1-2023,06:00:00 a 11:59:59,894486728.0
 23-1-2023,12:00:00 a 17:59:59,894333824.0
 23-1-2023,18:00:00 a 23:59:59,839333717.67
 24-1-2023,00:00:00 a 05:59:59,898576169.0
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,902191948.0
 24-1-2023,18:00:00 a 23:59:59,-1
