Data,Intervalo,Vazao
4-1-2023,00:00:00 a 05:59:59,-1
 4-1-2023,06:00:00 a 11:59:59,-1
 4-1-2023,12:00:00 a 17:59:59,-1
 4-1-2023,18:00:00 a 23:59:59,917978613.0
 5-1-2023,00:00:00 a 05:59:59,915806039.0
 5-1-2023,06:00:00 a 11:59:59,918474667.5
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,914779257.0
 6-1-2023,00:00:00 a 05:59:59,-1
 6-1-2023,06:00:00 a 11:59:59,915775132.5
 6-1-2023,12:00:00 a 17:59:59,918133651.0
 6-1-2023,18:00:00 a 23:59:59,-1
 7-1-2023,00:00:00 a 05:59:59,912865374.5
 7-1-2023,06:00:00 a 11:59:59,918711975.0
 7-1-2023,12:00:00 a 17:59:59,913889520.0
 7-1-2023,18:00:00 a 23:59:59,916878612.5
 8-1-2023,00:00:00 a 05:59:59,919654960.0
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,920806738.0
 8-1-2023,18:00:00 a 23:59:59,-1
 9-1-2023,00:00:00 a 05:59:59,920859305.0
 9-1-2023,06:00:00 a 11:59:59,918894216.0
 9-1-2023,12:00:00 a 17:59:59,930881954.0
 9-1-2023,18:00:00 a 23:59:59,-1
 10-1-2023,00:00:00 a 05:59:59,917505238.0
 10-1-2023,06:00:00 a 11:59:59,918952384.0
 10-1-2023,12:00:00 a 17:59:59,902038676.0
 10-1-2023,18:00:00 a 23:59:59,916743459.5
 11-1-2023,00:00:00 a 05:59:59,904519492.5
 11-1-2023,06:00:00 a 11:59:59,910535035.0
 11-1-2023,12:00:00 a 17:59:59,836080526.0
 11-1-2023,18:00:00 a 23:59:59,922066827.0
 12-1-2023,00:00:00 a 05:59:59,919235528.5
 12-1-2023,06:00:00 a 11:59:59,921117534.0
 12-1-2023,12:00:00 a 17:59:59,914324779.0
 12-1-2023,18:00:00 a 23:59:59,920386801.0
 13-1-2023,00:00:00 a 05:59:59,913592717.0
 13-1-2023,06:00:00 a 11:59:59,920699725.5
 13-1-2023,12:00:00 a 17:59:59,921278873.0
 13-1-2023,18:00:00 a 23:59:59,927281544.0
 14-1-2023,00:00:00 a 05:59:59,919138292.0
 14-1-2023,06:00:00 a 11:59:59,919392677.0
 14-1-2023,12:00:00 a 17:59:59,923748292.0
 14-1-2023,18:00:00 a 23:59:59,922065470.0
 15-1-2023,00:00:00 a 05:59:59,921280117.0
 15-1-2023,06:00:00 a 11:59:59,908858337.0
 15-1-2023,12:00:00 a 17:59:59,913600914.0
 15-1-2023,18:00:00 a 23:59:59,907648747.0
 16-1-2023,00:00:00 a 05:59:59,912236588.5
 16-1-2023,06:00:00 a 11:59:59,-1
 16-1-2023,12:00:00 a 17:59:59,918527785.5
 16-1-2023,18:00:00 a 23:59:59,-1
 17-1-2023,00:00:00 a 05:59:59,909954525.0
 17-1-2023,06:00:00 a 11:59:59,925109468.5
 17-1-2023,12:00:00 a 17:59:59,876648513.0
 17-1-2023,18:00:00 a 23:59:59,917897450.5
 18-1-2023,00:00:00 a 05:59:59,-1
 18-1-2023,06:00:00 a 11:59:59,921018295.0
 18-1-2023,12:00:00 a 17:59:59,919707435.0
 18-1-2023,18:00:00 a 23:59:59,915565439.5
 19-1-2023,00:00:00 a 05:59:59,907544297.0
 19-1-2023,06:00:00 a 11:59:59,926710669.0
 19-1-2023,12:00:00 a 17:59:59,918343916.0
 19-1-2023,18:00:00 a 23:59:59,920810169.5
 20-1-2023,00:00:00 a 05:59:59,919918024.0
 20-1-2023,06:00:00 a 11:59:59,925933303.5
 20-1-2023,12:00:00 a 17:59:59,920050270.5
 20-1-2023,18:00:00 a 23:59:59,917243323.0
 21-1-2023,00:00:00 a 05:59:59,911134075.5
 21-1-2023,06:00:00 a 11:59:59,914255115.5
 21-1-2023,12:00:00 a 17:59:59,921722101.0
 21-1-2023,18:00:00 a 23:59:59,915906429.0
 22-1-2023,00:00:00 a 05:59:59,924530496.0
 22-1-2023,06:00:00 a 11:59:59,-1
 22-1-2023,12:00:00 a 17:59:59,-1
 22-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,904814330.0
 23-1-2023,12:00:00 a 17:59:59,609564128.0
 23-1-2023,18:00:00 a 23:59:59,919025813.0
 24-1-2023,00:00:00 a 05:59:59,922381077.0
 24-1-2023,06:00:00 a 11:59:59,920283370.0
 24-1-2023,12:00:00 a 17:59:59,-1
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,920546527.0
 25-1-2023,12:00:00 a 17:59:59,904294383.0
 25-1-2023,18:00:00 a 23:59:59,911633706.0
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,916039403.0
 26-1-2023,12:00:00 a 17:59:59,928725759.0
 26-1-2023,18:00:00 a 23:59:59,-1
 27-1-2023,00:00:00 a 05:59:59,916090850.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,917242819.0
 27-1-2023,18:00:00 a 23:59:59,-1
 28-1-2023,00:00:00 a 05:59:59,918347682.0
 28-1-2023,06:00:00 a 11:59:59,914989659.0
 28-1-2023,12:00:00 a 17:59:59,-1
 28-1-2023,18:00:00 a 23:59:59,908275395.0
 29-1-2023,00:00:00 a 05:59:59,918286804.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,932133685.0
 29-1-2023,18:00:00 a 23:59:59,909011307.0
 30-1-2023,00:00:00 a 05:59:59,931506308.0
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,879024117.0
 30-1-2023,18:00:00 a 23:59:59,917131266.0
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,917399325.5
 31-1-2023,18:00:00 a 23:59:59,905500249.0
 1-2-2023,00:00:00 a 05:59:59,917139538.0
 1-2-2023,06:00:00 a 11:59:59,918346763.0
 1-2-2023,12:00:00 a 17:59:59,-1
 1-2-2023,18:00:00 a 23:59:59,920493454.0
 2-2-2023,00:00:00 a 05:59:59,-1
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,889376216.0
 2-2-2023,18:00:00 a 23:59:59,-1
 3-2-2023,00:00:00 a 05:59:59,-1
 3-2-2023,06:00:00 a 11:59:59,913887692.0
 3-2-2023,12:00:00 a 17:59:59,-1
 3-2-2023,18:00:00 a 23:59:59,-1
 4-2-2023,00:00:00 a 05:59:59,919312931.0
 4-2-2023,06:00:00 a 11:59:59,918553586.0
 4-2-2023,12:00:00 a 17:59:59,917767750.0
 4-2-2023,18:00:00 a 23:59:59,-1
 5-2-2023,00:00:00 a 05:59:59,919682462.0
 5-2-2023,06:00:00 a 11:59:59,902774486.0
 5-2-2023,12:00:00 a 17:59:59,916615003.0
 5-2-2023,18:00:00 a 23:59:59,915592270.5
 6-2-2023,00:00:00 a 05:59:59,912447599.0
 6-2-2023,06:00:00 a 11:59:59,924270464.0
 6-2-2023,12:00:00 a 17:59:59,909930228.0
 6-2-2023,18:00:00 a 23:59:59,919235253.0
 7-2-2023,00:00:00 a 05:59:59,912289020.5
 7-2-2023,06:00:00 a 11:59:59,901959465.0
 7-2-2023,12:00:00 a 17:59:59,-1
 7-2-2023,18:00:00 a 23:59:59,913023413.0
 8-2-2023,00:00:00 a 05:59:59,919157667.5
 8-2-2023,06:00:00 a 11:59:59,895275771.0
 8-2-2023,12:00:00 a 17:59:59,773536023.0
 8-2-2023,18:00:00 a 23:59:59,918010672.67
 9-2-2023,00:00:00 a 05:59:59,905551908.0
 9-2-2023,06:00:00 a 11:59:59,901671764.5
 9-2-2023,12:00:00 a 17:59:59,912472451.5
 9-2-2023,18:00:00 a 23:59:59,-1
 10-2-2023,00:00:00 a 05:59:59,914569770.0
 10-2-2023,06:00:00 a 11:59:59,900047684.0
 10-2-2023,12:00:00 a 17:59:59,909607299.0
 10-2-2023,18:00:00 a 23:59:59,918973982.0
 11-2-2023,00:00:00 a 05:59:59,914940020.0
 11-2-2023,06:00:00 a 11:59:59,910060627.5
 11-2-2023,12:00:00 a 17:59:59,904657994.0
 11-2-2023,18:00:00 a 23:59:59,910585333.0
 12-2-2023,00:00:00 a 05:59:59,908331620.5
 12-2-2023,06:00:00 a 11:59:59,918345661.0
 12-2-2023,12:00:00 a 17:59:59,915566011.0
 12-2-2023,18:00:00 a 23:59:59,909485122.0
 13-2-2023,00:00:00 a 05:59:59,903720105.0
 13-2-2023,06:00:00 a 11:59:59,903742524.0
 13-2-2023,12:00:00 a 17:59:59,922696342.0
 13-2-2023,18:00:00 a 23:59:59,920074989.0
 14-2-2023,00:00:00 a 05:59:59,913129419.0
 14-2-2023,06:00:00 a 11:59:59,912376494.5
 14-2-2023,12:00:00 a 17:59:59,880596168.5
