Data,Intervalo,Vazao
10-1-2023,00:00:00 a 05:59:59,913253166.5
 10-1-2023,06:00:00 a 11:59:59,909932146.0
 10-1-2023,12:00:00 a 17:59:59,813800810.0
 10-1-2023,18:00:00 a 23:59:59,819594593.5
 11-1-2023,00:00:00 a 05:59:59,912449959.5
 11-1-2023,06:00:00 a 11:59:59,902300550.0
 11-1-2023,12:00:00 a 17:59:59,851182023.0
 11-1-2023,18:00:00 a 23:59:59,877239909.0
 12-1-2023,00:00:00 a 05:59:59,920000135.0
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,820995024.5
 12-1-2023,18:00:00 a 23:59:59,861408931.0
 13-1-2023,00:00:00 a 05:59:59,912604644.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,911162119.0
 13-1-2023,18:00:00 a 23:59:59,912769529.0
 14-1-2023,00:00:00 a 05:59:59,904877020.0
 14-1-2023,06:00:00 a 11:59:59,906639547.0
 14-1-2023,12:00:00 a 17:59:59,805829702.0
 14-1-2023,18:00:00 a 23:59:59,915828225.67
 15-1-2023,00:00:00 a 05:59:59,926108435.0
 15-1-2023,06:00:00 a 11:59:59,917033124.5
 15-1-2023,12:00:00 a 17:59:59,926418331.0
 15-1-2023,18:00:00 a 23:59:59,921957958.0
 16-1-2023,00:00:00 a 05:59:59,910585265.0
 16-1-2023,06:00:00 a 11:59:59,848593637.5
 16-1-2023,12:00:00 a 17:59:59,905573853.0
 16-1-2023,18:00:00 a 23:59:59,-1
 17-1-2023,00:00:00 a 05:59:59,909268995.0
 17-1-2023,06:00:00 a 11:59:59,914801972.5
 17-1-2023,12:00:00 a 17:59:59,890714138.0
 17-1-2023,18:00:00 a 23:59:59,-1
 18-1-2023,00:00:00 a 05:59:59,918397355.0
 18-1-2023,06:00:00 a 11:59:59,905291948.33
 18-1-2023,12:00:00 a 17:59:59,738878524.0
 18-1-2023,18:00:00 a 23:59:59,901910914.0
 19-1-2023,00:00:00 a 05:59:59,895449786.0
 19-1-2023,06:00:00 a 11:59:59,857737655.0
 19-1-2023,12:00:00 a 17:59:59,898209348.0
 19-1-2023,18:00:00 a 23:59:59,-1
 20-1-2023,00:00:00 a 05:59:59,916692729.0
 20-1-2023,06:00:00 a 11:59:59,910589909.0
 20-1-2023,12:00:00 a 17:59:59,912735261.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,917741568.0
 21-1-2023,06:00:00 a 11:59:59,908924496.0
 21-1-2023,12:00:00 a 17:59:59,924787950.0
 21-1-2023,18:00:00 a 23:59:59,-1
 22-1-2023,00:00:00 a 05:59:59,916399919.0
 22-1-2023,06:00:00 a 11:59:59,923218369.0
 22-1-2023,12:00:00 a 17:59:59,-1
 22-1-2023,18:00:00 a 23:59:59,913104089.0
 23-1-2023,00:00:00 a 05:59:59,915515778.0
 23-1-2023,06:00:00 a 11:59:59,910477539.0
 23-1-2023,12:00:00 a 17:59:59,925317973.0
 23-1-2023,18:00:00 a 23:59:59,912972606.5
 24-1-2023,00:00:00 a 05:59:59,926321347.0
 24-1-2023,06:00:00 a 11:59:59,860828381.0
 24-1-2023,12:00:00 a 17:59:59,868012731.0
 24-1-2023,18:00:00 a 23:59:59,910692713.0
 25-1-2023,00:00:00 a 05:59:59,909899367.0
 25-1-2023,06:00:00 a 11:59:59,926991433.5
 25-1-2023,12:00:00 a 17:59:59,746378598.0
 25-1-2023,18:00:00 a 23:59:59,900256005.0
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,922638623.0
 26-1-2023,12:00:00 a 17:59:59,797181817.0
 26-1-2023,18:00:00 a 23:59:59,914201396.0
 27-1-2023,00:00:00 a 05:59:59,913458096.0
 27-1-2023,06:00:00 a 11:59:59,924772367.0
 27-1-2023,12:00:00 a 17:59:59,841014754.0
 27-1-2023,18:00:00 a 23:59:59,924902241.0
 28-1-2023,00:00:00 a 05:59:59,912580438.0
 28-1-2023,06:00:00 a 11:59:59,923222062.0
 28-1-2023,12:00:00 a 17:59:59,906340114.0
 28-1-2023,18:00:00 a 23:59:59,915774353.0
 29-1-2023,00:00:00 a 05:59:59,916405744.0
 29-1-2023,06:00:00 a 11:59:59,926213571.0
 29-1-2023,12:00:00 a 17:59:59,926627028.0
 29-1-2023,18:00:00 a 23:59:59,913102994.0
 30-1-2023,00:00:00 a 05:59:59,-1
 30-1-2023,06:00:00 a 11:59:59,922092448.5
 30-1-2023,12:00:00 a 17:59:59,496658866.0
 30-1-2023,18:00:00 a 23:59:59,809921749.5
 31-1-2023,00:00:00 a 05:59:59,921069296.0
 31-1-2023,06:00:00 a 11:59:59,914887500.0
 31-1-2023,12:00:00 a 17:59:59,838174783.0
 31-1-2023,18:00:00 a 23:59:59,913162865.0
 1-2-2023,00:00:00 a 05:59:59,919001631.0
 1-2-2023,06:00:00 a 11:59:59,926367431.0
 1-2-2023,12:00:00 a 17:59:59,834615560.5
 1-2-2023,18:00:00 a 23:59:59,849553556.0
 2-2-2023,00:00:00 a 05:59:59,918395980.0
 2-2-2023,06:00:00 a 11:59:59,896273562.0
 2-2-2023,12:00:00 a 17:59:59,842166467.0
 2-2-2023,18:00:00 a 23:59:59,876663411.0
 3-2-2023,00:00:00 a 05:59:59,905802352.5
 3-2-2023,06:00:00 a 11:59:59,909220795.0
