Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,901410251.0
 9-1-2023,18:00:00 a 23:59:59,896848054.67
 10-1-2023,00:00:00 a 05:59:59,895484530.0
 10-1-2023,06:00:00 a 11:59:59,890349175.0
 10-1-2023,12:00:00 a 17:59:59,892079600.0
 10-1-2023,18:00:00 a 23:59:59,895997679.67
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,899571866.0
 11-1-2023,12:00:00 a 17:59:59,891290739.5
 11-1-2023,18:00:00 a 23:59:59,892025342.0
 12-1-2023,00:00:00 a 05:59:59,890345792.0
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,893541447.0
 12-1-2023,18:00:00 a 23:59:59,889666250.67
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,892890418.0
 13-1-2023,12:00:00 a 17:59:59,887227545.0
 13-1-2023,18:00:00 a 23:59:59,894802061.0
 14-1-2023,00:00:00 a 05:59:59,914936040.0
 14-1-2023,06:00:00 a 11:59:59,892024495.0
 14-1-2023,12:00:00 a 17:59:59,895068412.5
 14-1-2023,18:00:00 a 23:59:59,892339692.0
 15-1-2023,00:00:00 a 05:59:59,896950968.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,894432341.0
 15-1-2023,18:00:00 a 23:59:59,893755138.0
 16-1-2023,00:00:00 a 05:59:59,896272531.0
 16-1-2023,06:00:00 a 11:59:59,892810678.5
 16-1-2023,12:00:00 a 17:59:59,-1
 16-1-2023,18:00:00 a 23:59:59,893938395.5
 17-1-2023,00:00:00 a 05:59:59,892592066.0
 17-1-2023,06:00:00 a 11:59:59,891396507.0
 17-1-2023,12:00:00 a 17:59:59,893055465.0
 17-1-2023,18:00:00 a 23:59:59,894856995.0
 18-1-2023,00:00:00 a 05:59:59,894908574.0
 18-1-2023,06:00:00 a 11:59:59,887514632.0
 18-1-2023,12:00:00 a 17:59:59,902898892.0
 18-1-2023,18:00:00 a 23:59:59,865574369.0
 19-1-2023,00:00:00 a 05:59:59,896532435.0
 19-1-2023,06:00:00 a 11:59:59,893446225.0
 19-1-2023,12:00:00 a 17:59:59,893283814.0
 19-1-2023,18:00:00 a 23:59:59,895196485.5
 20-1-2023,00:00:00 a 05:59:59,892025476.0
 20-1-2023,06:00:00 a 11:59:59,892653505.5
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,894644570.5
 21-1-2023,00:00:00 a 05:59:59,-1
 21-1-2023,06:00:00 a 11:59:59,892366688.5
 21-1-2023,12:00:00 a 17:59:59,895143944.5
 21-1-2023,18:00:00 a 23:59:59,883269055.0
 22-1-2023,00:00:00 a 05:59:59,893541715.0
 22-1-2023,06:00:00 a 11:59:59,-1
 22-1-2023,12:00:00 a 17:59:59,-1
 22-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,896271744.0
 23-1-2023,18:00:00 a 23:59:59,894540185.0
 24-1-2023,00:00:00 a 05:59:59,898162171.5
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,892601525.0
 24-1-2023,18:00:00 a 23:59:59,896483323.0
