Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,926181614.5
 10-1-2023,00:00:00 a 05:59:59,923046546.0
 10-1-2023,06:00:00 a 11:59:59,922014282.5
 10-1-2023,12:00:00 a 17:59:59,930011036.5
 10-1-2023,18:00:00 a 23:59:59,919445106.0
 11-1-2023,00:00:00 a 05:59:59,922122554.5
 11-1-2023,06:00:00 a 11:59:59,921332454.0
 11-1-2023,12:00:00 a 17:59:59,916533733.0
 11-1-2023,18:00:00 a 23:59:59,922794999.0
 12-1-2023,00:00:00 a 05:59:59,922904997.0
 12-1-2023,06:00:00 a 11:59:59,902039533.0
 12-1-2023,12:00:00 a 17:59:59,908857065.0
 12-1-2023,18:00:00 a 23:59:59,929614787.0
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,922749186.0
 13-1-2023,18:00:00 a 23:59:59,936640371.0
 14-1-2023,00:00:00 a 05:59:59,916731759.5
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,923058842.5
 14-1-2023,18:00:00 a 23:59:59,909117892.0
 15-1-2023,00:00:00 a 05:59:59,923193978.5
 15-1-2023,06:00:00 a 11:59:59,937063596.0
 15-1-2023,12:00:00 a 17:59:59,916191790.0
 15-1-2023,18:00:00 a 23:59:59,922853444.0
 16-1-2023,00:00:00 a 05:59:59,-1
 16-1-2023,06:00:00 a 11:59:59,923895183.0
 16-1-2023,12:00:00 a 17:59:59,922647791.5
 16-1-2023,18:00:00 a 23:59:59,-1
 17-1-2023,00:00:00 a 05:59:59,922411691.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,-1
 17-1-2023,18:00:00 a 23:59:59,896600554.0
 18-1-2023,00:00:00 a 05:59:59,924269718.0
 18-1-2023,06:00:00 a 11:59:59,918029894.0
 18-1-2023,12:00:00 a 17:59:59,915697594.5
 18-1-2023,18:00:00 a 23:59:59,923464385.5
 19-1-2023,00:00:00 a 05:59:59,923426561.0
 19-1-2023,06:00:00 a 11:59:59,-1
 19-1-2023,12:00:00 a 17:59:59,-1
 19-1-2023,18:00:00 a 23:59:59,921174521.5
 20-1-2023,00:00:00 a 05:59:59,923458176.0
 20-1-2023,06:00:00 a 11:59:59,-1
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,909376353.0
 23-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,-1
 24-1-2023,06:00:00 a 11:59:59,920280392.0
 24-1-2023,12:00:00 a 17:59:59,915304617.0
 24-1-2023,18:00:00 a 23:59:59,922382461.0
 26-1-2023,00:00:00 a 05:59:59,924006603.0
 26-1-2023,06:00:00 a 11:59:59,-1
 26-1-2023,12:00:00 a 17:59:59,924214886.0
 26-1-2023,18:00:00 a 23:59:59,913679065.5
 27-1-2023,00:00:00 a 05:59:59,923694339.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,923116789.0
 27-1-2023,18:00:00 a 23:59:59,923117158.5
 28-1-2023,00:00:00 a 05:59:59,922539517.0
