Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,920753112.0
 9-1-2023,18:00:00 a 23:59:59,913493168.0
 10-1-2023,00:00:00 a 05:59:59,910220583.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,920389102.0
 10-1-2023,18:00:00 a 23:59:59,921805396.0
 11-1-2023,00:00:00 a 05:59:59,922224205.0
 11-1-2023,06:00:00 a 11:59:59,909851305.0
 11-1-2023,12:00:00 a 17:59:59,908093915.5
 11-1-2023,18:00:00 a 23:59:59,909425281.0
 12-1-2023,00:00:00 a 05:59:59,922591300.0
 12-1-2023,06:00:00 a 11:59:59,919396033.0
 12-1-2023,12:00:00 a 17:59:59,908645532.0
 12-1-2023,18:00:00 a 23:59:59,934598639.0
 13-1-2023,00:00:00 a 05:59:59,909380309.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,922905019.0
 14-1-2023,18:00:00 a 23:59:59,921017972.0
 15-1-2023,00:00:00 a 05:59:59,921595612.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,922483075.0
 15-1-2023,18:00:00 a 23:59:59,911110009.0
 16-1-2023,00:00:00 a 05:59:59,911479108.0
 16-1-2023,06:00:00 a 11:59:59,-1
 16-1-2023,12:00:00 a 17:59:59,915145477.0
 16-1-2023,18:00:00 a 23:59:59,918609414.0
 17-1-2023,00:00:00 a 05:59:59,923801091.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,921388384.0
 17-1-2023,18:00:00 a 23:59:59,908726741.5
 18-1-2023,00:00:00 a 05:59:59,909226705.0
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,910217124.0
 18-1-2023,18:00:00 a 23:59:59,922591807.0
 19-1-2023,00:00:00 a 05:59:59,908065590.0
 19-1-2023,06:00:00 a 11:59:59,922583181.0
 19-1-2023,12:00:00 a 17:59:59,915644380.0
 19-1-2023,18:00:00 a 23:59:59,909850941.0
 20-1-2023,00:00:00 a 05:59:59,908380071.0
 20-1-2023,06:00:00 a 11:59:59,908951119.0
 20-1-2023,12:00:00 a 17:59:59,913913677.5
 20-1-2023,18:00:00 a 23:59:59,921752299.0
 21-1-2023,00:00:00 a 05:59:59,913055606.5
 21-1-2023,06:00:00 a 11:59:59,913361576.0
 21-1-2023,12:00:00 a 17:59:59,917268815.5
 21-1-2023,18:00:00 a 23:59:59,911420117.0
 22-1-2023,00:00:00 a 05:59:59,910534247.0
 22-1-2023,06:00:00 a 11:59:59,910905395.0
 22-1-2023,12:00:00 a 17:59:59,922174727.0
 22-1-2023,18:00:00 a 23:59:59,909011988.0
 23-1-2023,00:00:00 a 05:59:59,909694292.0
 23-1-2023,06:00:00 a 11:59:59,907358393.0
 23-1-2023,12:00:00 a 17:59:59,909233956.0
 23-1-2023,18:00:00 a 23:59:59,909221567.0
 24-1-2023,00:00:00 a 05:59:59,920021916.0
 24-1-2023,06:00:00 a 11:59:59,919129063.0
 24-1-2023,12:00:00 a 17:59:59,-1
 24-1-2023,18:00:00 a 23:59:59,908627207.5
