Data,Intervalo,Vazao
10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,906504467.0
 11-2-2023,00:00:00 a 05:59:59,919445520.0
 11-2-2023,06:00:00 a 11:59:59,910847591.0
 11-2-2023,12:00:00 a 17:59:59,913660389.0
 11-2-2023,18:00:00 a 23:59:59,909537823.0
 12-2-2023,00:00:00 a 05:59:59,909279134.0
 12-2-2023,06:00:00 a 11:59:59,910849094.0
 12-2-2023,12:00:00 a 17:59:59,909746970.5
 12-2-2023,18:00:00 a 23:59:59,920023112.0
 13-2-2023,00:00:00 a 05:59:59,920080003.0
 13-2-2023,06:00:00 a 11:59:59,909012716.0
 13-2-2023,12:00:00 a 17:59:59,908376170.0
 13-2-2023,18:00:00 a 23:59:59,910004745.0
 14-2-2023,00:00:00 a 05:59:59,913705714.0
 14-2-2023,06:00:00 a 11:59:59,909431056.0
 14-2-2023,12:00:00 a 17:59:59,914386107.5
 14-2-2023,18:00:00 a 23:59:59,913049220.5
 15-2-2023,00:00:00 a 05:59:59,922631273.0
 15-2-2023,06:00:00 a 11:59:59,909586341.0
 15-2-2023,12:00:00 a 17:59:59,907596434.5
 15-2-2023,18:00:00 a 23:59:59,909745650.5
 16-2-2023,00:00:00 a 05:59:59,909720202.0
 16-2-2023,06:00:00 a 11:59:59,909744946.0
 16-2-2023,12:00:00 a 17:59:59,910591639.0
 16-2-2023,18:00:00 a 23:59:59,905317134.0
 17-2-2023,00:00:00 a 05:59:59,910429252.0
 17-2-2023,06:00:00 a 11:59:59,915672389.0
 17-2-2023,12:00:00 a 17:59:59,913600487.0
 17-2-2023,18:00:00 a 23:59:59,915610916.5
 18-2-2023,00:00:00 a 05:59:59,909846938.0
 18-2-2023,06:00:00 a 11:59:59,922488472.0
 18-2-2023,12:00:00 a 17:59:59,908092803.0
 18-2-2023,18:00:00 a 23:59:59,908433136.0
 19-2-2023,00:00:00 a 05:59:59,909091698.0
