Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,910847773.0
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,-1
 6-1-2023,00:00:00 a 05:59:59,907490462.0
 6-1-2023,06:00:00 a 11:59:59,-1
 6-1-2023,12:00:00 a 17:59:59,916196707.0
 6-1-2023,18:00:00 a 23:59:59,909484894.0
 7-1-2023,00:00:00 a 05:59:59,910323848.0
 7-1-2023,06:00:00 a 11:59:59,906866712.0
 7-1-2023,12:00:00 a 17:59:59,909795493.0
 7-1-2023,18:00:00 a 23:59:59,-1
 8-1-2023,00:00:00 a 05:59:59,921749027.0
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,907648837.0
 8-1-2023,18:00:00 a 23:59:59,920468412.5
 9-1-2023,00:00:00 a 05:59:59,905445194.0
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,896010093.5
 9-1-2023,18:00:00 a 23:59:59,-1
 10-1-2023,00:00:00 a 05:59:59,909323197.0
 10-1-2023,06:00:00 a 11:59:59,922432676.0
 10-1-2023,12:00:00 a 17:59:59,922171269.0
 10-1-2023,18:00:00 a 23:59:59,924006372.0
 11-1-2023,00:00:00 a 05:59:59,844209212.0
 11-1-2023,06:00:00 a 11:59:59,913000555.0
 11-1-2023,12:00:00 a 17:59:59,916272163.0
 11-1-2023,18:00:00 a 23:59:59,911792132.0
 12-1-2023,00:00:00 a 05:59:59,908857995.0
 12-1-2023,06:00:00 a 11:59:59,913205979.0
 12-1-2023,12:00:00 a 17:59:59,-1
 12-1-2023,18:00:00 a 23:59:59,-1
 13-1-2023,00:00:00 a 05:59:59,909639634.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,910440405.0
 13-1-2023,18:00:00 a 23:59:59,910007773.0
 14-1-2023,00:00:00 a 05:59:59,908613593.0
 14-1-2023,06:00:00 a 11:59:59,910954202.5
 14-1-2023,12:00:00 a 17:59:59,916902853.5
 14-1-2023,18:00:00 a 23:59:59,901200896.0
 15-1-2023,00:00:00 a 05:59:59,909688198.0
 15-1-2023,06:00:00 a 11:59:59,915641438.5
 15-1-2023,12:00:00 a 17:59:59,910925642.5
 15-1-2023,18:00:00 a 23:59:59,897006805.0
 16-1-2023,00:00:00 a 05:59:59,924320945.0
 16-1-2023,06:00:00 a 11:59:59,911743715.0
 16-1-2023,12:00:00 a 17:59:59,911079987.0
 16-1-2023,18:00:00 a 23:59:59,911998884.0
 17-1-2023,00:00:00 a 05:59:59,911737561.0
 17-1-2023,06:00:00 a 11:59:59,906654744.0
 17-1-2023,12:00:00 a 17:59:59,911632293.0
 17-1-2023,18:00:00 a 23:59:59,909744219.0
 18-1-2023,00:00:00 a 05:59:59,922433506.0
 18-1-2023,06:00:00 a 11:59:59,911318130.0
 18-1-2023,12:00:00 a 17:59:59,-1
 18-1-2023,18:00:00 a 23:59:59,910479906.0
 19-1-2023,00:00:00 a 05:59:59,901782484.0
 19-1-2023,06:00:00 a 11:59:59,889612634.0
 19-1-2023,12:00:00 a 17:59:59,910482160.5
 19-1-2023,18:00:00 a 23:59:59,913783201.0
 20-1-2023,00:00:00 a 05:59:59,-1
 20-1-2023,06:00:00 a 11:59:59,923638954.0
 20-1-2023,12:00:00 a 17:59:59,908486134.5
 20-1-2023,18:00:00 a 23:59:59,907542573.0
 21-1-2023,00:00:00 a 05:59:59,915960877.5
 21-1-2023,06:00:00 a 11:59:59,920283462.0
 21-1-2023,12:00:00 a 17:59:59,910847910.0
 21-1-2023,18:00:00 a 23:59:59,917325333.0
 22-1-2023,00:00:00 a 05:59:59,911361785.5
 22-1-2023,06:00:00 a 11:59:59,912526412.0
 22-1-2023,12:00:00 a 17:59:59,917742114.0
 22-1-2023,18:00:00 a 23:59:59,909850350.0
 23-1-2023,00:00:00 a 05:59:59,910951948.0
 23-1-2023,06:00:00 a 11:59:59,921544934.0
 23-1-2023,12:00:00 a 17:59:59,908990023.5
 23-1-2023,18:00:00 a 23:59:59,910742825.0
 24-1-2023,00:00:00 a 05:59:59,-1
 24-1-2023,06:00:00 a 11:59:59,910007068.0
 24-1-2023,12:00:00 a 17:59:59,909382901.0
 24-1-2023,18:00:00 a 23:59:59,909748313.0
 25-1-2023,00:00:00 a 05:59:59,921331394.0
 25-1-2023,06:00:00 a 11:59:59,910445681.0
 25-1-2023,12:00:00 a 17:59:59,909435055.0
 25-1-2023,18:00:00 a 23:59:59,910114861.0
 26-1-2023,00:00:00 a 05:59:59,922329294.0
 26-1-2023,06:00:00 a 11:59:59,908620475.5
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,909902051.0
 27-1-2023,00:00:00 a 05:59:59,908693417.0
 27-1-2023,06:00:00 a 11:59:59,907803991.0
 27-1-2023,12:00:00 a 17:59:59,909746400.5
 27-1-2023,18:00:00 a 23:59:59,909622921.0
 28-1-2023,00:00:00 a 05:59:59,909484849.0
 28-1-2023,06:00:00 a 11:59:59,909364893.67
 28-1-2023,12:00:00 a 17:59:59,908579405.0
 28-1-2023,18:00:00 a 23:59:59,915175326.0
 29-1-2023,00:00:00 a 05:59:59,910219036.0
 29-1-2023,06:00:00 a 11:59:59,914805860.0
 29-1-2023,12:00:00 a 17:59:59,922015735.0
 29-1-2023,18:00:00 a 23:59:59,915672812.0
 30-1-2023,00:00:00 a 05:59:59,910584445.0
 30-1-2023,06:00:00 a 11:59:59,906338750.0
 30-1-2023,12:00:00 a 17:59:59,908121923.0
 30-1-2023,18:00:00 a 23:59:59,-1
 31-1-2023,00:00:00 a 05:59:59,915105017.0
 31-1-2023,06:00:00 a 11:59:59,909432011.0
 31-1-2023,12:00:00 a 17:59:59,911320727.0
 31-1-2023,18:00:00 a 23:59:59,909991640.0
 1-2-2023,00:00:00 a 05:59:59,914515208.0
 1-2-2023,06:00:00 a 11:59:59,-1
 1-2-2023,12:00:00 a 17:59:59,916512539.0
 1-2-2023,18:00:00 a 23:59:59,-1
 2-2-2023,00:00:00 a 05:59:59,921595842.0
 2-2-2023,06:00:00 a 11:59:59,909910589.0
 2-2-2023,12:00:00 a 17:59:59,907493729.0
 2-2-2023,18:00:00 a 23:59:59,922487734.0
 3-2-2023,00:00:00 a 05:59:59,916380092.0
 3-2-2023,06:00:00 a 11:59:59,918513052.0
 3-2-2023,12:00:00 a 17:59:59,919865825.0
 3-2-2023,18:00:00 a 23:59:59,-1
 4-2-2023,00:00:00 a 05:59:59,909255629.0
 4-2-2023,06:00:00 a 11:59:59,910165802.67
 4-2-2023,12:00:00 a 17:59:59,918400524.0
 4-2-2023,18:00:00 a 23:59:59,908491356.0
 5-2-2023,00:00:00 a 05:59:59,907283060.0
 5-2-2023,06:00:00 a 11:59:59,916068754.5
 5-2-2023,12:00:00 a 17:59:59,920233150.0
 5-2-2023,18:00:00 a 23:59:59,910115680.0
 6-2-2023,00:00:00 a 05:59:59,909380082.0
 6-2-2023,06:00:00 a 11:59:59,907805489.0
 6-2-2023,12:00:00 a 17:59:59,910162921.0
 6-2-2023,18:00:00 a 23:59:59,914447817.0
 7-2-2023,00:00:00 a 05:59:59,-1
 7-2-2023,06:00:00 a 11:59:59,908041057.5
 7-2-2023,12:00:00 a 17:59:59,903243142.5
 7-2-2023,18:00:00 a 23:59:59,910740138.0
 8-2-2023,00:00:00 a 05:59:59,910847136.0
 8-2-2023,06:00:00 a 11:59:59,922701463.0
 8-2-2023,12:00:00 a 17:59:59,903142798.0
 8-2-2023,18:00:00 a 23:59:59,908751934.0
 9-2-2023,00:00:00 a 05:59:59,909398192.0
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,908804840.0
 10-2-2023,00:00:00 a 05:59:59,909342326.0
 10-2-2023,06:00:00 a 11:59:59,913339711.5
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,908908812.5
 11-2-2023,00:00:00 a 05:59:59,915566354.0
 11-2-2023,06:00:00 a 11:59:59,908070675.0
 11-2-2023,12:00:00 a 17:59:59,928252822.0
 11-2-2023,18:00:00 a 23:59:59,908698278.0
 12-2-2023,00:00:00 a 05:59:59,914388810.0
 12-2-2023,06:00:00 a 11:59:59,909380264.0
 12-2-2023,12:00:00 a 17:59:59,909411861.0
 12-2-2023,18:00:00 a 23:59:59,923120666.0
 13-2-2023,00:00:00 a 05:59:59,912580346.0
 13-2-2023,06:00:00 a 11:59:59,919602945.0
 13-2-2023,12:00:00 a 17:59:59,-1
 13-2-2023,18:00:00 a 23:59:59,921747506.0
 14-2-2023,00:00:00 a 05:59:59,-1
 14-2-2023,06:00:00 a 11:59:59,919420682.0
 14-2-2023,12:00:00 a 17:59:59,-1
 14-2-2023,18:00:00 a 23:59:59,910952312.0
 15-2-2023,00:00:00 a 05:59:59,915067726.5
 15-2-2023,06:00:00 a 11:59:59,912004767.0
 15-2-2023,12:00:00 a 17:59:59,920284889.0
 15-2-2023,18:00:00 a 23:59:59,912005770.0
 16-2-2023,00:00:00 a 05:59:59,923851256.0
 16-2-2023,06:00:00 a 11:59:59,920230665.0
 16-2-2023,12:00:00 a 17:59:59,913103404.0
 16-2-2023,18:00:00 a 23:59:59,910167699.0
 17-2-2023,00:00:00 a 05:59:59,905050067.0
 17-2-2023,06:00:00 a 11:59:59,-1
 17-2-2023,12:00:00 a 17:59:59,-1
 17-2-2023,18:00:00 a 23:59:59,-1
 18-2-2023,00:00:00 a 05:59:59,923167833.0
 18-2-2023,06:00:00 a 11:59:59,910010344.0
 18-2-2023,12:00:00 a 17:59:59,909172730.0
 18-2-2023,18:00:00 a 23:59:59,910349767.0
 19-2-2023,00:00:00 a 05:59:59,911102665.0
 19-2-2023,06:00:00 a 11:59:59,922018823.0
 19-2-2023,12:00:00 a 17:59:59,909853989.0
 19-2-2023,18:00:00 a 23:59:59,908226736.0
 20-2-2023,00:00:00 a 05:59:59,909060281.0
 20-2-2023,06:00:00 a 11:59:59,913601526.5
 20-2-2023,12:00:00 a 17:59:59,920705287.0
 20-2-2023,18:00:00 a 23:59:59,909483894.0
 21-2-2023,00:00:00 a 05:59:59,911371607.0
 21-2-2023,06:00:00 a 11:59:59,910324259.0
 21-2-2023,12:00:00 a 17:59:59,923430116.0
