Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,926391561.0
 9-1-2023,18:00:00 a 23:59:59,914415455.0
 10-1-2023,00:00:00 a 05:59:59,922276680.0
 10-1-2023,06:00:00 a 11:59:59,913127392.5
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,914641342.5
 11-1-2023,00:00:00 a 05:59:59,924320853.0
 11-1-2023,06:00:00 a 11:59:59,911291852.5
 11-1-2023,12:00:00 a 17:59:59,913730085.0
 11-1-2023,18:00:00 a 23:59:59,919602852.0
 12-1-2023,00:00:00 a 05:59:59,-1
 12-1-2023,06:00:00 a 11:59:59,922399488.5
 12-1-2023,12:00:00 a 17:59:59,919231530.0
 12-1-2023,18:00:00 a 23:59:59,908331957.0
 13-1-2023,00:00:00 a 05:59:59,919129086.5
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,925638062.0
 13-1-2023,18:00:00 a 23:59:59,913257906.0
 14-1-2023,00:00:00 a 05:59:59,919349022.67
 14-1-2023,06:00:00 a 11:59:59,912838977.0
 14-1-2023,12:00:00 a 17:59:59,914206196.0
 14-1-2023,18:00:00 a 23:59:59,918130896.5
 15-1-2023,00:00:00 a 05:59:59,925318297.0
 15-1-2023,06:00:00 a 11:59:59,914148831.0
 15-1-2023,12:00:00 a 17:59:59,914355711.0
 15-1-2023,18:00:00 a 23:59:59,927413831.0
 16-1-2023,00:00:00 a 05:59:59,913155103.0
 16-1-2023,06:00:00 a 11:59:59,913570789.0
 16-1-2023,12:00:00 a 17:59:59,912734325.5
 16-1-2023,18:00:00 a 23:59:59,919707039.0
 18-1-2023,00:00:00 a 05:59:59,-1
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,915090307.0
 18-1-2023,18:00:00 a 23:59:59,-1
 19-1-2023,00:00:00 a 05:59:59,-1
 19-1-2023,06:00:00 a 11:59:59,918471530.5
 19-1-2023,12:00:00 a 17:59:59,913077144.0
 19-1-2023,18:00:00 a 23:59:59,917506156.0
 20-1-2023,00:00:00 a 05:59:59,913519456.0
 20-1-2023,06:00:00 a 11:59:59,926313844.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,913992230.0
 23-1-2023,18:00:00 a 23:59:59,913416837.0
 24-1-2023,00:00:00 a 05:59:59,913258865.0
 24-1-2023,06:00:00 a 11:59:59,927833587.0
 24-1-2023,12:00:00 a 17:59:59,912213069.0
 24-1-2023,18:00:00 a 23:59:59,927782549.0
 25-1-2023,00:00:00 a 05:59:59,917715963.0
 25-1-2023,06:00:00 a 11:59:59,926104499.0
 25-1-2023,12:00:00 a 17:59:59,913416060.0
 25-1-2023,18:00:00 a 23:59:59,913347577.5
 26-1-2023,00:00:00 a 05:59:59,890928166.0
 26-1-2023,06:00:00 a 11:59:59,919132365.0
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,914097819.0
 27-1-2023,00:00:00 a 05:59:59,920572549.5
 27-1-2023,06:00:00 a 11:59:59,927280304.0
 27-1-2023,12:00:00 a 17:59:59,913677519.0
 27-1-2023,18:00:00 a 23:59:59,927099582.0
