Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,922290955.0
 6-1-2023,00:00:00 a 05:59:59,918552964.0
 6-1-2023,06:00:00 a 11:59:59,924320228.5
 6-1-2023,12:00:00 a 17:59:59,912734302.0
 6-1-2023,18:00:00 a 23:59:59,931527095.0
 7-1-2023,00:00:00 a 05:59:59,925106361.0
 7-1-2023,06:00:00 a 11:59:59,918656826.5
 7-1-2023,12:00:00 a 17:59:59,925265683.0
 7-1-2023,18:00:00 a 23:59:59,930694214.5
 8-1-2023,00:00:00 a 05:59:59,924742364.0
 8-1-2023,06:00:00 a 11:59:59,919257130.5
 8-1-2023,12:00:00 a 17:59:59,923638169.0
 8-1-2023,18:00:00 a 23:59:59,918788399.0
 9-1-2023,00:00:00 a 05:59:59,923586664.0
 9-1-2023,06:00:00 a 11:59:59,924215810.0
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,922984654.0
 10-1-2023,00:00:00 a 05:59:59,925160593.0
 10-1-2023,06:00:00 a 11:59:59,929958114.5
 10-1-2023,12:00:00 a 17:59:59,924269348.5
 10-1-2023,18:00:00 a 23:59:59,925314873.0
 11-1-2023,00:00:00 a 05:59:59,924426011.0
 11-1-2023,06:00:00 a 11:59:59,924479434.0
 11-1-2023,12:00:00 a 17:59:59,923667270.5
 11-1-2023,18:00:00 a 23:59:59,937953389.0
 12-1-2023,00:00:00 a 05:59:59,922645759.0
 12-1-2023,06:00:00 a 11:59:59,923985216.5
 12-1-2023,12:00:00 a 17:59:59,906052672.0
 12-1-2023,18:00:00 a 23:59:59,930497804.5
 13-1-2023,00:00:00 a 05:59:59,924847731.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,924844633.0
 13-1-2023,18:00:00 a 23:59:59,930588208.0
 14-1-2023,00:00:00 a 05:59:59,923273568.0
 14-1-2023,06:00:00 a 11:59:59,924608356.0
 14-1-2023,12:00:00 a 17:59:59,925895015.5
 14-1-2023,18:00:00 a 23:59:59,925104187.0
 15-1-2023,00:00:00 a 05:59:59,914895875.0
 15-1-2023,06:00:00 a 11:59:59,923872877.0
 15-1-2023,12:00:00 a 17:59:59,923456047.5
 15-1-2023,18:00:00 a 23:59:59,912575464.0
 16-1-2023,00:00:00 a 05:59:59,924662542.0
 16-1-2023,06:00:00 a 11:59:59,924243849.5
 16-1-2023,12:00:00 a 17:59:59,925186183.0
 16-1-2023,18:00:00 a 23:59:59,912943287.0
 17-1-2023,00:00:00 a 05:59:59,924949930.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,910581531.0
 17-1-2023,18:00:00 a 23:59:59,912682558.0
 18-1-2023,00:00:00 a 05:59:59,906705117.0
 18-1-2023,06:00:00 a 11:59:59,920127970.0
 18-1-2023,12:00:00 a 17:59:59,911633615.0
 18-1-2023,18:00:00 a 23:59:59,925472020.0
 19-1-2023,00:00:00 a 05:59:59,-1
 19-1-2023,06:00:00 a 11:59:59,-1
 19-1-2023,12:00:00 a 17:59:59,891184920.0
 19-1-2023,18:00:00 a 23:59:59,914883150.0
 20-1-2023,00:00:00 a 05:59:59,-1
 20-1-2023,06:00:00 a 11:59:59,909952296.0
 20-1-2023,12:00:00 a 17:59:59,931640723.5
 20-1-2023,18:00:00 a 23:59:59,924843985.0
 21-1-2023,00:00:00 a 05:59:59,924215810.0
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,924948566.0
 21-1-2023,18:00:00 a 23:59:59,936012442.0
 22-1-2023,00:00:00 a 05:59:59,917716262.0
 22-1-2023,06:00:00 a 11:59:59,-1
 22-1-2023,12:00:00 a 17:59:59,924737047.0
 22-1-2023,18:00:00 a 23:59:59,924690166.0
 23-1-2023,00:00:00 a 05:59:59,924534081.0
 23-1-2023,06:00:00 a 11:59:59,937009293.0
 23-1-2023,12:00:00 a 17:59:59,916509070.5
 23-1-2023,18:00:00 a 23:59:59,919183376.0
 24-1-2023,00:00:00 a 05:59:59,924450883.5
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,924111461.0
 24-1-2023,18:00:00 a 23:59:59,911893753.0
 25-1-2023,00:00:00 a 05:59:59,925379454.0
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,925367996.0
 25-1-2023,18:00:00 a 23:59:59,925160085.0
 26-1-2023,00:00:00 a 05:59:59,920443658.5
 26-1-2023,06:00:00 a 11:59:59,-1
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,923799382.0
 27-1-2023,00:00:00 a 05:59:59,924846621.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,925164109.0
 27-1-2023,18:00:00 a 23:59:59,931216346.0
 28-1-2023,00:00:00 a 05:59:59,925473825.0
 28-1-2023,06:00:00 a 11:59:59,911738336.0
 28-1-2023,12:00:00 a 17:59:59,923852157.0
 28-1-2023,18:00:00 a 23:59:59,924844771.0
 29-1-2023,00:00:00 a 05:59:59,925108673.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,912578658.0
 29-1-2023,18:00:00 a 23:59:59,-1
 30-1-2023,00:00:00 a 05:59:59,924900229.5
 30-1-2023,06:00:00 a 11:59:59,924165969.0
 30-1-2023,12:00:00 a 17:59:59,-1
 30-1-2023,18:00:00 a 23:59:59,-1
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,825124165.0
 31-1-2023,18:00:00 a 23:59:59,925080839.5
 1-2-2023,00:00:00 a 05:59:59,916982462.0
 1-2-2023,06:00:00 a 11:59:59,916402307.0
 1-2-2023,12:00:00 a 17:59:59,-1
 1-2-2023,18:00:00 a 23:59:59,924269417.5
 2-2-2023,00:00:00 a 05:59:59,924116821.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,924793868.0
 2-2-2023,18:00:00 a 23:59:59,924558677.5
 3-2-2023,00:00:00 a 05:59:59,919376321.0
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,923379996.0
 3-2-2023,18:00:00 a 23:59:59,-1
 4-2-2023,00:00:00 a 05:59:59,918293217.0
 4-2-2023,06:00:00 a 11:59:59,-1
 4-2-2023,12:00:00 a 17:59:59,-1
 4-2-2023,18:00:00 a 23:59:59,931483379.5
 5-2-2023,00:00:00 a 05:59:59,936380053.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,924584939.0
 5-2-2023,18:00:00 a 23:59:59,935904309.0
 6-2-2023,00:00:00 a 05:59:59,924270757.0
 6-2-2023,06:00:00 a 11:59:59,-1
 6-2-2023,12:00:00 a 17:59:59,925421581.0
 6-2-2023,18:00:00 a 23:59:59,935908848.0
 7-2-2023,00:00:00 a 05:59:59,925370170.0
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,447741459.0
 7-2-2023,18:00:00 a 23:59:59,906444831.0
 8-2-2023,00:00:00 a 05:59:59,931137745.5
 8-2-2023,06:00:00 a 11:59:59,924166616.0
 8-2-2023,12:00:00 a 17:59:59,925213392.0
 8-2-2023,18:00:00 a 23:59:59,-1
 9-2-2023,00:00:00 a 05:59:59,924609096.5
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,924060233.0
 9-2-2023,18:00:00 a 23:59:59,923947522.0
 10-2-2023,00:00:00 a 05:59:59,925090466.5
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,937013369.0
 10-2-2023,18:00:00 a 23:59:59,923849224.0
 11-2-2023,00:00:00 a 05:59:59,923984320.0
 11-2-2023,06:00:00 a 11:59:59,-1
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,-1
 12-2-2023,00:00:00 a 05:59:59,925214040.0
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,912995168.0
 12-2-2023,18:00:00 a 23:59:59,924427236.0
 13-2-2023,00:00:00 a 05:59:59,925238638.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,-1
 13-2-2023,18:00:00 a 23:59:59,924559140.0
 14-2-2023,00:00:00 a 05:59:59,937223367.0
 14-2-2023,06:00:00 a 11:59:59,920967984.0
 14-2-2023,12:00:00 a 17:59:59,924795000.5
 14-2-2023,18:00:00 a 23:59:59,925370957.0
 15-2-2023,00:00:00 a 05:59:59,924793475.5
 15-2-2023,06:00:00 a 11:59:59,937585261.0
 15-2-2023,12:00:00 a 17:59:59,923169356.0
 15-2-2023,18:00:00 a 23:59:59,-1
 16-2-2023,00:00:00 a 05:59:59,923430023.0
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,928437840.5
 16-2-2023,18:00:00 a 23:59:59,924217612.0
 17-2-2023,00:00:00 a 05:59:59,924322054.0
 17-2-2023,06:00:00 a 11:59:59,-1
 17-2-2023,12:00:00 a 17:59:59,924532186.0
 17-2-2023,18:00:00 a 23:59:59,923378934.0
 18-2-2023,00:00:00 a 05:59:59,930119968.5
 18-2-2023,06:00:00 a 11:59:59,-1
 18-2-2023,12:00:00 a 17:59:59,-1
 18-2-2023,18:00:00 a 23:59:59,924089774.5
 19-2-2023,00:00:00 a 05:59:59,919053339.0
 19-2-2023,06:00:00 a 11:59:59,-1
 19-2-2023,12:00:00 a 17:59:59,924366349.0
 19-2-2023,18:00:00 a 23:59:59,-1
 20-2-2023,00:00:00 a 05:59:59,924454120.5
 20-2-2023,06:00:00 a 11:59:59,-1
 20-2-2023,12:00:00 a 17:59:59,-1
 20-2-2023,18:00:00 a 23:59:59,923848346.0
 21-2-2023,00:00:00 a 05:59:59,918238825.5
 21-2-2023,06:00:00 a 11:59:59,923851395.0
 21-2-2023,12:00:00 a 17:59:59,938480306.0
 21-2-2023,18:00:00 a 23:59:59,924661593.5
 22-2-2023,00:00:00 a 05:59:59,925265220.0
 22-2-2023,06:00:00 a 11:59:59,-1
 22-2-2023,12:00:00 a 17:59:59,924426958.0
 22-2-2023,18:00:00 a 23:59:59,924793730.0
 23-2-2023,00:00:00 a 05:59:59,924582327.0
 23-2-2023,06:00:00 a 11:59:59,-1
 23-2-2023,12:00:00 a 17:59:59,925104418.0
 23-2-2023,18:00:00 a 23:59:59,925056231.5
 24-2-2023,00:00:00 a 05:59:59,918083103.0
 24-2-2023,06:00:00 a 11:59:59,-1
 24-2-2023,12:00:00 a 17:59:59,919288647.0
 24-2-2023,18:00:00 a 23:59:59,936120998.0
 25-2-2023,00:00:00 a 05:59:59,923745428.0
 25-2-2023,06:00:00 a 11:59:59,-1
 25-2-2023,12:00:00 a 17:59:59,910639196.0
 25-2-2023,18:00:00 a 23:59:59,924737856.5
 26-2-2023,00:00:00 a 05:59:59,921176779.0
 26-2-2023,06:00:00 a 11:59:59,-1
 26-2-2023,12:00:00 a 17:59:59,931265859.5
 26-2-2023,18:00:00 a 23:59:59,923407459.0
 27-2-2023,00:00:00 a 05:59:59,924295888.0
 27-2-2023,06:00:00 a 11:59:59,924216457.0
 27-2-2023,12:00:00 a 17:59:59,923426838.0
 27-2-2023,18:00:00 a 23:59:59,925273421.5
 28-2-2023,00:00:00 a 05:59:59,924395989.5
 28-2-2023,06:00:00 a 11:59:59,920445029.0
 28-2-2023,12:00:00 a 17:59:59,919968577.0
 28-2-2023,18:00:00 a 23:59:59,923064083.0
 1-3-2023,00:00:00 a 05:59:59,927449376.0
 1-3-2023,06:00:00 a 11:59:59,923607135.0
 1-3-2023,12:00:00 a 17:59:59,922433921.0
 1-3-2023,18:00:00 a 23:59:59,921910738.0
 2-3-2023,00:00:00 a 05:59:59,930585474.5
 2-3-2023,06:00:00 a 11:59:59,921177842.0
 2-3-2023,12:00:00 a 17:59:59,-1
 2-3-2023,18:00:00 a 23:59:59,922269348.0
 3-3-2023,00:00:00 a 05:59:59,914909910.5
 3-3-2023,06:00:00 a 11:59:59,918342666.0
 3-3-2023,12:00:00 a 17:59:59,-1
 3-3-2023,18:00:00 a 23:59:59,923582677.0
 4-3-2023,00:00:00 a 05:59:59,922723206.0
 4-3-2023,06:00:00 a 11:59:59,906492546.0
 4-3-2023,12:00:00 a 17:59:59,931674535.5
 4-3-2023,18:00:00 a 23:59:59,937909822.0
 5-3-2023,00:00:00 a 05:59:59,923823331.5
 5-3-2023,06:00:00 a 11:59:59,925465743.0
 5-3-2023,12:00:00 a 17:59:59,918735708.0
 5-3-2023,18:00:00 a 23:59:59,923825827.5
 7-3-2023,00:00:00 a 05:59:59,819149741.0
 7-3-2023,06:00:00 a 11:59:59,817575483.0
 7-3-2023,12:00:00 a 17:59:59,-1
 7-3-2023,18:00:00 a 23:59:59,-1
 8-3-2023,00:00:00 a 05:59:59,-1
 8-3-2023,06:00:00 a 11:59:59,-1
 8-3-2023,12:00:00 a 17:59:59,-1
 8-3-2023,18:00:00 a 23:59:59,924847268.0
 9-3-2023,00:00:00 a 05:59:59,923850794.0
 9-3-2023,06:00:00 a 11:59:59,922743050.0
 9-3-2023,12:00:00 a 17:59:59,930062132.0
 9-3-2023,18:00:00 a 23:59:59,921516296.5
 10-3-2023,00:00:00 a 05:59:59,927204068.0
 10-3-2023,06:00:00 a 11:59:59,-1
 10-3-2023,12:00:00 a 17:59:59,917478273.5
 10-3-2023,18:00:00 a 23:59:59,911894300.0
 11-3-2023,00:00:00 a 05:59:59,921595197.0
 11-3-2023,06:00:00 a 11:59:59,925306720.0
 11-3-2023,12:00:00 a 17:59:59,917454937.5
 11-3-2023,18:00:00 a 23:59:59,929850574.5
 12-3-2023,00:00:00 a 05:59:59,925160085.0
 12-3-2023,06:00:00 a 11:59:59,-1
 12-3-2023,12:00:00 a 17:59:59,917927056.0
 12-3-2023,18:00:00 a 23:59:59,924894657.0
 13-3-2023,00:00:00 a 05:59:59,-1
 13-3-2023,06:00:00 a 11:59:59,924213000.0
 13-3-2023,12:00:00 a 17:59:59,914255562.0
 13-3-2023,18:00:00 a 23:59:59,929194633.0
 14-3-2023,00:00:00 a 05:59:59,922438072.0
 14-3-2023,06:00:00 a 11:59:59,923332783.0
 14-3-2023,12:00:00 a 17:59:59,909800786.5
 14-3-2023,18:00:00 a 23:59:59,915995335.0
