Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,811023175.0
 9-1-2023,12:00:00 a 17:59:59,923010408.0
 9-1-2023,18:00:00 a 23:59:59,924687138.0
 10-1-2023,00:00:00 a 05:59:59,931346035.5
 10-1-2023,06:00:00 a 11:59:59,919609658.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,-1
 11-1-2023,00:00:00 a 05:59:59,922618943.5
 11-1-2023,06:00:00 a 11:59:59,915188219.5
 11-1-2023,12:00:00 a 17:59:59,919392310.0
 11-1-2023,18:00:00 a 23:59:59,-1
 12-1-2023,00:00:00 a 05:59:59,920704874.0
 12-1-2023,06:00:00 a 11:59:59,918818303.0
 12-1-2023,12:00:00 a 17:59:59,909692791.0
 12-1-2023,18:00:00 a 23:59:59,731645074.0
 13-1-2023,00:00:00 a 05:59:59,924162062.5
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,818966583.0
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,917052064.33
 14-1-2023,06:00:00 a 11:59:59,925013569.0
 14-1-2023,12:00:00 a 17:59:59,718275017.5
 14-1-2023,18:00:00 a 23:59:59,923692033.5
 15-1-2023,00:00:00 a 05:59:59,917820134.5
 15-1-2023,06:00:00 a 11:59:59,907752924.0
 15-1-2023,12:00:00 a 17:59:59,907459872.0
 15-1-2023,18:00:00 a 23:59:59,920784205.0
 16-1-2023,00:00:00 a 05:59:59,922812438.0
 16-1-2023,06:00:00 a 11:59:59,922390026.0
 16-1-2023,12:00:00 a 17:59:59,902065656.0
 16-1-2023,18:00:00 a 23:59:59,904924843.0
 17-1-2023,00:00:00 a 05:59:59,915302776.5
 17-1-2023,06:00:00 a 11:59:59,921281821.0
 17-1-2023,12:00:00 a 17:59:59,917163380.5
 17-1-2023,18:00:00 a 23:59:59,922854413.0
 18-1-2023,00:00:00 a 05:59:59,925269707.0
 18-1-2023,06:00:00 a 11:59:59,923164371.0
 18-1-2023,12:00:00 a 17:59:59,905447720.5
 18-1-2023,18:00:00 a 23:59:59,920024308.0
 19-1-2023,00:00:00 a 05:59:59,895537067.5
 19-1-2023,06:00:00 a 11:59:59,901042753.0
 19-1-2023,12:00:00 a 17:59:59,918345753.0
 19-1-2023,18:00:00 a 23:59:59,924392010.0
 20-1-2023,00:00:00 a 05:59:59,634075207.0
 20-1-2023,06:00:00 a 11:59:59,930744226.0
 20-1-2023,12:00:00 a 17:59:59,914673932.33
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,-1
 21-1-2023,06:00:00 a 11:59:59,920599692.0
 21-1-2023,12:00:00 a 17:59:59,937495778.0
 21-1-2023,18:00:00 a 23:59:59,923821946.5
 22-1-2023,00:00:00 a 05:59:59,-1
 22-1-2023,06:00:00 a 11:59:59,924637275.0
 22-1-2023,12:00:00 a 17:59:59,922842232.0
 22-1-2023,18:00:00 a 23:59:59,923091268.0
 23-1-2023,00:00:00 a 05:59:59,916366181.0
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,704618547.5
 23-1-2023,18:00:00 a 23:59:59,831475376.0
 24-1-2023,00:00:00 a 05:59:59,902615439.0
 24-1-2023,06:00:00 a 11:59:59,922748303.0
 24-1-2023,12:00:00 a 17:59:59,923954867.0
 24-1-2023,18:00:00 a 23:59:59,859449446.0
 25-1-2023,00:00:00 a 05:59:59,919439268.0
 25-1-2023,06:00:00 a 11:59:59,342045764.0
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,-1
 26-1-2023,00:00:00 a 05:59:59,924506495.5
 26-1-2023,06:00:00 a 11:59:59,890716000.0
 26-1-2023,12:00:00 a 17:59:59,543031053.5
 26-1-2023,18:00:00 a 23:59:59,656146439.0
 27-1-2023,00:00:00 a 05:59:59,-1
