Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,922690529.0
 9-1-2023,18:00:00 a 23:59:59,933232080.0
 10-1-2023,00:00:00 a 05:59:59,925725327.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,922380754.0
 10-1-2023,18:00:00 a 23:59:59,920022238.0
 11-1-2023,00:00:00 a 05:59:59,930091515.0
 11-1-2023,06:00:00 a 11:59:59,923271675.0
 11-1-2023,12:00:00 a 17:59:59,-1
 11-1-2023,18:00:00 a 23:59:59,924581341.5
 12-1-2023,00:00:00 a 05:59:59,920809500.0
 12-1-2023,06:00:00 a 11:59:59,919995655.5
 12-1-2023,12:00:00 a 17:59:59,922071483.0
 12-1-2023,18:00:00 a 23:59:59,919918484.0
 13-1-2023,00:00:00 a 05:59:59,923481621.0
 13-1-2023,06:00:00 a 11:59:59,920857923.0
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,920964945.0
 14-1-2023,00:00:00 a 05:59:59,921279127.5
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,921546224.0
 14-1-2023,18:00:00 a 23:59:59,921541708.0
 15-1-2023,00:00:00 a 05:59:59,918055095.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,-1
 15-1-2023,18:00:00 a 23:59:59,923822986.5
 16-1-2023,00:00:00 a 05:59:59,923373901.0
 16-1-2023,06:00:00 a 11:59:59,933599867.0
 16-1-2023,12:00:00 a 17:59:59,-1
 16-1-2023,18:00:00 a 23:59:59,920521163.5
 17-1-2023,00:00:00 a 05:59:59,923850102.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,-1
 17-1-2023,18:00:00 a 23:59:59,931544308.5
 18-1-2023,00:00:00 a 05:59:59,920467101.0
 18-1-2023,06:00:00 a 11:59:59,920424181.0
 18-1-2023,12:00:00 a 17:59:59,-1
 18-1-2023,18:00:00 a 23:59:59,921130937.5
 19-1-2023,00:00:00 a 05:59:59,924818860.5
 19-1-2023,06:00:00 a 11:59:59,-1
 19-1-2023,12:00:00 a 17:59:59,-1
 19-1-2023,18:00:00 a 23:59:59,921332431.5
 20-1-2023,00:00:00 a 05:59:59,927108252.0
 20-1-2023,06:00:00 a 11:59:59,-1
 20-1-2023,12:00:00 a 17:59:59,920971622.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,920361713.0
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,926364310.5
 21-1-2023,18:00:00 a 23:59:59,920876233.0
 22-1-2023,00:00:00 a 05:59:59,919078104.0
 22-1-2023,06:00:00 a 11:59:59,930719408.0
 22-1-2023,12:00:00 a 17:59:59,921856558.0
 22-1-2023,18:00:00 a 23:59:59,921539220.5
 23-1-2023,00:00:00 a 05:59:59,920588691.0
 23-1-2023,06:00:00 a 11:59:59,932342702.0
 23-1-2023,12:00:00 a 17:59:59,919442532.0
 23-1-2023,18:00:00 a 23:59:59,920659717.0
 24-1-2023,00:00:00 a 05:59:59,928201496.0
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,919233552.0
 24-1-2023,18:00:00 a 23:59:59,930662325.0
 25-1-2023,00:00:00 a 05:59:59,929436761.0
