Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,917796519.5
 5-1-2023,18:00:00 a 23:59:59,925421072.0
 6-1-2023,00:00:00 a 05:59:59,924747127.0
 6-1-2023,06:00:00 a 11:59:59,922962594.0
 6-1-2023,12:00:00 a 17:59:59,923171249.0
 6-1-2023,18:00:00 a 23:59:59,923249892.0
 7-1-2023,00:00:00 a 05:59:59,923795548.0
 7-1-2023,06:00:00 a 11:59:59,916328897.0
 7-1-2023,12:00:00 a 17:59:59,937587371.0
 7-1-2023,18:00:00 a 23:59:59,924180200.0
 8-1-2023,00:00:00 a 05:59:59,937849891.0
 8-1-2023,06:00:00 a 11:59:59,930328322.0
 8-1-2023,12:00:00 a 17:59:59,924739867.0
 8-1-2023,18:00:00 a 23:59:59,924635518.5
 9-1-2023,00:00:00 a 05:59:59,924058014.0
 9-1-2023,06:00:00 a 11:59:59,923580776.5
 9-1-2023,12:00:00 a 17:59:59,923901653.0
 9-1-2023,18:00:00 a 23:59:59,920529832.67
 10-1-2023,00:00:00 a 05:59:59,923820559.0
 10-1-2023,06:00:00 a 11:59:59,924427513.0
 10-1-2023,12:00:00 a 17:59:59,904451824.0
 10-1-2023,18:00:00 a 23:59:59,924190520.0
 11-1-2023,00:00:00 a 05:59:59,912676899.0
 11-1-2023,06:00:00 a 11:59:59,929539275.0
 11-1-2023,12:00:00 a 17:59:59,921955515.0
 11-1-2023,18:00:00 a 23:59:59,928480122.33
 12-1-2023,00:00:00 a 05:59:59,924924224.0
 12-1-2023,06:00:00 a 11:59:59,923069621.0
 12-1-2023,12:00:00 a 17:59:59,923740255.0
 12-1-2023,18:00:00 a 23:59:59,911105955.0
 13-1-2023,00:00:00 a 05:59:59,918893405.5
 13-1-2023,06:00:00 a 11:59:59,925058233.0
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,925124607.0
 14-1-2023,00:00:00 a 05:59:59,927609412.0
 14-1-2023,06:00:00 a 11:59:59,890504859.0
 14-1-2023,12:00:00 a 17:59:59,917427217.5
 14-1-2023,18:00:00 a 23:59:59,925162305.0
 15-1-2023,00:00:00 a 05:59:59,924556574.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,930219073.0
 15-1-2023,18:00:00 a 23:59:59,930871941.0
 16-1-2023,00:00:00 a 05:59:59,-1
 16-1-2023,06:00:00 a 11:59:59,922901674.0
 16-1-2023,12:00:00 a 17:59:59,916718062.0
 16-1-2023,18:00:00 a 23:59:59,924792158.0
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,924510547.0
 17-1-2023,12:00:00 a 17:59:59,912620687.0
 17-1-2023,18:00:00 a 23:59:59,924370649.5
 18-1-2023,00:00:00 a 05:59:59,924181319.67
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,918816314.0
 18-1-2023,18:00:00 a 23:59:59,911295101.5
 19-1-2023,00:00:00 a 05:59:59,925001965.0
 19-1-2023,06:00:00 a 11:59:59,923799242.0
 19-1-2023,12:00:00 a 17:59:59,921961942.5
 19-1-2023,18:00:00 a 23:59:59,-1
 20-1-2023,00:00:00 a 05:59:59,924894194.0
 20-1-2023,06:00:00 a 11:59:59,921200549.0
 20-1-2023,12:00:00 a 17:59:59,930966981.5
 20-1-2023,18:00:00 a 23:59:59,920338192.0
 21-1-2023,00:00:00 a 05:59:59,924793915.0
 21-1-2023,06:00:00 a 11:59:59,920301925.67
 21-1-2023,12:00:00 a 17:59:59,911478880.0
 21-1-2023,18:00:00 a 23:59:59,925578266.0
 22-1-2023,00:00:00 a 05:59:59,923478267.5
 22-1-2023,06:00:00 a 11:59:59,924534266.0
 22-1-2023,12:00:00 a 17:59:59,924318727.0
 22-1-2023,18:00:00 a 23:59:59,912246797.0
 23-1-2023,00:00:00 a 05:59:59,925161102.5
 23-1-2023,06:00:00 a 11:59:59,924681012.0
 23-1-2023,12:00:00 a 17:59:59,924634518.5
 23-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,924898218.0
 24-1-2023,06:00:00 a 11:59:59,916935766.5
 24-1-2023,12:00:00 a 17:59:59,924191190.0
 24-1-2023,18:00:00 a 23:59:59,924165322.0
 25-1-2023,00:00:00 a 05:59:59,923839014.5
 25-1-2023,06:00:00 a 11:59:59,921167061.0
 25-1-2023,12:00:00 a 17:59:59,909011534.0
 25-1-2023,18:00:00 a 23:59:59,906968185.5
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,905132296.0
 26-1-2023,12:00:00 a 17:59:59,923114733.0
 26-1-2023,18:00:00 a 23:59:59,924397166.5
 27-1-2023,00:00:00 a 05:59:59,-1
 27-1-2023,06:00:00 a 11:59:59,840361404.0
 27-1-2023,12:00:00 a 17:59:59,923113696.0
 27-1-2023,18:00:00 a 23:59:59,924691137.0
 28-1-2023,00:00:00 a 05:59:59,930727506.5
 28-1-2023,06:00:00 a 11:59:59,923797811.0
 28-1-2023,12:00:00 a 17:59:59,861039990.0
 28-1-2023,18:00:00 a 23:59:59,928550251.67
 29-1-2023,00:00:00 a 05:59:59,320626213.0
 29-1-2023,06:00:00 a 11:59:59,925108673.0
 29-1-2023,12:00:00 a 17:59:59,922642900.0
 29-1-2023,18:00:00 a 23:59:59,931137349.5
 30-1-2023,00:00:00 a 05:59:59,923851487.0
 30-1-2023,06:00:00 a 11:59:59,924030885.0
 30-1-2023,12:00:00 a 17:59:59,924616473.5
 30-1-2023,18:00:00 a 23:59:59,923090735.0
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,928872952.0
 31-1-2023,12:00:00 a 17:59:59,923614910.5
 31-1-2023,18:00:00 a 23:59:59,924401021.5
 1-2-2023,00:00:00 a 05:59:59,921962660.0
 1-2-2023,06:00:00 a 11:59:59,923328998.0
 1-2-2023,12:00:00 a 17:59:59,922672550.0
 1-2-2023,18:00:00 a 23:59:59,911633615.0
 2-2-2023,00:00:00 a 05:59:59,924322748.0
 2-2-2023,06:00:00 a 11:59:59,920240949.0
 2-2-2023,12:00:00 a 17:59:59,-1
 2-2-2023,18:00:00 a 23:59:59,918899397.0
 3-2-2023,00:00:00 a 05:59:59,911583328.0
 3-2-2023,06:00:00 a 11:59:59,924109751.0
 3-2-2023,12:00:00 a 17:59:59,923219616.0
 3-2-2023,18:00:00 a 23:59:59,923378010.0
 4-2-2023,00:00:00 a 05:59:59,925003862.0
 4-2-2023,06:00:00 a 11:59:59,923005355.0
 4-2-2023,12:00:00 a 17:59:59,923111481.0
 4-2-2023,18:00:00 a 23:59:59,922743927.0
 5-2-2023,00:00:00 a 05:59:59,923509983.0
 5-2-2023,06:00:00 a 11:59:59,906073932.0
 5-2-2023,12:00:00 a 17:59:59,915386339.0
 5-2-2023,18:00:00 a 23:59:59,923957177.0
 6-2-2023,00:00:00 a 05:59:59,922978862.0
 6-2-2023,06:00:00 a 11:59:59,911476100.0
 6-2-2023,12:00:00 a 17:59:59,-1
 6-2-2023,18:00:00 a 23:59:59,923717551.5
 7-2-2023,00:00:00 a 05:59:59,919626359.0
 7-2-2023,06:00:00 a 11:59:59,922593073.5
 7-2-2023,12:00:00 a 17:59:59,924376887.0
 7-2-2023,18:00:00 a 23:59:59,923273125.5
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,922094380.0
 8-2-2023,12:00:00 a 17:59:59,922192937.5
 8-2-2023,18:00:00 a 23:59:59,921229438.0
 9-2-2023,00:00:00 a 05:59:59,936533500.0
 9-2-2023,06:00:00 a 11:59:59,909133784.0
 9-2-2023,12:00:00 a 17:59:59,914987718.0
 9-2-2023,18:00:00 a 23:59:59,924898819.0
 10-2-2023,00:00:00 a 05:59:59,923734609.0
 10-2-2023,06:00:00 a 11:59:59,923773720.5
 10-2-2023,12:00:00 a 17:59:59,910210208.0
 10-2-2023,18:00:00 a 23:59:59,922326757.0
 11-2-2023,00:00:00 a 05:59:59,915977266.5
 11-2-2023,06:00:00 a 11:59:59,924530198.0
 11-2-2023,12:00:00 a 17:59:59,925208165.0
 11-2-2023,18:00:00 a 23:59:59,924532371.0
 12-2-2023,00:00:00 a 05:59:59,923772174.5
 12-2-2023,06:00:00 a 11:59:59,924267777.0
 12-2-2023,12:00:00 a 17:59:59,924688363.0
 12-2-2023,18:00:00 a 23:59:59,924060903.5
 13-2-2023,00:00:00 a 05:59:59,922461153.5
 13-2-2023,06:00:00 a 11:59:59,909796056.0
 13-2-2023,12:00:00 a 17:59:59,920048454.5
 13-2-2023,18:00:00 a 23:59:59,917113735.5
 14-2-2023,00:00:00 a 05:59:59,923065468.0
 14-2-2023,06:00:00 a 11:59:59,911310475.0
 14-2-2023,12:00:00 a 17:59:59,928412604.5
 14-2-2023,18:00:00 a 23:59:59,917558213.5
 15-2-2023,00:00:00 a 05:59:59,911649786.0
 15-2-2023,06:00:00 a 11:59:59,-1
 15-2-2023,12:00:00 a 17:59:59,921306076.5
 15-2-2023,18:00:00 a 23:59:59,927797981.0
 16-2-2023,00:00:00 a 05:59:59,933912066.0
 16-2-2023,06:00:00 a 11:59:59,937009059.0
 16-2-2023,12:00:00 a 17:59:59,918049319.67
 16-2-2023,18:00:00 a 23:59:59,912159226.0
 17-2-2023,00:00:00 a 05:59:59,919429801.0
 17-2-2023,06:00:00 a 11:59:59,923220724.0
 17-2-2023,12:00:00 a 17:59:59,921808369.0
 17-2-2023,18:00:00 a 23:59:59,922335660.0
 18-2-2023,00:00:00 a 05:59:59,916773360.5
 18-2-2023,06:00:00 a 11:59:59,918607071.0
 18-2-2023,12:00:00 a 17:59:59,922383245.0
 18-2-2023,18:00:00 a 23:59:59,923718152.0
 19-2-2023,00:00:00 a 05:59:59,911060177.0
 19-2-2023,06:00:00 a 11:59:59,919830550.5
 19-2-2023,12:00:00 a 17:59:59,923747507.0
 19-2-2023,18:00:00 a 23:59:59,923825226.5
 20-2-2023,00:00:00 a 05:59:59,926449548.0
 20-2-2023,06:00:00 a 11:59:59,-1
 20-2-2023,12:00:00 a 17:59:59,909539142.0
 20-2-2023,18:00:00 a 23:59:59,917478888.0
 21-2-2023,00:00:00 a 05:59:59,922439456.0
 21-2-2023,06:00:00 a 11:59:59,924636350.0
 21-2-2023,12:00:00 a 17:59:59,927147607.0
 21-2-2023,18:00:00 a 23:59:59,923507110.0
 22-2-2023,00:00:00 a 05:59:59,922697819.0
 22-2-2023,06:00:00 a 11:59:59,921276943.5
 22-2-2023,12:00:00 a 17:59:59,935855436.0
 22-2-2023,18:00:00 a 23:59:59,919237614.5
 23-2-2023,00:00:00 a 05:59:59,912632045.0
 23-2-2023,06:00:00 a 11:59:59,924585678.0
 23-2-2023,12:00:00 a 17:59:59,923691522.0
 23-2-2023,18:00:00 a 23:59:59,922801430.0
 24-2-2023,00:00:00 a 05:59:59,909303798.0
 24-2-2023,06:00:00 a 11:59:59,924111784.0
 24-2-2023,12:00:00 a 17:59:59,922603390.0
 24-2-2023,18:00:00 a 23:59:59,923430532.0
 25-2-2023,00:00:00 a 05:59:59,924061573.0
 25-2-2023,06:00:00 a 11:59:59,907939317.0
 25-2-2023,12:00:00 a 17:59:59,934594340.0
 25-2-2023,18:00:00 a 23:59:59,929984116.5
 26-2-2023,00:00:00 a 05:59:59,923371779.0
 26-2-2023,06:00:00 a 11:59:59,928675467.0
 26-2-2023,12:00:00 a 17:59:59,921440168.0
 26-2-2023,18:00:00 a 23:59:59,922589363.0
 27-2-2023,00:00:00 a 05:59:59,922189124.5
 27-2-2023,06:00:00 a 11:59:59,921387002.0
 27-2-2023,12:00:00 a 17:59:59,922839098.0
 27-2-2023,18:00:00 a 23:59:59,910271738.0
 28-2-2023,00:00:00 a 05:59:59,924060926.0
 28-2-2023,06:00:00 a 11:59:59,921545118.0
 28-2-2023,12:00:00 a 17:59:59,903298279.0
 28-2-2023,18:00:00 a 23:59:59,922722049.5
 1-3-2023,00:00:00 a 05:59:59,910900066.0
 1-3-2023,06:00:00 a 11:59:59,922444865.5
 1-3-2023,12:00:00 a 17:59:59,923167279.0
 1-3-2023,18:00:00 a 23:59:59,916117745.5
 2-3-2023,00:00:00 a 05:59:59,923404224.5
 2-3-2023,06:00:00 a 11:59:59,899630277.0
 2-3-2023,12:00:00 a 17:59:59,917347080.0
 2-3-2023,18:00:00 a 23:59:59,923084810.0
 3-3-2023,00:00:00 a 05:59:59,922381516.0
 3-3-2023,06:00:00 a 11:59:59,922750524.0
 3-3-2023,12:00:00 a 17:59:59,924007527.0
 3-3-2023,18:00:00 a 23:59:59,919655650.0
 4-3-2023,00:00:00 a 05:59:59,923225155.0
 4-3-2023,06:00:00 a 11:59:59,906443153.0
 4-3-2023,12:00:00 a 17:59:59,922540854.0
 4-3-2023,18:00:00 a 23:59:59,929456537.0
 5-3-2023,00:00:00 a 05:59:59,-1
 5-3-2023,06:00:00 a 11:59:59,924794377.0
 5-3-2023,12:00:00 a 17:59:59,921543275.0
 5-3-2023,18:00:00 a 23:59:59,922485935.0
 6-3-2023,00:00:00 a 05:59:59,936326454.0
 6-3-2023,06:00:00 a 11:59:59,921544519.0
 6-3-2023,12:00:00 a 17:59:59,-1
 6-3-2023,18:00:00 a 23:59:59,929354805.5
 7-3-2023,00:00:00 a 05:59:59,916761774.5
 7-3-2023,06:00:00 a 11:59:59,-1
 7-3-2023,12:00:00 a 17:59:59,922538456.5
 7-3-2023,18:00:00 a 23:59:59,925318435.0
 8-3-2023,00:00:00 a 05:59:59,923581399.0
 8-3-2023,06:00:00 a 11:59:59,921074454.0
 8-3-2023,12:00:00 a 17:59:59,921912259.0
 8-3-2023,18:00:00 a 23:59:59,922619522.0
 9-3-2023,00:00:00 a 05:59:59,922907304.0
 9-3-2023,06:00:00 a 11:59:59,920938387.0
 9-3-2023,12:00:00 a 17:59:59,929671121.0
 9-3-2023,18:00:00 a 23:59:59,922276727.0
 10-3-2023,00:00:00 a 05:59:59,929537505.0
 10-3-2023,06:00:00 a 11:59:59,923854259.0
 10-3-2023,12:00:00 a 17:59:59,908016034.5
 10-3-2023,18:00:00 a 23:59:59,-1
 11-3-2023,00:00:00 a 05:59:59,922611817.5
 11-3-2023,06:00:00 a 11:59:59,-1
 11-3-2023,12:00:00 a 17:59:59,927730355.5
 11-3-2023,18:00:00 a 23:59:59,923066529.0
 12-3-2023,00:00:00 a 05:59:59,933815846.0
 12-3-2023,06:00:00 a 11:59:59,908961423.0
 12-3-2023,12:00:00 a 17:59:59,923018715.0
 12-3-2023,18:00:00 a 23:59:59,919001000.5
