Data,Intervalo,Vazao
10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,926023810.0
 10-2-2023,18:00:00 a 23:59:59,915562761.0
 11-2-2023,00:00:00 a 05:59:59,914729481.0
 11-2-2023,06:00:00 a 11:59:59,-1
 11-2-2023,12:00:00 a 17:59:59,916326711.5
 11-2-2023,18:00:00 a 23:59:59,916825038.0
 12-2-2023,00:00:00 a 05:59:59,927886015.0
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,917498310.5
 12-2-2023,18:00:00 a 23:59:59,928882953.0
 13-2-2023,00:00:00 a 05:59:59,920111421.33
 13-2-2023,06:00:00 a 11:59:59,916784390.0
 13-2-2023,12:00:00 a 17:59:59,916064224.0
 13-2-2023,18:00:00 a 23:59:59,916693736.5
 14-2-2023,00:00:00 a 05:59:59,916982829.0
 14-2-2023,06:00:00 a 11:59:59,915959548.5
 14-2-2023,12:00:00 a 17:59:59,929197387.0
 14-2-2023,18:00:00 a 23:59:59,916980995.0
 15-2-2023,00:00:00 a 05:59:59,922437274.5
 15-2-2023,06:00:00 a 11:59:59,916196349.0
 15-2-2023,12:00:00 a 17:59:59,916824969.5
 15-2-2023,18:00:00 a 23:59:59,916928336.0
 16-2-2023,00:00:00 a 05:59:59,925344993.5
 16-2-2023,06:00:00 a 11:59:59,937167611.0
 16-2-2023,12:00:00 a 17:59:59,921383596.5
 16-2-2023,18:00:00 a 23:59:59,915775726.0
 17-2-2023,00:00:00 a 05:59:59,-1
 17-2-2023,06:00:00 a 11:59:59,917401665.0
 17-2-2023,12:00:00 a 17:59:59,916559731.0
 17-2-2023,18:00:00 a 23:59:59,928034554.0
 18-2-2023,00:00:00 a 05:59:59,916247907.0
 18-2-2023,06:00:00 a 11:59:59,922123055.0
 18-2-2023,12:00:00 a 17:59:59,928305539.0
 18-2-2023,18:00:00 a 23:59:59,922523014.0
 19-2-2023,00:00:00 a 05:59:59,917664039.0
