Data,Intervalo,Vazao
10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,916431384.0
 11-2-2023,00:00:00 a 05:59:59,898317574.0
 11-2-2023,06:00:00 a 11:59:59,-1
 11-2-2023,12:00:00 a 17:59:59,937796336.0
 11-2-2023,18:00:00 a 23:59:59,902144256.0
 12-2-2023,00:00:00 a 05:59:59,912746807.0
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,904218396.0
 12-2-2023,18:00:00 a 23:59:59,-1
 13-2-2023,00:00:00 a 05:59:59,924426542.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,905839066.5
 13-2-2023,18:00:00 a 23:59:59,920862251.0
 14-2-2023,00:00:00 a 05:59:59,906711464.0
 14-2-2023,06:00:00 a 11:59:59,919812982.0
 14-2-2023,12:00:00 a 17:59:59,871737231.0
 14-2-2023,18:00:00 a 23:59:59,905133609.0
 15-2-2023,00:00:00 a 05:59:59,-1
 15-2-2023,06:00:00 a 11:59:59,-1
 15-2-2023,12:00:00 a 17:59:59,692976797.5
 15-2-2023,18:00:00 a 23:59:59,902304249.0
 16-2-2023,00:00:00 a 05:59:59,915727556.0
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,909379694.0
 16-2-2023,18:00:00 a 23:59:59,915802469.5
 17-2-2023,00:00:00 a 05:59:59,-1
 17-2-2023,06:00:00 a 11:59:59,923538807.0
 17-2-2023,12:00:00 a 17:59:59,910427204.0
 17-2-2023,18:00:00 a 23:59:59,911423808.0
 18-2-2023,00:00:00 a 05:59:59,921961185.0
 18-2-2023,06:00:00 a 11:59:59,914597982.0
 18-2-2023,12:00:00 a 17:59:59,-1
 18-2-2023,18:00:00 a 23:59:59,911161949.5
 19-2-2023,00:00:00 a 05:59:59,920285211.0
 19-2-2023,06:00:00 a 11:59:59,-1
