Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,938310117.0
 10-1-2023,00:00:00 a 05:59:59,-1
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,937066782.0
 10-1-2023,18:00:00 a 23:59:59,-1
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,927988414.0
 11-1-2023,12:00:00 a 17:59:59,-1
 11-1-2023,18:00:00 a 23:59:59,939688054.0
 12-1-2023,00:00:00 a 05:59:59,941308134.0
 12-1-2023,06:00:00 a 11:59:59,939781306.0
 12-1-2023,12:00:00 a 17:59:59,928358711.0
 12-1-2023,18:00:00 a 23:59:59,928303729.0
 13-1-2023,00:00:00 a 05:59:59,936515962.0
 13-1-2023,06:00:00 a 11:59:59,931031328.0
 13-1-2023,12:00:00 a 17:59:59,938162870.0
 13-1-2023,18:00:00 a 23:59:59,942355581.0
 14-1-2023,00:00:00 a 05:59:59,936275175.0
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,-1
 14-1-2023,18:00:00 a 23:59:59,939844166.0
 15-1-2023,00:00:00 a 05:59:59,930580546.5
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,941410026.0
 15-1-2023,18:00:00 a 23:59:59,938948200.5
 16-1-2023,00:00:00 a 05:59:59,942637237.0
 16-1-2023,06:00:00 a 11:59:59,939786709.0
 16-1-2023,12:00:00 a 17:59:59,937166978.5
 16-1-2023,18:00:00 a 23:59:59,937794461.0
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,-1
 17-1-2023,18:00:00 a 23:59:59,929642359.0
 18-1-2023,00:00:00 a 05:59:59,-1
 18-1-2023,06:00:00 a 11:59:59,931083305.5
 18-1-2023,12:00:00 a 17:59:59,-1
 18-1-2023,18:00:00 a 23:59:59,932551497.67
 19-1-2023,00:00:00 a 05:59:59,929249259.0
 19-1-2023,06:00:00 a 11:59:59,931504165.5
 19-1-2023,12:00:00 a 17:59:59,927623732.0
 19-1-2023,18:00:00 a 23:59:59,927357600.0
 20-1-2023,00:00:00 a 05:59:59,-1
 20-1-2023,06:00:00 a 11:59:59,927730074.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,936880071.5
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,928699625.5
 24-1-2023,18:00:00 a 23:59:59,928465379.0
 25-1-2023,00:00:00 a 05:59:59,933600700.0
 25-1-2023,06:00:00 a 11:59:59,931397581.5
 25-1-2023,12:00:00 a 17:59:59,932503379.5
 25-1-2023,18:00:00 a 23:59:59,928151083.0
 26-1-2023,00:00:00 a 05:59:59,929153089.0
 26-1-2023,06:00:00 a 11:59:59,927777957.0
 26-1-2023,12:00:00 a 17:59:59,928673795.0
 26-1-2023,18:00:00 a 23:59:59,928986418.0
 27-1-2023,00:00:00 a 05:59:59,-1
 27-1-2023,06:00:00 a 11:59:59,911319315.0
 27-1-2023,12:00:00 a 17:59:59,-1
 27-1-2023,18:00:00 a 23:59:59,-1
 28-1-2023,00:00:00 a 05:59:59,929669945.0
