Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,4213504317.0
 9-1-2023,12:00:00 a 17:59:59,4219093751.0
 9-1-2023,18:00:00 a 23:59:59,6464436388.0
 10-1-2023,00:00:00 a 05:59:59,8428569681.0
 10-1-2023,06:00:00 a 11:59:59,3498122253.0
 10-1-2023,12:00:00 a 17:59:59,4668827731.0
 10-1-2023,18:00:00 a 23:59:59,6008847552.33
 11-1-2023,00:00:00 a 05:59:59,8700382271.0
 11-1-2023,06:00:00 a 11:59:59,7043193516.0
 11-1-2023,12:00:00 a 17:59:59,3117990532.33
 11-1-2023,18:00:00 a 23:59:59,6523870913.0
 12-1-2023,00:00:00 a 05:59:59,4918631281.0
 12-1-2023,06:00:00 a 11:59:59,5994406108.0
 12-1-2023,12:00:00 a 17:59:59,4792778207.5
 12-1-2023,18:00:00 a 23:59:59,4950299371.0
 13-1-2023,00:00:00 a 05:59:59,7858790154.0
 13-1-2023,06:00:00 a 11:59:59,2663962154.0
 13-1-2023,12:00:00 a 17:59:59,3876670270.0
 13-1-2023,18:00:00 a 23:59:59,7564315964.0
 14-1-2023,00:00:00 a 05:59:59,7999953305.0
 14-1-2023,06:00:00 a 11:59:59,7374657490.5
 14-1-2023,12:00:00 a 17:59:59,7477202718.0
 14-1-2023,18:00:00 a 23:59:59,7705296307.5
 15-1-2023,00:00:00 a 05:59:59,-1
 15-1-2023,06:00:00 a 11:59:59,4225190267.0
 15-1-2023,12:00:00 a 17:59:59,-1
 15-1-2023,18:00:00 a 23:59:59,-1
 16-1-2023,00:00:00 a 05:59:59,-1
 16-1-2023,06:00:00 a 11:59:59,-1
 16-1-2023,12:00:00 a 17:59:59,4293165227.0
 16-1-2023,18:00:00 a 23:59:59,4338483710.5
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,6754044420.0
 17-1-2023,18:00:00 a 23:59:59,6553175502.5
 18-1-2023,00:00:00 a 05:59:59,7101256687.0
 18-1-2023,06:00:00 a 11:59:59,5887346753.0
 18-1-2023,12:00:00 a 17:59:59,3720930561.5
 18-1-2023,18:00:00 a 23:59:59,7224488265.0
 19-1-2023,00:00:00 a 05:59:59,8462644235.0
 19-1-2023,06:00:00 a 11:59:59,4486377983.0
 19-1-2023,12:00:00 a 17:59:59,3328313294.0
 19-1-2023,18:00:00 a 23:59:59,7933541697.5
 20-1-2023,00:00:00 a 05:59:59,4612377939.0
 20-1-2023,06:00:00 a 11:59:59,4058199743.5
 20-1-2023,12:00:00 a 17:59:59,4537407475.0
 20-1-2023,18:00:00 a 23:59:59,5872712753.0
 21-1-2023,00:00:00 a 05:59:59,5881554029.5
 21-1-2023,06:00:00 a 11:59:59,7707841613.0
 21-1-2023,12:00:00 a 17:59:59,8238934074.0
 21-1-2023,18:00:00 a 23:59:59,8269026024.5
 22-1-2023,00:00:00 a 05:59:59,7198480183.5
 22-1-2023,06:00:00 a 11:59:59,7897679030.0
 22-1-2023,12:00:00 a 17:59:59,6811181439.0
 22-1-2023,18:00:00 a 23:59:59,6947126751.0
 23-1-2023,00:00:00 a 05:59:59,8018430737.67
 23-1-2023,06:00:00 a 11:59:59,4875580404.0
 23-1-2023,12:00:00 a 17:59:59,4445521141.0
 23-1-2023,18:00:00 a 23:59:59,7801139585.5
 24-1-2023,00:00:00 a 05:59:59,-1
 24-1-2023,06:00:00 a 11:59:59,6989451965.5
 24-1-2023,12:00:00 a 17:59:59,4943780263.0
 24-1-2023,18:00:00 a 23:59:59,7637149064.0
 25-1-2023,00:00:00 a 05:59:59,8398655852.0
 25-1-2023,06:00:00 a 11:59:59,6330928158.0
 25-1-2023,12:00:00 a 17:59:59,5050155186.0
 25-1-2023,18:00:00 a 23:59:59,7754415578.0
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,3505868399.5
 26-1-2023,12:00:00 a 17:59:59,3638606818.0
 26-1-2023,18:00:00 a 23:59:59,7984663259.0
 27-1-2023,00:00:00 a 05:59:59,8220768202.0
 27-1-2023,06:00:00 a 11:59:59,2770710057.0
 27-1-2023,12:00:00 a 17:59:59,4180896024.0
 27-1-2023,18:00:00 a 23:59:59,-1
 28-1-2023,00:00:00 a 05:59:59,7730625986.5
 28-1-2023,06:00:00 a 11:59:59,7231104470.5
 28-1-2023,12:00:00 a 17:59:59,7104334849.0
 28-1-2023,18:00:00 a 23:59:59,4731662286.5
 29-1-2023,00:00:00 a 05:59:59,8507989653.0
