Data,Intervalo,Vazao
6-1-2023,00:00:00 a 05:59:59,-1
 6-1-2023,06:00:00 a 11:59:59,4216642252.0
 6-1-2023,12:00:00 a 17:59:59,-1
 6-1-2023,18:00:00 a 23:59:59,4404279141.0
 7-1-2023,00:00:00 a 05:59:59,-1
 7-1-2023,06:00:00 a 11:59:59,5071486195.0
 7-1-2023,12:00:00 a 17:59:59,-1
 7-1-2023,18:00:00 a 23:59:59,3363049747.0
 8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,5978263685.0
 8-1-2023,12:00:00 a 17:59:59,5884888310.0
 8-1-2023,18:00:00 a 23:59:59,5099458900.5
 9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,3191210370.0
 9-1-2023,12:00:00 a 17:59:59,4534381320.5
 9-1-2023,18:00:00 a 23:59:59,4270584023.0
 10-1-2023,00:00:00 a 05:59:59,2690126301.0
 10-1-2023,06:00:00 a 11:59:59,4611956663.0
 10-1-2023,12:00:00 a 17:59:59,3805395906.0
 10-1-2023,18:00:00 a 23:59:59,5900233769.0
 11-1-2023,00:00:00 a 05:59:59,3513802069.0
 11-1-2023,06:00:00 a 11:59:59,3762377602.0
 11-1-2023,12:00:00 a 17:59:59,2170970474.0
 11-1-2023,18:00:00 a 23:59:59,3192390110.0
 12-1-2023,00:00:00 a 05:59:59,3989731777.33
 12-1-2023,06:00:00 a 11:59:59,4347673022.0
 12-1-2023,12:00:00 a 17:59:59,3855205316.0
 12-1-2023,18:00:00 a 23:59:59,3185557459.0
 13-1-2023,00:00:00 a 05:59:59,2929112827.67
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,3932950561.0
 13-1-2023,18:00:00 a 23:59:59,2768772542.0
 14-1-2023,00:00:00 a 05:59:59,2937384907.0
 14-1-2023,06:00:00 a 11:59:59,2588305257.0
 14-1-2023,12:00:00 a 17:59:59,2823869008.0
 14-1-2023,18:00:00 a 23:59:59,4593992890.5
 15-1-2023,00:00:00 a 05:59:59,-1
