Data,Intervalo,Vazao
6-1-2023,00:00:00 a 05:59:59,7224349877.0
 6-1-2023,06:00:00 a 11:59:59,6151684510.0
 6-1-2023,12:00:00 a 17:59:59,3904745324.5
 6-1-2023,18:00:00 a 23:59:59,3461512200.0
 7-1-2023,00:00:00 a 05:59:59,7451642215.0
 7-1-2023,06:00:00 a 11:59:59,6336491388.0
 7-1-2023,12:00:00 a 17:59:59,4422999973.0
 7-1-2023,18:00:00 a 23:59:59,5192077790.0
 8-1-2023,00:00:00 a 05:59:59,5845920164.0
 8-1-2023,06:00:00 a 11:59:59,2959964769.0
 8-1-2023,12:00:00 a 17:59:59,6884389133.0
 8-1-2023,18:00:00 a 23:59:59,4813779195.0
 9-1-2023,00:00:00 a 05:59:59,6304528739.0
 9-1-2023,06:00:00 a 11:59:59,4112487384.5
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,-1
 10-1-2023,00:00:00 a 05:59:59,6141171838.5
 10-1-2023,06:00:00 a 11:59:59,5869981757.0
 10-1-2023,12:00:00 a 17:59:59,2960449061.0
 10-1-2023,18:00:00 a 23:59:59,7256707217.0
 11-1-2023,00:00:00 a 05:59:59,6673809215.5
 11-1-2023,06:00:00 a 11:59:59,3394079322.0
 11-1-2023,12:00:00 a 17:59:59,5037313570.0
 11-1-2023,18:00:00 a 23:59:59,6530820901.0
 12-1-2023,00:00:00 a 05:59:59,6481538276.5
 12-1-2023,06:00:00 a 11:59:59,4359509982.0
 12-1-2023,12:00:00 a 17:59:59,4657621040.0
 12-1-2023,18:00:00 a 23:59:59,5154331622.0
 13-1-2023,00:00:00 a 05:59:59,5395365984.5
 13-1-2023,06:00:00 a 11:59:59,4672156202.0
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,8232884434.0
 14-1-2023,00:00:00 a 05:59:59,6702066133.0
 14-1-2023,06:00:00 a 11:59:59,7465959631.0
 14-1-2023,12:00:00 a 17:59:59,7903519626.0
 14-1-2023,18:00:00 a 23:59:59,5181229169.67
 15-1-2023,00:00:00 a 05:59:59,3312667924.0
 15-1-2023,06:00:00 a 11:59:59,6988139328.0
 15-1-2023,12:00:00 a 17:59:59,4520243227.0
 15-1-2023,18:00:00 a 23:59:59,2862674785.0
 16-1-2023,00:00:00 a 05:59:59,5468591452.0
 16-1-2023,06:00:00 a 11:59:59,5037311851.0
 16-1-2023,12:00:00 a 17:59:59,5911895664.0
 16-1-2023,18:00:00 a 23:59:59,5419315647.0
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,4165217940.33
 17-1-2023,12:00:00 a 17:59:59,-1
 17-1-2023,18:00:00 a 23:59:59,5631337457.33
 18-1-2023,00:00:00 a 05:59:59,6279182292.0
 18-1-2023,06:00:00 a 11:59:59,4315838336.5
 18-1-2023,12:00:00 a 17:59:59,4483212018.0
 18-1-2023,18:00:00 a 23:59:59,-1
 19-1-2023,00:00:00 a 05:59:59,6996299407.5
 19-1-2023,06:00:00 a 11:59:59,5212845334.0
 19-1-2023,12:00:00 a 17:59:59,4546358163.0
 19-1-2023,18:00:00 a 23:59:59,6730835930.0
 20-1-2023,00:00:00 a 05:59:59,5934304189.0
 20-1-2023,06:00:00 a 11:59:59,5064852054.0
 20-1-2023,12:00:00 a 17:59:59,4279613790.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,5681773132.0
 21-1-2023,06:00:00 a 11:59:59,5520262073.0
 21-1-2023,12:00:00 a 17:59:59,4671305785.0
 21-1-2023,18:00:00 a 23:59:59,5389223638.5
 22-1-2023,00:00:00 a 05:59:59,8808030472.0
 22-1-2023,06:00:00 a 11:59:59,5883364635.0
 22-1-2023,12:00:00 a 17:59:59,6091188948.0
 22-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,6559297500.5
 23-1-2023,06:00:00 a 11:59:59,3869674931.0
 23-1-2023,12:00:00 a 17:59:59,6777252450.0
 23-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,7104325258.0
 24-1-2023,06:00:00 a 11:59:59,5862696498.0
 24-1-2023,12:00:00 a 17:59:59,6525087170.5
 24-1-2023,18:00:00 a 23:59:59,7471581462.0
 25-1-2023,00:00:00 a 05:59:59,7086434323.0
 25-1-2023,06:00:00 a 11:59:59,8509973013.0
 25-1-2023,12:00:00 a 17:59:59,7052625781.0
 25-1-2023,18:00:00 a 23:59:59,7085024418.0
 26-1-2023,00:00:00 a 05:59:59,6684264935.0
 26-1-2023,06:00:00 a 11:59:59,4131917033.0
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,5282755094.0
 27-1-2023,00:00:00 a 05:59:59,6159193843.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,3173095596.0
 27-1-2023,18:00:00 a 23:59:59,5573117307.0
 28-1-2023,00:00:00 a 05:59:59,7956220912.5
 28-1-2023,06:00:00 a 11:59:59,8495661237.0
 28-1-2023,12:00:00 a 17:59:59,6610919222.0
 28-1-2023,18:00:00 a 23:59:59,5727902838.0
 29-1-2023,00:00:00 a 05:59:59,7678852784.0
 29-1-2023,06:00:00 a 11:59:59,7567377276.0
 29-1-2023,12:00:00 a 17:59:59,7395407901.5
 29-1-2023,18:00:00 a 23:59:59,8540691187.5
 30-1-2023,00:00:00 a 05:59:59,6828036418.0
 30-1-2023,06:00:00 a 11:59:59,6550566764.0
 30-1-2023,12:00:00 a 17:59:59,3762451360.0
 30-1-2023,18:00:00 a 23:59:59,-1
 31-1-2023,00:00:00 a 05:59:59,6810388814.0
 31-1-2023,06:00:00 a 11:59:59,6004828951.0
 31-1-2023,12:00:00 a 17:59:59,4747103493.5
 31-1-2023,18:00:00 a 23:59:59,3241931930.0
 1-2-2023,00:00:00 a 05:59:59,6961742544.0
 1-2-2023,06:00:00 a 11:59:59,6311596410.0
 1-2-2023,12:00:00 a 17:59:59,4941930390.5
 1-2-2023,18:00:00 a 23:59:59,5623256567.0
