Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,927422595.0
 9-1-2023,06:00:00 a 11:59:59,928176834.0
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,929302942.0
 10-1-2023,00:00:00 a 05:59:59,909645137.0
 10-1-2023,06:00:00 a 11:59:59,927115668.0
 10-1-2023,12:00:00 a 17:59:59,926573255.0
 10-1-2023,18:00:00 a 23:59:59,913768143.5
 11-1-2023,00:00:00 a 05:59:59,923432535.0
 11-1-2023,06:00:00 a 11:59:59,931032398.5
 11-1-2023,12:00:00 a 17:59:59,921096503.0
 11-1-2023,18:00:00 a 23:59:59,925632639.0
 12-1-2023,00:00:00 a 05:59:59,-1
 12-1-2023,06:00:00 a 11:59:59,928248034.0
 12-1-2023,12:00:00 a 17:59:59,927993982.33
 12-1-2023,18:00:00 a 23:59:59,926364420.0
 13-1-2023,00:00:00 a 05:59:59,917348731.0
 13-1-2023,06:00:00 a 11:59:59,914308494.0
 13-1-2023,12:00:00 a 17:59:59,916294472.0
 13-1-2023,18:00:00 a 23:59:59,825335053.0
 14-1-2023,00:00:00 a 05:59:59,908951435.5
 14-1-2023,06:00:00 a 11:59:59,919009477.5
 14-1-2023,12:00:00 a 17:59:59,916089521.0
 14-1-2023,18:00:00 a 23:59:59,927886900.0
 15-1-2023,00:00:00 a 05:59:59,926524487.5
 15-1-2023,06:00:00 a 11:59:59,916017174.0
 15-1-2023,12:00:00 a 17:59:59,917450745.0
 15-1-2023,18:00:00 a 23:59:59,921121671.5
 16-1-2023,00:00:00 a 05:59:59,919890220.0
 16-1-2023,06:00:00 a 11:59:59,927151266.0
 16-1-2023,12:00:00 a 17:59:59,915486681.0
 16-1-2023,18:00:00 a 23:59:59,926088050.33
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,920010541.5
 17-1-2023,12:00:00 a 17:59:59,925054278.0
 17-1-2023,18:00:00 a 23:59:59,923455998.0
 18-1-2023,00:00:00 a 05:59:59,911687320.0
 18-1-2023,06:00:00 a 11:59:59,921161987.0
 18-1-2023,12:00:00 a 17:59:59,924318773.0
 18-1-2023,18:00:00 a 23:59:59,923589014.5
 19-1-2023,00:00:00 a 05:59:59,914622153.0
 19-1-2023,06:00:00 a 11:59:59,927677228.0
 19-1-2023,12:00:00 a 17:59:59,930635418.5
 19-1-2023,18:00:00 a 23:59:59,914329539.0
 20-1-2023,00:00:00 a 05:59:59,927649676.0
 20-1-2023,06:00:00 a 11:59:59,920687736.0
 20-1-2023,12:00:00 a 17:59:59,921438141.0
 20-1-2023,18:00:00 a 23:59:59,914698144.0
 21-1-2023,00:00:00 a 05:59:59,914243243.5
 21-1-2023,06:00:00 a 11:59:59,923901976.0
 21-1-2023,12:00:00 a 17:59:59,925740807.5
 21-1-2023,18:00:00 a 23:59:59,917294604.5
 22-1-2023,00:00:00 a 05:59:59,915146351.0
 22-1-2023,06:00:00 a 11:59:59,918858626.0
 22-1-2023,12:00:00 a 17:59:59,912787096.0
 22-1-2023,18:00:00 a 23:59:59,927467790.0
 23-1-2023,00:00:00 a 05:59:59,928174328.0
 23-1-2023,06:00:00 a 11:59:59,924588029.5
 23-1-2023,12:00:00 a 17:59:59,896156450.0
 23-1-2023,18:00:00 a 23:59:59,927901716.67
 24-1-2023,00:00:00 a 05:59:59,926732673.0
 24-1-2023,06:00:00 a 11:59:59,918975164.0
 24-1-2023,12:00:00 a 17:59:59,928229308.5
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,921125470.5
 25-1-2023,06:00:00 a 11:59:59,927022470.0
 25-1-2023,12:00:00 a 17:59:59,927671754.0
 25-1-2023,18:00:00 a 23:59:59,914647015.5
 26-1-2023,00:00:00 a 05:59:59,925538430.5
 26-1-2023,06:00:00 a 11:59:59,921647414.0
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,919051066.5
 27-1-2023,00:00:00 a 05:59:59,865120863.0
 27-1-2023,06:00:00 a 11:59:59,908486564.0
 27-1-2023,12:00:00 a 17:59:59,911668730.0
 27-1-2023,18:00:00 a 23:59:59,929253859.0
 28-1-2023,00:00:00 a 05:59:59,915509279.0
 28-1-2023,06:00:00 a 11:59:59,911936954.5
 28-1-2023,12:00:00 a 17:59:59,919157277.0
 28-1-2023,18:00:00 a 23:59:59,911210174.0
 29-1-2023,00:00:00 a 05:59:59,913519228.0
 29-1-2023,06:00:00 a 11:59:59,881565152.5
 29-1-2023,12:00:00 a 17:59:59,919971095.5
 29-1-2023,18:00:00 a 23:59:59,931454619.5
 30-1-2023,00:00:00 a 05:59:59,916300932.0
 30-1-2023,06:00:00 a 11:59:59,914538222.0
 30-1-2023,12:00:00 a 17:59:59,913806981.0
 30-1-2023,18:00:00 a 23:59:59,-1
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,914099967.0
 31-1-2023,18:00:00 a 23:59:59,925947490.0
 1-2-2023,00:00:00 a 05:59:59,927048961.0
 1-2-2023,06:00:00 a 11:59:59,918943597.0
 1-2-2023,12:00:00 a 17:59:59,-1
 1-2-2023,18:00:00 a 23:59:59,925946981.0
 2-2-2023,00:00:00 a 05:59:59,916458035.0
 2-2-2023,06:00:00 a 11:59:59,917715418.0
 2-2-2023,12:00:00 a 17:59:59,916982026.5
 2-2-2023,18:00:00 a 23:59:59,910636555.0
 3-2-2023,00:00:00 a 05:59:59,921595814.0
 3-2-2023,06:00:00 a 11:59:59,925274026.5
 3-2-2023,12:00:00 a 17:59:59,917351331.5
 3-2-2023,18:00:00 a 23:59:59,928360660.0
 4-2-2023,00:00:00 a 05:59:59,925398537.5
 4-2-2023,06:00:00 a 11:59:59,914881370.0
 4-2-2023,12:00:00 a 17:59:59,921332750.5
 4-2-2023,18:00:00 a 23:59:59,920600153.0
 5-2-2023,00:00:00 a 05:59:59,921149500.0
 5-2-2023,06:00:00 a 11:59:59,911895851.0
 5-2-2023,12:00:00 a 17:59:59,927414642.5
 5-2-2023,18:00:00 a 23:59:59,914413306.0
 6-2-2023,00:00:00 a 05:59:59,913011718.0
 6-2-2023,06:00:00 a 11:59:59,914673850.0
 6-2-2023,12:00:00 a 17:59:59,914621218.0
 6-2-2023,18:00:00 a 23:59:59,927260022.0
 7-2-2023,00:00:00 a 05:59:59,920971050.5
 7-2-2023,06:00:00 a 11:59:59,923434918.0
 7-2-2023,12:00:00 a 17:59:59,914725343.5
 7-2-2023,18:00:00 a 23:59:59,-1
 8-2-2023,00:00:00 a 05:59:59,919297868.5
 8-2-2023,06:00:00 a 11:59:59,927573854.0
 8-2-2023,12:00:00 a 17:59:59,914136752.0
 8-2-2023,18:00:00 a 23:59:59,915670823.0
 9-2-2023,00:00:00 a 05:59:59,915254275.0
 9-2-2023,06:00:00 a 11:59:59,912632639.0
 9-2-2023,12:00:00 a 17:59:59,912445573.5
 9-2-2023,18:00:00 a 23:59:59,915829209.0
 10-2-2023,00:00:00 a 05:59:59,912946117.0
 10-2-2023,06:00:00 a 11:59:59,918686927.5
 10-2-2023,12:00:00 a 17:59:59,912055551.5
