Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,919346270.0
 5-1-2023,18:00:00 a 23:59:59,920597115.0
 6-1-2023,00:00:00 a 05:59:59,932604193.0
 6-1-2023,06:00:00 a 11:59:59,923324104.0
 6-1-2023,12:00:00 a 17:59:59,921822784.5
 6-1-2023,18:00:00 a 23:59:59,921752945.0
 7-1-2023,00:00:00 a 05:59:59,915488393.5
 7-1-2023,06:00:00 a 11:59:59,922614583.0
 7-1-2023,12:00:00 a 17:59:59,936325766.0
 7-1-2023,18:00:00 a 23:59:59,923799335.0
 8-1-2023,00:00:00 a 05:59:59,929436455.0
 8-1-2023,06:00:00 a 11:59:59,921566727.5
 8-1-2023,12:00:00 a 17:59:59,923482637.0
 8-1-2023,18:00:00 a 23:59:59,922695512.0
 9-1-2023,00:00:00 a 05:59:59,921568497.0
 9-1-2023,06:00:00 a 11:59:59,922012784.0
 9-1-2023,12:00:00 a 17:59:59,916640393.5
 9-1-2023,18:00:00 a 23:59:59,919708308.0
 10-1-2023,00:00:00 a 05:59:59,914153630.0
 10-1-2023,06:00:00 a 11:59:59,937743298.0
 10-1-2023,12:00:00 a 17:59:59,916435622.0
 10-1-2023,18:00:00 a 23:59:59,922381907.0
 11-1-2023,00:00:00 a 05:59:59,921357520.0
 11-1-2023,06:00:00 a 11:59:59,916988607.5
 11-1-2023,12:00:00 a 17:59:59,-1
 11-1-2023,18:00:00 a 23:59:59,924534590.0
 12-1-2023,00:00:00 a 05:59:59,923035998.0
 12-1-2023,06:00:00 a 11:59:59,922488656.0
 12-1-2023,12:00:00 a 17:59:59,912495914.0
 12-1-2023,18:00:00 a 23:59:59,919812108.0
 13-1-2023,00:00:00 a 05:59:59,923430185.5
 13-1-2023,06:00:00 a 11:59:59,915959570.5
 13-1-2023,12:00:00 a 17:59:59,906705797.0
 13-1-2023,18:00:00 a 23:59:59,919293819.5
 14-1-2023,00:00:00 a 05:59:59,921542492.0
 14-1-2023,06:00:00 a 11:59:59,918341115.0
 14-1-2023,12:00:00 a 17:59:59,923401824.0
 14-1-2023,18:00:00 a 23:59:59,924111276.0
 15-1-2023,00:00:00 a 05:59:59,922332568.0
 15-1-2023,06:00:00 a 11:59:59,915880172.0
 15-1-2023,12:00:00 a 17:59:59,924213823.0
 15-1-2023,18:00:00 a 23:59:59,920422294.0
 16-1-2023,00:00:00 a 05:59:59,909088495.5
 16-1-2023,06:00:00 a 11:59:59,913416317.5
 16-1-2023,12:00:00 a 17:59:59,922276634.0
 16-1-2023,18:00:00 a 23:59:59,923588234.0
 17-1-2023,00:00:00 a 05:59:59,928410835.5
 17-1-2023,06:00:00 a 11:59:59,922696250.0
 17-1-2023,12:00:00 a 17:59:59,923639462.0
 17-1-2023,18:00:00 a 23:59:59,922408352.0
 18-1-2023,00:00:00 a 05:59:59,906704165.0
 18-1-2023,06:00:00 a 11:59:59,919570272.5
 18-1-2023,12:00:00 a 17:59:59,912787461.0
 18-1-2023,18:00:00 a 23:59:59,923637523.0
 19-1-2023,00:00:00 a 05:59:59,928174062.0
 19-1-2023,06:00:00 a 11:59:59,919866653.0
 19-1-2023,12:00:00 a 17:59:59,927451237.5
 19-1-2023,18:00:00 a 23:59:59,922700725.0
 20-1-2023,00:00:00 a 05:59:59,923379580.0
 20-1-2023,06:00:00 a 11:59:59,915932006.0
 20-1-2023,12:00:00 a 17:59:59,914437997.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,920546021.0
 21-1-2023,06:00:00 a 11:59:59,922852245.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,907255293.5
 22-1-2023,00:00:00 a 05:59:59,923377595.0
 22-1-2023,06:00:00 a 11:59:59,917505513.0
 22-1-2023,12:00:00 a 17:59:59,910477448.0
 22-1-2023,18:00:00 a 23:59:59,923114226.0
 23-1-2023,00:00:00 a 05:59:59,922907765.0
 23-1-2023,06:00:00 a 11:59:59,920837511.5
 23-1-2023,12:00:00 a 17:59:59,921595888.0
 23-1-2023,18:00:00 a 23:59:59,921594183.0
 24-1-2023,00:00:00 a 05:59:59,922751309.0
 24-1-2023,06:00:00 a 11:59:59,916404975.0
 24-1-2023,12:00:00 a 17:59:59,922906381.0
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,914517044.5
 25-1-2023,06:00:00 a 11:59:59,918863963.0
 25-1-2023,12:00:00 a 17:59:59,923376856.0
 25-1-2023,18:00:00 a 23:59:59,920182699.0
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,925451291.5
 26-1-2023,12:00:00 a 17:59:59,916352536.0
 26-1-2023,18:00:00 a 23:59:59,921570827.5
 27-1-2023,00:00:00 a 05:59:59,921963720.0
 27-1-2023,06:00:00 a 11:59:59,907128857.0
 27-1-2023,12:00:00 a 17:59:59,912342158.5
 27-1-2023,18:00:00 a 23:59:59,928437912.0
 28-1-2023,00:00:00 a 05:59:59,-1
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,918633213.5
 28-1-2023,18:00:00 a 23:59:59,923272414.0
 29-1-2023,00:00:00 a 05:59:59,930953882.5
 29-1-2023,06:00:00 a 11:59:59,915722611.0
 29-1-2023,12:00:00 a 17:59:59,929065094.0
 29-1-2023,18:00:00 a 23:59:59,923062283.5
 30-1-2023,00:00:00 a 05:59:59,933550900.0
 30-1-2023,06:00:00 a 11:59:59,915778692.0
 30-1-2023,12:00:00 a 17:59:59,910431210.0
 30-1-2023,18:00:00 a 23:59:59,927573950.0
 31-1-2023,00:00:00 a 05:59:59,934333784.0
 31-1-2023,06:00:00 a 11:59:59,918657249.0
 31-1-2023,12:00:00 a 17:59:59,913074748.5
 31-1-2023,18:00:00 a 23:59:59,930298675.0
 1-2-2023,00:00:00 a 05:59:59,907492776.0
 1-2-2023,06:00:00 a 11:59:59,935495263.0
 1-2-2023,12:00:00 a 17:59:59,924451786.5
 1-2-2023,18:00:00 a 23:59:59,922542745.5
 2-2-2023,00:00:00 a 05:59:59,923858414.0
 2-2-2023,06:00:00 a 11:59:59,909903916.0
 2-2-2023,12:00:00 a 17:59:59,908383568.0
 2-2-2023,18:00:00 a 23:59:59,920941309.0
 3-2-2023,00:00:00 a 05:59:59,929093877.0
 3-2-2023,06:00:00 a 11:59:59,920755368.0
 3-2-2023,12:00:00 a 17:59:59,916379139.5
 3-2-2023,18:00:00 a 23:59:59,923143418.5
 4-2-2023,00:00:00 a 05:59:59,917774587.0
 4-2-2023,06:00:00 a 11:59:59,923089236.5
 4-2-2023,12:00:00 a 17:59:59,922383844.0
 4-2-2023,18:00:00 a 23:59:59,922532046.0
 5-2-2023,00:00:00 a 05:59:59,922278341.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,921430847.0
 5-2-2023,18:00:00 a 23:59:59,924479896.0
 6-2-2023,00:00:00 a 05:59:59,922355370.0
 6-2-2023,06:00:00 a 11:59:59,909014443.0
 6-2-2023,12:00:00 a 17:59:59,922013615.0
 6-2-2023,18:00:00 a 23:59:59,914337744.5
 7-2-2023,00:00:00 a 05:59:59,920966649.0
 7-2-2023,06:00:00 a 11:59:59,922982949.0
 7-2-2023,12:00:00 a 17:59:59,165361005.0
 7-2-2023,18:00:00 a 23:59:59,907282797.0
 8-2-2023,00:00:00 a 05:59:59,924058200.0
 8-2-2023,06:00:00 a 11:59:59,919574258.0
 8-2-2023,12:00:00 a 17:59:59,910900339.0
 8-2-2023,18:00:00 a 23:59:59,914956942.0
 9-2-2023,00:00:00 a 05:59:59,935069471.0
 9-2-2023,06:00:00 a 11:59:59,920049854.5
 9-2-2023,12:00:00 a 17:59:59,921384191.0
 9-2-2023,18:00:00 a 23:59:59,919262594.5
 10-2-2023,00:00:00 a 05:59:59,922223606.0
 10-2-2023,06:00:00 a 11:59:59,929093102.5
 10-2-2023,12:00:00 a 17:59:59,908743852.0
 10-2-2023,18:00:00 a 23:59:59,930116530.5
 11-2-2023,00:00:00 a 05:59:59,910637967.0
 11-2-2023,06:00:00 a 11:59:59,920126362.0
 11-2-2023,12:00:00 a 17:59:59,910264365.0
 11-2-2023,18:00:00 a 23:59:59,928255507.5
 12-2-2023,00:00:00 a 05:59:59,921754511.0
 12-2-2023,06:00:00 a 11:59:59,922772362.5
 12-2-2023,12:00:00 a 17:59:59,920492625.0
 12-2-2023,18:00:00 a 23:59:59,918818670.0
 13-2-2023,00:00:00 a 05:59:59,927465692.5
 13-2-2023,06:00:00 a 11:59:59,929797656.0
 13-2-2023,12:00:00 a 17:59:59,917663809.0
 13-2-2023,18:00:00 a 23:59:59,918004272.0
 14-2-2023,00:00:00 a 05:59:59,922800554.0
 14-2-2023,06:00:00 a 11:59:59,928559757.0
 14-2-2023,12:00:00 a 17:59:59,918243099.0
 14-2-2023,18:00:00 a 23:59:59,922342194.0
 15-2-2023,00:00:00 a 05:59:59,911372109.0
 15-2-2023,06:00:00 a 11:59:59,918698941.0
 15-2-2023,12:00:00 a 17:59:59,900886231.0
 15-2-2023,18:00:00 a 23:59:59,923214492.0
 16-2-2023,00:00:00 a 05:59:59,918317219.5
 16-2-2023,06:00:00 a 11:59:59,922722000.0
 16-2-2023,12:00:00 a 17:59:59,-1
 16-2-2023,18:00:00 a 23:59:59,924920093.0
 17-2-2023,00:00:00 a 05:59:59,917715504.0
 17-2-2023,06:00:00 a 11:59:59,921073257.0
 17-2-2023,12:00:00 a 17:59:59,911057786.5
 17-2-2023,18:00:00 a 23:59:59,918555147.5
 18-2-2023,00:00:00 a 05:59:59,920600337.0
 18-2-2023,06:00:00 a 11:59:59,917568861.0
 18-2-2023,12:00:00 a 17:59:59,920779388.0
 18-2-2023,18:00:00 a 23:59:59,920445903.0
 19-2-2023,00:00:00 a 05:59:59,911981330.0
 19-2-2023,06:00:00 a 11:59:59,928986991.0
 19-2-2023,12:00:00 a 17:59:59,908382933.0
 19-2-2023,18:00:00 a 23:59:59,920757640.5
 20-2-2023,00:00:00 a 05:59:59,921173371.0
 20-2-2023,06:00:00 a 11:59:59,904214750.5
 20-2-2023,12:00:00 a 17:59:59,920494834.0
 20-2-2023,18:00:00 a 23:59:59,920268692.0
 21-2-2023,00:00:00 a 05:59:59,921389535.0
 21-2-2023,06:00:00 a 11:59:59,915463174.5
 21-2-2023,12:00:00 a 17:59:59,935384652.0
 21-2-2023,18:00:00 a 23:59:59,909012261.0
 22-2-2023,00:00:00 a 05:59:59,921385203.5
 22-2-2023,06:00:00 a 11:59:59,917553280.0
 22-2-2023,12:00:00 a 17:59:59,923366757.0
 22-2-2023,18:00:00 a 23:59:59,920020720.0
 23-2-2023,00:00:00 a 05:59:59,909224613.0
 23-2-2023,06:00:00 a 11:59:59,922749186.0
 23-2-2023,12:00:00 a 17:59:59,921339225.0
 23-2-2023,18:00:00 a 23:59:59,923904702.0
 24-2-2023,00:00:00 a 05:59:59,921409065.0
 24-2-2023,06:00:00 a 11:59:59,-1
 24-2-2023,12:00:00 a 17:59:59,917006817.0
 24-2-2023,18:00:00 a 23:59:59,920112850.0
 25-2-2023,00:00:00 a 05:59:59,923595300.0
 25-2-2023,06:00:00 a 11:59:59,920705241.0
 25-2-2023,12:00:00 a 17:59:59,914414560.5
 25-2-2023,18:00:00 a 23:59:59,908336907.0
 26-2-2023,00:00:00 a 05:59:59,917781894.0
 26-2-2023,06:00:00 a 11:59:59,920390210.5
 26-2-2023,12:00:00 a 17:59:59,922171315.0
 26-2-2023,18:00:00 a 23:59:59,920887394.0
 27-2-2023,00:00:00 a 05:59:59,-1
 27-2-2023,06:00:00 a 11:59:59,913284605.5
 27-2-2023,12:00:00 a 17:59:59,913684052.0
 27-2-2023,18:00:00 a 23:59:59,919865733.0
 28-2-2023,00:00:00 a 05:59:59,928229177.5
 28-2-2023,06:00:00 a 11:59:59,914518463.0
 28-2-2023,12:00:00 a 17:59:59,905712863.0
 28-2-2023,18:00:00 a 23:59:59,920330741.5
 1-3-2023,00:00:00 a 05:59:59,922538179.0
 1-3-2023,06:00:00 a 11:59:59,919291870.0
 1-3-2023,12:00:00 a 17:59:59,920332118.0
 1-3-2023,18:00:00 a 23:59:59,918708355.5
 2-3-2023,00:00:00 a 05:59:59,910742233.0
 2-3-2023,06:00:00 a 11:59:59,913515528.0
 2-3-2023,12:00:00 a 17:59:59,934338223.0
 2-3-2023,18:00:00 a 23:59:59,907861186.0
 3-3-2023,00:00:00 a 05:59:59,920791867.33
 3-3-2023,06:00:00 a 11:59:59,918447396.0
 3-3-2023,12:00:00 a 17:59:59,915880767.0
 3-3-2023,18:00:00 a 23:59:59,917453818.0
 4-3-2023,00:00:00 a 05:59:59,915328288.0
 4-3-2023,06:00:00 a 11:59:59,918503166.5
 4-3-2023,12:00:00 a 17:59:59,908855883.0
 4-3-2023,18:00:00 a 23:59:59,920755713.0
 5-3-2023,00:00:00 a 05:59:59,-1
 5-3-2023,06:00:00 a 11:59:59,-1
 5-3-2023,12:00:00 a 17:59:59,919927895.5
 5-3-2023,18:00:00 a 23:59:59,932186347.0
 6-3-2023,00:00:00 a 05:59:59,922382830.0
 6-3-2023,06:00:00 a 11:59:59,923250087.5
 6-3-2023,12:00:00 a 17:59:59,910008038.0
 6-3-2023,18:00:00 a 23:59:59,-1
 7-3-2023,00:00:00 a 05:59:59,916718528.0
 7-3-2023,06:00:00 a 11:59:59,921149967.0
 7-3-2023,12:00:00 a 17:59:59,920623976.5
 7-3-2023,18:00:00 a 23:59:59,920392784.0
 8-3-2023,00:00:00 a 05:59:59,921120942.0
 8-3-2023,06:00:00 a 11:59:59,912107930.5
 8-3-2023,12:00:00 a 17:59:59,923282676.0
 8-3-2023,18:00:00 a 23:59:59,916034344.0
 9-3-2023,00:00:00 a 05:59:59,921492873.0
 9-3-2023,06:00:00 a 11:59:59,921572759.5
 9-3-2023,12:00:00 a 17:59:59,910322984.0
 9-3-2023,18:00:00 a 23:59:59,921961692.0
 10-3-2023,00:00:00 a 05:59:59,933446695.0
 10-3-2023,06:00:00 a 11:59:59,918685576.5
 10-3-2023,12:00:00 a 17:59:59,918133329.0
 10-3-2023,18:00:00 a 23:59:59,917977144.0
 11-3-2023,00:00:00 a 05:59:59,920966487.5
 11-3-2023,06:00:00 a 11:59:59,907676841.5
 11-3-2023,12:00:00 a 17:59:59,922343557.0
 11-3-2023,18:00:00 a 23:59:59,914620873.0
 12-3-2023,00:00:00 a 05:59:59,920549589.0
 12-3-2023,06:00:00 a 11:59:59,919313537.5
 12-3-2023,12:00:00 a 17:59:59,886163811.0
