Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,912527324.0
 6-1-2023,00:00:00 a 05:59:59,902716821.0
 6-1-2023,06:00:00 a 11:59:59,917178608.5
 6-1-2023,12:00:00 a 17:59:59,906705435.0
 6-1-2023,18:00:00 a 23:59:59,920532022.67
 7-1-2023,00:00:00 a 05:59:59,926049214.0
 7-1-2023,06:00:00 a 11:59:59,922225128.0
 7-1-2023,12:00:00 a 17:59:59,910794707.0
 7-1-2023,18:00:00 a 23:59:59,914200985.0
 8-1-2023,00:00:00 a 05:59:59,911605007.0
 8-1-2023,06:00:00 a 11:59:59,922458104.0
 8-1-2023,12:00:00 a 17:59:59,912334433.0
 8-1-2023,18:00:00 a 23:59:59,911476328.0
 9-1-2023,00:00:00 a 05:59:59,912178623.0
 9-1-2023,06:00:00 a 11:59:59,913568962.0
 9-1-2023,12:00:00 a 17:59:59,921178920.0
 9-1-2023,18:00:00 a 23:59:59,913417613.0
 10-1-2023,00:00:00 a 05:59:59,912629718.0
 10-1-2023,06:00:00 a 11:59:59,909175322.0
 10-1-2023,12:00:00 a 17:59:59,926420882.5
 10-1-2023,18:00:00 a 23:59:59,913495526.0
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,915928041.33
 11-1-2023,12:00:00 a 17:59:59,-1
 11-1-2023,18:00:00 a 23:59:59,900260385.5
 12-1-2023,00:00:00 a 05:59:59,911424264.0
 12-1-2023,06:00:00 a 11:59:59,919902996.0
 12-1-2023,12:00:00 a 17:59:59,910479769.0
 12-1-2023,18:00:00 a 23:59:59,903820806.0
 13-1-2023,00:00:00 a 05:59:59,915670551.0
 13-1-2023,06:00:00 a 11:59:59,908905404.0
 13-1-2023,12:00:00 a 17:59:59,912474005.5
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,919525346.5
 14-1-2023,06:00:00 a 11:59:59,903243727.0
 14-1-2023,12:00:00 a 17:59:59,-1
 14-1-2023,18:00:00 a 23:59:59,917924844.0
 15-1-2023,00:00:00 a 05:59:59,911213910.0
 15-1-2023,06:00:00 a 11:59:59,918870588.5
 15-1-2023,12:00:00 a 17:59:59,926624433.0
 15-1-2023,18:00:00 a 23:59:59,925792147.0
 16-1-2023,00:00:00 a 05:59:59,923965380.0
 16-1-2023,06:00:00 a 11:59:59,917441498.0
 16-1-2023,12:00:00 a 17:59:59,925450641.0
 16-1-2023,18:00:00 a 23:59:59,915408404.0
 17-1-2023,00:00:00 a 05:59:59,921147304.5
 17-1-2023,06:00:00 a 11:59:59,913680535.0
 17-1-2023,12:00:00 a 17:59:59,925882654.0
 17-1-2023,18:00:00 a 23:59:59,926024999.0
 18-1-2023,00:00:00 a 05:59:59,926522216.0
 18-1-2023,06:00:00 a 11:59:59,907595864.0
 18-1-2023,12:00:00 a 17:59:59,918457927.5
 18-1-2023,18:00:00 a 23:59:59,911268313.0
 19-1-2023,00:00:00 a 05:59:59,910376928.0
 19-1-2023,06:00:00 a 11:59:59,927937423.0
 19-1-2023,12:00:00 a 17:59:59,911667348.5
 19-1-2023,18:00:00 a 23:59:59,909062599.0
 20-1-2023,00:00:00 a 05:59:59,907230014.5
 20-1-2023,06:00:00 a 11:59:59,-1
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,915730761.0
 21-1-2023,06:00:00 a 11:59:59,915302810.0
 21-1-2023,12:00:00 a 17:59:59,918685114.5
 21-1-2023,18:00:00 a 23:59:59,902876184.0
 22-1-2023,00:00:00 a 05:59:59,925579052.0
 22-1-2023,06:00:00 a 11:59:59,924372634.0
 22-1-2023,12:00:00 a 17:59:59,925816626.0
 22-1-2023,18:00:00 a 23:59:59,906390861.0
 23-1-2023,00:00:00 a 05:59:59,911976341.0
 23-1-2023,06:00:00 a 11:59:59,912044290.0
 23-1-2023,12:00:00 a 17:59:59,918740530.5
 23-1-2023,18:00:00 a 23:59:59,733813323.0
 24-1-2023,00:00:00 a 05:59:59,912532602.5
 24-1-2023,06:00:00 a 11:59:59,910739500.0
 24-1-2023,12:00:00 a 17:59:59,909546276.0
 24-1-2023,18:00:00 a 23:59:59,830054605.0
 25-1-2023,00:00:00 a 05:59:59,180564669.0
 25-1-2023,06:00:00 a 11:59:59,903100906.0
 25-1-2023,12:00:00 a 17:59:59,916117751.5
 25-1-2023,18:00:00 a 23:59:59,925523616.0
 26-1-2023,00:00:00 a 05:59:59,911004468.0
 26-1-2023,06:00:00 a 11:59:59,910110037.0
 26-1-2023,12:00:00 a 17:59:59,918942501.5
 26-1-2023,18:00:00 a 23:59:59,913738492.0
 27-1-2023,00:00:00 a 05:59:59,919473730.5
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,909889985.0
 27-1-2023,18:00:00 a 23:59:59,912625611.0
 28-1-2023,00:00:00 a 05:59:59,925317464.0
 28-1-2023,06:00:00 a 11:59:59,918241973.5
 28-1-2023,12:00:00 a 17:59:59,911090890.5
 28-1-2023,18:00:00 a 23:59:59,910904028.0
 29-1-2023,00:00:00 a 05:59:59,925267857.0
 29-1-2023,06:00:00 a 11:59:59,902350679.33
 29-1-2023,12:00:00 a 17:59:59,-1
 29-1-2023,18:00:00 a 23:59:59,919447768.0
 30-1-2023,00:00:00 a 05:59:59,911320454.0
 30-1-2023,06:00:00 a 11:59:59,919263334.0
 30-1-2023,12:00:00 a 17:59:59,920447974.0
 30-1-2023,18:00:00 a 23:59:59,916326102.0
 31-1-2023,00:00:00 a 05:59:59,917664530.5
 31-1-2023,06:00:00 a 11:59:59,912526846.5
 31-1-2023,12:00:00 a 17:59:59,897905371.0
 31-1-2023,18:00:00 a 23:59:59,912010695.0
 1-2-2023,00:00:00 a 05:59:59,914830405.0
 1-2-2023,06:00:00 a 11:59:59,910587268.0
 1-2-2023,12:00:00 a 17:59:59,864841900.0
 1-2-2023,18:00:00 a 23:59:59,880282236.0
 2-2-2023,00:00:00 a 05:59:59,925798275.0
 2-2-2023,06:00:00 a 11:59:59,790105373.0
 2-2-2023,12:00:00 a 17:59:59,922722749.5
 2-2-2023,18:00:00 a 23:59:59,922647419.0
 3-2-2023,00:00:00 a 05:59:59,912665461.0
 3-2-2023,06:00:00 a 11:59:59,912314096.0
 3-2-2023,12:00:00 a 17:59:59,892811597.0
 3-2-2023,18:00:00 a 23:59:59,917455254.5
 4-2-2023,00:00:00 a 05:59:59,915143994.0
 4-2-2023,06:00:00 a 11:59:59,907440528.0
 4-2-2023,12:00:00 a 17:59:59,916091582.0
 4-2-2023,18:00:00 a 23:59:59,919789375.0
 5-2-2023,00:00:00 a 05:59:59,910482067.0
 5-2-2023,06:00:00 a 11:59:59,912107664.0
 5-2-2023,12:00:00 a 17:59:59,917797937.5
 5-2-2023,18:00:00 a 23:59:59,914254602.0
 6-2-2023,00:00:00 a 05:59:59,907874305.0
 6-2-2023,06:00:00 a 11:59:59,905925524.0
 6-2-2023,12:00:00 a 17:59:59,921308519.5
 6-2-2023,18:00:00 a 23:59:59,803057872.0
 7-2-2023,00:00:00 a 05:59:59,916751991.5
 7-2-2023,06:00:00 a 11:59:59,912684109.0
 7-2-2023,12:00:00 a 17:59:59,736914654.5
 7-2-2023,18:00:00 a 23:59:59,912577244.0
 8-2-2023,00:00:00 a 05:59:59,917375841.0
 8-2-2023,06:00:00 a 11:59:59,910847409.0
 8-2-2023,12:00:00 a 17:59:59,914833012.0
 8-2-2023,18:00:00 a 23:59:59,912211336.0
 9-2-2023,00:00:00 a 05:59:59,926834797.0
 9-2-2023,06:00:00 a 11:59:59,918948161.5
 9-2-2023,12:00:00 a 17:59:59,916956045.5
 9-2-2023,18:00:00 a 23:59:59,-1
 10-2-2023,00:00:00 a 05:59:59,914229107.0
 10-2-2023,06:00:00 a 11:59:59,927939001.0
 10-2-2023,12:00:00 a 17:59:59,910985580.0
 10-2-2023,18:00:00 a 23:59:59,-1
 11-2-2023,00:00:00 a 05:59:59,912681919.0
 11-2-2023,06:00:00 a 11:59:59,911345529.0
 11-2-2023,12:00:00 a 17:59:59,910481590.0
 11-2-2023,18:00:00 a 23:59:59,917404672.0
 12-2-2023,00:00:00 a 05:59:59,916252534.0
 12-2-2023,06:00:00 a 11:59:59,917742384.0
 12-2-2023,12:00:00 a 17:59:59,912184552.5
 12-2-2023,18:00:00 a 23:59:59,911479245.0
 13-2-2023,00:00:00 a 05:59:59,921805726.0
 13-2-2023,06:00:00 a 11:59:59,913679027.0
 13-2-2023,12:00:00 a 17:59:59,913214949.0
 13-2-2023,18:00:00 a 23:59:59,914469210.0
 14-2-2023,00:00:00 a 05:59:59,912000595.5
 14-2-2023,06:00:00 a 11:59:59,913795125.0
 14-2-2023,12:00:00 a 17:59:59,926627491.0
 14-2-2023,18:00:00 a 23:59:59,925685716.0
 15-2-2023,00:00:00 a 05:59:59,911373521.0
 15-2-2023,06:00:00 a 11:59:59,917534880.0
 15-2-2023,12:00:00 a 17:59:59,911841986.5
 15-2-2023,18:00:00 a 23:59:59,912055031.5
 16-2-2023,00:00:00 a 05:59:59,-1
 16-2-2023,06:00:00 a 11:59:59,912068049.0
 16-2-2023,12:00:00 a 17:59:59,-1
 16-2-2023,18:00:00 a 23:59:59,716234707.0
 17-2-2023,00:00:00 a 05:59:59,-1
 17-2-2023,06:00:00 a 11:59:59,899305855.0
 17-2-2023,12:00:00 a 17:59:59,917978631.0
 17-2-2023,18:00:00 a 23:59:59,911007383.0
 18-2-2023,00:00:00 a 05:59:59,908243168.5
 18-2-2023,06:00:00 a 11:59:59,909432147.0
 18-2-2023,12:00:00 a 17:59:59,913155057.0
 18-2-2023,18:00:00 a 23:59:59,913158843.0
 19-2-2023,00:00:00 a 05:59:59,912265059.5
 19-2-2023,06:00:00 a 11:59:59,918185882.0
 19-2-2023,12:00:00 a 17:59:59,924321731.0
 19-2-2023,18:00:00 a 23:59:59,891605777.0
 20-2-2023,00:00:00 a 05:59:59,-1
 20-2-2023,06:00:00 a 11:59:59,922851550.0
 20-2-2023,12:00:00 a 17:59:59,911239509.5
 20-2-2023,18:00:00 a 23:59:59,-1
 21-2-2023,00:00:00 a 05:59:59,916800617.5
 21-2-2023,06:00:00 a 11:59:59,799278654.0
 21-2-2023,12:00:00 a 17:59:59,908908039.0
 21-2-2023,18:00:00 a 23:59:59,911191594.0
 22-2-2023,00:00:00 a 05:59:59,920022569.0
 22-2-2023,06:00:00 a 11:59:59,928095731.0
 22-2-2023,12:00:00 a 17:59:59,921705723.0
 22-2-2023,18:00:00 a 23:59:59,918184232.5
 23-2-2023,00:00:00 a 05:59:59,917046996.0
 23-2-2023,06:00:00 a 11:59:59,915356295.0
 23-2-2023,12:00:00 a 17:59:59,910952131.0
 23-2-2023,18:00:00 a 23:59:59,914151207.0
 24-2-2023,00:00:00 a 05:59:59,914071215.5
 24-2-2023,06:00:00 a 11:59:59,911949055.0
 24-2-2023,12:00:00 a 17:59:59,912343479.5
 24-2-2023,18:00:00 a 23:59:59,915618028.0
 25-2-2023,00:00:00 a 05:59:59,916560785.0
 25-2-2023,06:00:00 a 11:59:59,912208599.0
 25-2-2023,12:00:00 a 17:59:59,925712254.0
 25-2-2023,18:00:00 a 23:59:59,820827509.0
 26-2-2023,00:00:00 a 05:59:59,925843327.5
 26-2-2023,06:00:00 a 11:59:59,913638247.0
 26-2-2023,12:00:00 a 17:59:59,911108961.5
 26-2-2023,18:00:00 a 23:59:59,684932582.0
 27-2-2023,00:00:00 a 05:59:59,888959077.5
 27-2-2023,06:00:00 a 11:59:59,919813166.0
 27-2-2023,12:00:00 a 17:59:59,910586266.0
 27-2-2023,18:00:00 a 23:59:59,-1
 28-2-2023,00:00:00 a 05:59:59,911616635.0
 28-2-2023,06:00:00 a 11:59:59,902355189.0
 28-2-2023,12:00:00 a 17:59:59,911477787.0
 28-2-2023,18:00:00 a 23:59:59,918685575.0
 1-3-2023,00:00:00 a 05:59:59,920597975.5
 1-3-2023,06:00:00 a 11:59:59,925256291.0
 1-3-2023,12:00:00 a 17:59:59,908801909.0
 1-3-2023,18:00:00 a 23:59:59,900837542.0
 2-3-2023,00:00:00 a 05:59:59,919606117.0
 2-3-2023,06:00:00 a 11:59:59,919762050.0
 2-3-2023,12:00:00 a 17:59:59,-1
 2-3-2023,18:00:00 a 23:59:59,910166470.0
 3-3-2023,00:00:00 a 05:59:59,904691475.5
 3-3-2023,06:00:00 a 11:59:59,903403950.0
 3-3-2023,12:00:00 a 17:59:59,912524085.0
 3-3-2023,18:00:00 a 23:59:59,925277586.0
 4-3-2023,00:00:00 a 05:59:59,916168193.5
 4-3-2023,06:00:00 a 11:59:59,914988103.0
 4-3-2023,12:00:00 a 17:59:59,927834514.0
 4-3-2023,18:00:00 a 23:59:59,889847514.0
 5-3-2023,00:00:00 a 05:59:59,908210423.0
 5-3-2023,06:00:00 a 11:59:59,911550631.0
 5-3-2023,12:00:00 a 17:59:59,914267125.5
 5-3-2023,18:00:00 a 23:59:59,-1
 6-3-2023,00:00:00 a 05:59:59,912134537.0
 6-3-2023,06:00:00 a 11:59:59,912001164.0
 6-3-2023,12:00:00 a 17:59:59,917845013.5
 6-3-2023,18:00:00 a 23:59:59,910533018.0
 7-3-2023,00:00:00 a 05:59:59,906509770.0
 7-3-2023,06:00:00 a 11:59:59,916405906.0
 7-3-2023,12:00:00 a 17:59:59,918582927.0
 7-3-2023,18:00:00 a 23:59:59,-1
 8-3-2023,00:00:00 a 05:59:59,913311248.0
 8-3-2023,06:00:00 a 11:59:59,910924458.5
 8-3-2023,12:00:00 a 17:59:59,908932935.0
 8-3-2023,18:00:00 a 23:59:59,899782435.0
 9-3-2023,00:00:00 a 05:59:59,907741570.0
 9-3-2023,06:00:00 a 11:59:59,912613065.0
 9-3-2023,12:00:00 a 17:59:59,909230266.0
 9-3-2023,18:00:00 a 23:59:59,913064315.0
 10-3-2023,00:00:00 a 05:59:59,924688687.0
 10-3-2023,06:00:00 a 11:59:59,922014075.0
 10-3-2023,12:00:00 a 17:59:59,912945433.0
 10-3-2023,18:00:00 a 23:59:59,911688758.0
 11-3-2023,00:00:00 a 05:59:59,911045881.0
 11-3-2023,06:00:00 a 11:59:59,915359041.0
 11-3-2023,12:00:00 a 17:59:59,909743136.5
 11-3-2023,18:00:00 a 23:59:59,913521603.0
 12-3-2023,00:00:00 a 05:59:59,912269466.5
 12-3-2023,06:00:00 a 11:59:59,918606290.0
 12-3-2023,12:00:00 a 17:59:59,927416335.0
 12-3-2023,18:00:00 a 23:59:59,902095390.0
