Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,928831014.0
 10-1-2023,00:00:00 a 05:59:59,925054996.0
 10-1-2023,06:00:00 a 11:59:59,911633455.5
 10-1-2023,12:00:00 a 17:59:59,924583228.0
 10-1-2023,18:00:00 a 23:59:59,911529350.0
 11-1-2023,00:00:00 a 05:59:59,924948172.5
 11-1-2023,06:00:00 a 11:59:59,924267407.0
 11-1-2023,12:00:00 a 17:59:59,-1
 11-1-2023,18:00:00 a 23:59:59,922983988.0
 12-1-2023,00:00:00 a 05:59:59,923954913.0
 12-1-2023,06:00:00 a 11:59:59,922646543.0
 12-1-2023,12:00:00 a 17:59:59,917426365.5
 12-1-2023,18:00:00 a 23:59:59,921700654.0
 13-1-2023,00:00:00 a 05:59:59,924160978.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,911685679.0
 14-1-2023,18:00:00 a 23:59:59,917721460.5
 15-1-2023,00:00:00 a 05:59:59,922853998.0
 15-1-2023,06:00:00 a 11:59:59,924477608.5
 15-1-2023,12:00:00 a 17:59:59,912265179.0
 15-1-2023,18:00:00 a 23:59:59,925475861.0
 16-1-2023,00:00:00 a 05:59:59,928187375.67
 16-1-2023,06:00:00 a 11:59:59,924791880.0
 16-1-2023,12:00:00 a 17:59:59,924058154.0
 16-1-2023,18:00:00 a 23:59:59,923614379.0
 17-1-2023,00:00:00 a 05:59:59,925791638.0
 17-1-2023,06:00:00 a 11:59:59,921804913.5
 17-1-2023,12:00:00 a 17:59:59,921385481.0
 17-1-2023,18:00:00 a 23:59:59,924295078.0
 18-1-2023,00:00:00 a 05:59:59,924896599.0
 18-1-2023,06:00:00 a 11:59:59,925109413.0
 18-1-2023,12:00:00 a 17:59:59,928126863.33
 18-1-2023,18:00:00 a 23:59:59,911641745.0
 19-1-2023,00:00:00 a 05:59:59,911003375.0
 19-1-2023,06:00:00 a 11:59:59,919916368.0
 19-1-2023,12:00:00 a 17:59:59,924742183.0
 19-1-2023,18:00:00 a 23:59:59,916091492.5
 20-1-2023,00:00:00 a 05:59:59,914641125.0
 20-1-2023,06:00:00 a 11:59:59,924954254.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,832015589.5
 21-1-2023,00:00:00 a 05:59:59,911427363.0
 21-1-2023,06:00:00 a 11:59:59,930716966.5
 21-1-2023,12:00:00 a 17:59:59,910742688.0
 21-1-2023,18:00:00 a 23:59:59,910219309.0
 22-1-2023,00:00:00 a 05:59:59,910481454.0
 22-1-2023,06:00:00 a 11:59:59,912350858.33
 22-1-2023,12:00:00 a 17:59:59,925581321.0
 22-1-2023,18:00:00 a 23:59:59,919463147.0
 23-1-2023,00:00:00 a 05:59:59,912956919.0
 23-1-2023,06:00:00 a 11:59:59,910008001.0
 23-1-2023,12:00:00 a 17:59:59,917793714.0
 23-1-2023,18:00:00 a 23:59:59,923062837.0
 24-1-2023,00:00:00 a 05:59:59,933740168.0
 24-1-2023,06:00:00 a 11:59:59,917936748.67
 24-1-2023,12:00:00 a 17:59:59,910743371.0
 24-1-2023,18:00:00 a 23:59:59,-1
