Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,911108916.0
 6-1-2023,00:00:00 a 05:59:59,-1
 6-1-2023,06:00:00 a 11:59:59,912082217.0
 6-1-2023,12:00:00 a 17:59:59,924924293.0
 6-1-2023,18:00:00 a 23:59:59,-1
 7-1-2023,00:00:00 a 05:59:59,911344253.5
 7-1-2023,06:00:00 a 11:59:59,924217612.0
 7-1-2023,12:00:00 a 17:59:59,912262761.5
 7-1-2023,18:00:00 a 23:59:59,918449463.0
 8-1-2023,00:00:00 a 05:59:59,913051021.0
 8-1-2023,06:00:00 a 11:59:59,925944851.0
 8-1-2023,12:00:00 a 17:59:59,916196929.5
 8-1-2023,18:00:00 a 23:59:59,912260709.0
 9-1-2023,00:00:00 a 05:59:59,912524906.0
 9-1-2023,06:00:00 a 11:59:59,913730634.0
 9-1-2023,12:00:00 a 17:59:59,938267212.0
 9-1-2023,18:00:00 a 23:59:59,912497143.0
 10-1-2023,00:00:00 a 05:59:59,928934871.5
 10-1-2023,06:00:00 a 11:59:59,920493730.0
 10-1-2023,12:00:00 a 17:59:59,917402823.5
 10-1-2023,18:00:00 a 23:59:59,-1
 11-1-2023,00:00:00 a 05:59:59,924845927.0
 11-1-2023,06:00:00 a 11:59:59,909850987.0
 11-1-2023,12:00:00 a 17:59:59,912000867.5
 11-1-2023,18:00:00 a 23:59:59,916955898.5
 12-1-2023,00:00:00 a 05:59:59,911790856.0
 12-1-2023,06:00:00 a 11:59:59,919288741.5
 12-1-2023,12:00:00 a 17:59:59,923689582.0
 12-1-2023,18:00:00 a 23:59:59,-1
 13-1-2023,00:00:00 a 05:59:59,922439317.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,925736062.0
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,900471528.0
 14-1-2023,06:00:00 a 11:59:59,912734713.0
 14-1-2023,12:00:00 a 17:59:59,911759583.0
 14-1-2023,18:00:00 a 23:59:59,918292106.5
 15-1-2023,00:00:00 a 05:59:59,924060880.0
 15-1-2023,06:00:00 a 11:59:59,911510723.0
 15-1-2023,12:00:00 a 17:59:59,911059539.0
 15-1-2023,18:00:00 a 23:59:59,924269718.0
 16-1-2023,00:00:00 a 05:59:59,864420018.0
 16-1-2023,06:00:00 a 11:59:59,923902346.0
 16-1-2023,12:00:00 a 17:59:59,918161607.5
 16-1-2023,18:00:00 a 23:59:59,908911902.0
 17-1-2023,00:00:00 a 05:59:59,918211329.5
 17-1-2023,06:00:00 a 11:59:59,923857467.0
 17-1-2023,12:00:00 a 17:59:59,924105131.0
 17-1-2023,18:00:00 a 23:59:59,911108415.0
 18-1-2023,00:00:00 a 05:59:59,918582634.0
 18-1-2023,06:00:00 a 11:59:59,911083886.0
 18-1-2023,12:00:00 a 17:59:59,-1
 18-1-2023,18:00:00 a 23:59:59,911479017.0
 19-1-2023,00:00:00 a 05:59:59,917741248.5
 19-1-2023,06:00:00 a 11:59:59,910635963.0
 19-1-2023,12:00:00 a 17:59:59,918819283.5
 19-1-2023,18:00:00 a 23:59:59,912102739.0
 20-1-2023,00:00:00 a 05:59:59,-1
 20-1-2023,06:00:00 a 11:59:59,918917033.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,911373293.0
 21-1-2023,00:00:00 a 05:59:59,910217033.0
 21-1-2023,06:00:00 a 11:59:59,925526393.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,911532358.0
 22-1-2023,00:00:00 a 05:59:59,911528711.0
 22-1-2023,06:00:00 a 11:59:59,911816204.0
 22-1-2023,12:00:00 a 17:59:59,923794024.0
 22-1-2023,18:00:00 a 23:59:59,913100528.0
 23-1-2023,00:00:00 a 05:59:59,913361987.0
 23-1-2023,06:00:00 a 11:59:59,910530605.0
 23-1-2023,12:00:00 a 17:59:59,918608808.0
 23-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,-1
 24-1-2023,06:00:00 a 11:59:59,918187365.0
 24-1-2023,12:00:00 a 17:59:59,-1
 24-1-2023,18:00:00 a 23:59:59,925004370.0
 25-1-2023,00:00:00 a 05:59:59,917243871.5
 25-1-2023,06:00:00 a 11:59:59,923446923.0
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,912526365.5
 26-1-2023,00:00:00 a 05:59:59,573479378.0
 26-1-2023,06:00:00 a 11:59:59,924742041.0
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,918320259.5
 27-1-2023,00:00:00 a 05:59:59,911948963.0
 27-1-2023,06:00:00 a 11:59:59,910532335.0
 27-1-2023,12:00:00 a 17:59:59,920602646.0
 27-1-2023,18:00:00 a 23:59:59,923274814.0
 28-1-2023,00:00:00 a 05:59:59,912578065.0
 28-1-2023,06:00:00 a 11:59:59,925999595.0
 28-1-2023,12:00:00 a 17:59:59,912968686.0
 28-1-2023,18:00:00 a 23:59:59,925264850.0
 29-1-2023,00:00:00 a 05:59:59,918844524.0
 29-1-2023,06:00:00 a 11:59:59,923063298.0
 29-1-2023,12:00:00 a 17:59:59,912054505.0
 29-1-2023,18:00:00 a 23:59:59,937693682.0
 30-1-2023,00:00:00 a 05:59:59,923770319.0
 30-1-2023,06:00:00 a 11:59:59,925107193.0
 30-1-2023,12:00:00 a 17:59:59,911058309.0
 30-1-2023,18:00:00 a 23:59:59,-1
 31-1-2023,00:00:00 a 05:59:59,911788668.0
 31-1-2023,06:00:00 a 11:59:59,910481135.0
 31-1-2023,12:00:00 a 17:59:59,-1
 31-1-2023,18:00:00 a 23:59:59,911660011.0
 1-2-2023,00:00:00 a 05:59:59,911739384.0
 1-2-2023,06:00:00 a 11:59:59,912735467.0
 1-2-2023,12:00:00 a 17:59:59,915094288.5
 1-2-2023,18:00:00 a 23:59:59,912211017.0
 2-2-2023,00:00:00 a 05:59:59,911687844.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,-1
 2-2-2023,18:00:00 a 23:59:59,922592638.0
 3-2-2023,00:00:00 a 05:59:59,925005318.5
 3-2-2023,06:00:00 a 11:59:59,912840323.5
 3-2-2023,12:00:00 a 17:59:59,913311294.0
 3-2-2023,18:00:00 a 23:59:59,917351452.5
 4-2-2023,00:00:00 a 05:59:59,925060083.0
 4-2-2023,06:00:00 a 11:59:59,917059629.5
 4-2-2023,12:00:00 a 17:59:59,910326625.0
 4-2-2023,18:00:00 a 23:59:59,924516322.0
 5-2-2023,00:00:00 a 05:59:59,910872486.5
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,919015810.0
 5-2-2023,18:00:00 a 23:59:59,911529669.0
 6-2-2023,00:00:00 a 05:59:59,911164327.0
 6-2-2023,06:00:00 a 11:59:59,917008861.5
 6-2-2023,12:00:00 a 17:59:59,-1
 6-2-2023,18:00:00 a 23:59:59,924115296.0
 7-2-2023,00:00:00 a 05:59:59,912289455.0
 7-2-2023,06:00:00 a 11:59:59,925683864.0
 7-2-2023,12:00:00 a 17:59:59,912576149.0
 7-2-2023,18:00:00 a 23:59:59,925004000.0
 8-2-2023,00:00:00 a 05:59:59,911004331.0
 8-2-2023,06:00:00 a 11:59:59,913260006.0
 8-2-2023,12:00:00 a 17:59:59,924213362.5
 8-2-2023,18:00:00 a 23:59:59,923351542.5
 9-2-2023,00:00:00 a 05:59:59,-1
 9-2-2023,06:00:00 a 11:59:59,917368828.5
 9-2-2023,12:00:00 a 17:59:59,910845451.0
 9-2-2023,18:00:00 a 23:59:59,918712160.5
 10-2-2023,00:00:00 a 05:59:59,912210743.0
 10-2-2023,06:00:00 a 11:59:59,911007156.0
 10-2-2023,12:00:00 a 17:59:59,924006187.0
 10-2-2023,18:00:00 a 23:59:59,910477084.0
 11-2-2023,00:00:00 a 05:59:59,912473435.0
 11-2-2023,06:00:00 a 11:59:59,924611569.5
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,918036681.0
 12-2-2023,00:00:00 a 05:59:59,924527933.0
 12-2-2023,06:00:00 a 11:59:59,917529179.0
 12-2-2023,12:00:00 a 17:59:59,912002396.0
 12-2-2023,18:00:00 a 23:59:59,912577335.0
 13-2-2023,00:00:00 a 05:59:59,906609960.0
 13-2-2023,06:00:00 a 11:59:59,925580302.0
 13-2-2023,12:00:00 a 17:59:59,919053359.5
 13-2-2023,18:00:00 a 23:59:59,912634510.0
 14-2-2023,00:00:00 a 05:59:59,910586995.0
 14-2-2023,06:00:00 a 11:59:59,925632315.0
 14-2-2023,12:00:00 a 17:59:59,-1
 14-2-2023,18:00:00 a 23:59:59,-1
 15-2-2023,00:00:00 a 05:59:59,912420504.0
 15-2-2023,06:00:00 a 11:59:59,-1
 15-2-2023,12:00:00 a 17:59:59,910950582.0
 15-2-2023,18:00:00 a 23:59:59,920295308.5
 16-2-2023,00:00:00 a 05:59:59,918264456.0
 16-2-2023,06:00:00 a 11:59:59,913259093.0
 16-2-2023,12:00:00 a 17:59:59,925057539.0
 16-2-2023,18:00:00 a 23:59:59,910456991.5
 17-2-2023,00:00:00 a 05:59:59,917245700.5
 17-2-2023,06:00:00 a 11:59:59,-1
 17-2-2023,12:00:00 a 17:59:59,-1
 17-2-2023,18:00:00 a 23:59:59,925421489.0
 18-2-2023,00:00:00 a 05:59:59,911214184.0
 18-2-2023,06:00:00 a 11:59:59,912421052.0
 18-2-2023,12:00:00 a 17:59:59,911319178.0
 18-2-2023,18:00:00 a 23:59:59,915793072.33
 19-2-2023,00:00:00 a 05:59:59,924688964.0
 19-2-2023,06:00:00 a 11:59:59,925140559.0
 19-2-2023,12:00:00 a 17:59:59,923901538.0
 19-2-2023,18:00:00 a 23:59:59,924993409.0
 20-2-2023,00:00:00 a 05:59:59,924322586.5
 20-2-2023,06:00:00 a 11:59:59,-1
 20-2-2023,12:00:00 a 17:59:59,911351642.0
 20-2-2023,18:00:00 a 23:59:59,923745382.0
 21-2-2023,00:00:00 a 05:59:59,917403484.0
 21-2-2023,06:00:00 a 11:59:59,923223724.0
 21-2-2023,12:00:00 a 17:59:59,911003304.5
 21-2-2023,18:00:00 a 23:59:59,911920264.0
 22-2-2023,00:00:00 a 05:59:59,924581888.0
 22-2-2023,06:00:00 a 11:59:59,912083383.5
 22-2-2023,12:00:00 a 17:59:59,911108551.0
 22-2-2023,18:00:00 a 23:59:59,924006440.5
 23-2-2023,00:00:00 a 05:59:59,913679210.0
 23-2-2023,06:00:00 a 11:59:59,898211324.0
 23-2-2023,12:00:00 a 17:59:59,923433256.0
 23-2-2023,18:00:00 a 23:59:59,910057790.0
 24-2-2023,00:00:00 a 05:59:59,-1
 24-2-2023,06:00:00 a 11:59:59,913583077.0
 24-2-2023,12:00:00 a 17:59:59,912367824.5
 24-2-2023,18:00:00 a 23:59:59,925738978.0
 25-2-2023,00:00:00 a 05:59:59,912735078.0
 25-2-2023,06:00:00 a 11:59:59,911732136.0
 25-2-2023,12:00:00 a 17:59:59,924714600.0
 25-2-2023,18:00:00 a 23:59:59,816685173.0
 26-2-2023,00:00:00 a 05:59:59,917952842.0
 26-2-2023,06:00:00 a 11:59:59,887621160.5
 26-2-2023,12:00:00 a 17:59:59,910531288.0
 26-2-2023,18:00:00 a 23:59:59,924427698.0
 27-2-2023,00:00:00 a 05:59:59,911476556.0
 27-2-2023,06:00:00 a 11:59:59,917898654.0
 27-2-2023,12:00:00 a 17:59:59,908282389.0
 27-2-2023,18:00:00 a 23:59:59,924007296.0
 28-2-2023,00:00:00 a 05:59:59,923900452.0
 28-2-2023,06:00:00 a 11:59:59,922968522.0
 28-2-2023,12:00:00 a 17:59:59,917352996.0
 28-2-2023,18:00:00 a 23:59:59,909786204.0
 1-3-2023,00:00:00 a 05:59:59,917846183.0
 1-3-2023,06:00:00 a 11:59:59,925318713.0
 1-3-2023,12:00:00 a 17:59:59,912894807.0
 1-3-2023,18:00:00 a 23:59:59,900616445.0
 2-3-2023,00:00:00 a 05:59:59,917532549.0
 2-3-2023,06:00:00 a 11:59:59,913049743.0
 2-3-2023,12:00:00 a 17:59:59,911159745.0
 2-3-2023,18:00:00 a 23:59:59,917243213.5
 3-3-2023,00:00:00 a 05:59:59,911318358.0
 3-3-2023,06:00:00 a 11:59:59,917846960.5
 3-3-2023,12:00:00 a 17:59:59,911371926.0
 3-3-2023,18:00:00 a 23:59:59,925263508.0
 4-3-2023,00:00:00 a 05:59:59,910874466.5
 4-3-2023,06:00:00 a 11:59:59,924144988.0
 4-3-2023,12:00:00 a 17:59:59,924169388.0
 4-3-2023,18:00:00 a 23:59:59,911584330.0
 5-3-2023,00:00:00 a 05:59:59,903883629.0
 5-3-2023,06:00:00 a 11:59:59,910485005.0
 5-3-2023,12:00:00 a 17:59:59,912159363.0
 5-3-2023,18:00:00 a 23:59:59,910431574.0
 6-3-2023,00:00:00 a 05:59:59,920757347.0
 6-3-2023,06:00:00 a 11:59:59,924373097.0
 6-3-2023,12:00:00 a 17:59:59,923717551.0
 6-3-2023,18:00:00 a 23:59:59,-1
 7-3-2023,00:00:00 a 05:59:59,925847308.0
 7-3-2023,06:00:00 a 11:59:59,924230736.0
 7-3-2023,12:00:00 a 17:59:59,925004925.0
 7-3-2023,18:00:00 a 23:59:59,917348940.0
 8-3-2023,00:00:00 a 05:59:59,911097846.0
 8-3-2023,06:00:00 a 11:59:59,924476891.0
 8-3-2023,12:00:00 a 17:59:59,917611082.0
 8-3-2023,18:00:00 a 23:59:59,918319861.0
 9-3-2023,00:00:00 a 05:59:59,924269533.0
 9-3-2023,06:00:00 a 11:59:59,918897329.0
 9-3-2023,12:00:00 a 17:59:59,923544258.0
 9-3-2023,18:00:00 a 23:59:59,910741595.0
 10-3-2023,00:00:00 a 05:59:59,917740967.5
 10-3-2023,06:00:00 a 11:59:59,911940012.0
 10-3-2023,12:00:00 a 17:59:59,923953226.0
 10-3-2023,18:00:00 a 23:59:59,916879980.5
 11-3-2023,00:00:00 a 05:59:59,924664692.0
 11-3-2023,06:00:00 a 11:59:59,912028678.5
 11-3-2023,12:00:00 a 17:59:59,913135501.0
 11-3-2023,18:00:00 a 23:59:59,909880405.0
 12-3-2023,00:00:00 a 05:59:59,911210721.0
 12-3-2023,06:00:00 a 11:59:59,912266547.0
 12-3-2023,12:00:00 a 17:59:59,912207277.0
 12-3-2023,18:00:00 a 23:59:59,917584915.5
 13-3-2023,00:00:00 a 05:59:59,910807003.0
