Data,Intervalo,Vazao
23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,743811885.0
 23-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,824550747.0
 24-1-2023,06:00:00 a 11:59:59,681523504.0
 24-1-2023,12:00:00 a 17:59:59,-1
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,205888403.0
 25-1-2023,18:00:00 a 23:59:59,748181384.0
 26-1-2023,00:00:00 a 05:59:59,825336954.5
 26-1-2023,06:00:00 a 11:59:59,-1
 26-1-2023,12:00:00 a 17:59:59,650854312.0
 26-1-2023,18:00:00 a 23:59:59,727450945.0
 27-1-2023,00:00:00 a 05:59:59,806358814.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,-1
 27-1-2023,18:00:00 a 23:59:59,729048667.5
 28-1-2023,00:00:00 a 05:59:59,836974618.0
 28-1-2023,06:00:00 a 11:59:59,807459138.0
 28-1-2023,12:00:00 a 17:59:59,820087927.0
 28-1-2023,18:00:00 a 23:59:59,829373302.0
 29-1-2023,00:00:00 a 05:59:59,821508674.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,830631200.5
 29-1-2023,18:00:00 a 23:59:59,828831705.0
 30-1-2023,00:00:00 a 05:59:59,836975037.0
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,558394793.0
 30-1-2023,18:00:00 a 23:59:59,705167924.0
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,612894418.0
 31-1-2023,12:00:00 a 17:59:59,633970396.0
 31-1-2023,18:00:00 a 23:59:59,784178816.0
 1-2-2023,00:00:00 a 05:59:59,-1
 1-2-2023,06:00:00 a 11:59:59,703859821.5
 1-2-2023,12:00:00 a 17:59:59,476840937.0
 1-2-2023,18:00:00 a 23:59:59,744437796.0
 2-2-2023,00:00:00 a 05:59:59,811075401.5
 2-2-2023,06:00:00 a 11:59:59,829531376.0
 2-2-2023,12:00:00 a 17:59:59,542918118.0
 2-2-2023,18:00:00 a 23:59:59,697253679.0
 3-2-2023,00:00:00 a 05:59:59,826245242.5
 3-2-2023,06:00:00 a 11:59:59,700422586.5
 3-2-2023,12:00:00 a 17:59:59,657616958.5
 3-2-2023,18:00:00 a 23:59:59,763934088.5
 4-2-2023,00:00:00 a 05:59:59,831468048.0
 4-2-2023,06:00:00 a 11:59:59,798180005.5
 4-2-2023,12:00:00 a 17:59:59,807668187.5
 4-2-2023,18:00:00 a 23:59:59,805413118.0
 5-2-2023,00:00:00 a 05:59:59,837131654.0
 5-2-2023,06:00:00 a 11:59:59,842113806.5
 5-2-2023,12:00:00 a 17:59:59,820910736.5
 5-2-2023,18:00:00 a 23:59:59,804468472.0
 6-2-2023,00:00:00 a 05:59:59,833907029.5
 6-2-2023,06:00:00 a 11:59:59,706296730.0
 6-2-2023,12:00:00 a 17:59:59,624456036.0
 6-2-2023,18:00:00 a 23:59:59,518469232.0
 7-2-2023,00:00:00 a 05:59:59,817435642.0
 7-2-2023,06:00:00 a 11:59:59,586707324.0
 7-2-2023,12:00:00 a 17:59:59,538392047.0
 7-2-2023,18:00:00 a 23:59:59,659764118.0
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,196450900.0
 8-2-2023,18:00:00 a 23:59:59,614011937.67
 9-2-2023,00:00:00 a 05:59:59,794300926.0
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,784440293.0
 10-2-2023,00:00:00 a 05:59:59,824287242.0
 10-2-2023,06:00:00 a 11:59:59,651171621.0
 10-2-2023,12:00:00 a 17:59:59,627179071.0
 10-2-2023,18:00:00 a 23:59:59,748736755.0
 11-2-2023,00:00:00 a 05:59:59,-1
 11-2-2023,06:00:00 a 11:59:59,832859846.5
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,-1
 12-2-2023,00:00:00 a 05:59:59,-1
 12-2-2023,06:00:00 a 11:59:59,828848971.0
 12-2-2023,12:00:00 a 17:59:59,-1
 12-2-2023,18:00:00 a 23:59:59,812701876.0
 16-2-2023,00:00:00 a 05:59:59,-1
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,541590722.0
 16-2-2023,18:00:00 a 23:59:59,-1
