Data,Intervalo,Vazao
24-1-2023,00:00:00 a 05:59:59,851968766.0
 24-1-2023,06:00:00 a 11:59:59,656409298.0
 24-1-2023,12:00:00 a 17:59:59,845494800.5
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,782397877.0
 25-1-2023,18:00:00 a 23:59:59,829954792.0
 26-1-2023,00:00:00 a 05:59:59,810287995.0
 26-1-2023,06:00:00 a 11:59:59,654274723.0
 26-1-2023,12:00:00 a 17:59:59,592656577.0
 26-1-2023,18:00:00 a 23:59:59,785123910.0
 27-1-2023,00:00:00 a 05:59:59,822032840.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,-1
 27-1-2023,18:00:00 a 23:59:59,827698001.0
 28-1-2023,00:00:00 a 05:59:59,843422991.0
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,841589622.0
 28-1-2023,18:00:00 a 23:59:59,849346092.0
 29-1-2023,00:00:00 a 05:59:59,867017059.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,-1
 29-1-2023,18:00:00 a 23:59:59,858418056.0
 30-1-2023,00:00:00 a 05:59:59,852648454.0
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,750416378.0
 30-1-2023,18:00:00 a 23:59:59,759070238.0
 31-1-2023,00:00:00 a 05:59:59,703281756.5
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,-1
 31-1-2023,18:00:00 a 23:59:59,842478835.5
 1-2-2023,00:00:00 a 05:59:59,856059586.0
 1-2-2023,06:00:00 a 11:59:59,-1
 1-2-2023,12:00:00 a 17:59:59,-1
 1-2-2023,18:00:00 a 23:59:59,820051612.0
 2-2-2023,00:00:00 a 05:59:59,-1
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,753927163.0
 2-2-2023,18:00:00 a 23:59:59,837290866.0
 3-2-2023,00:00:00 a 05:59:59,848564413.0
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,797720396.5
 3-2-2023,18:00:00 a 23:59:59,846937079.0
 4-2-2023,00:00:00 a 05:59:59,863557959.0
 4-2-2023,06:00:00 a 11:59:59,833305798.5
 4-2-2023,12:00:00 a 17:59:59,826363066.0
 4-2-2023,18:00:00 a 23:59:59,838599704.0
 5-2-2023,00:00:00 a 05:59:59,838655701.0
 5-2-2023,06:00:00 a 11:59:59,846493156.5
 5-2-2023,12:00:00 a 17:59:59,833070461.5
 5-2-2023,18:00:00 a 23:59:59,-1
 6-2-2023,00:00:00 a 05:59:59,841169980.0
 6-2-2023,06:00:00 a 11:59:59,762876245.0
 6-2-2023,12:00:00 a 17:59:59,690331286.0
 6-2-2023,18:00:00 a 23:59:59,773484522.0
 7-2-2023,00:00:00 a 05:59:59,854355475.5
 7-2-2023,06:00:00 a 11:59:59,711747832.5
 7-2-2023,12:00:00 a 17:59:59,776368504.0
 7-2-2023,18:00:00 a 23:59:59,736780821.0
 8-2-2023,00:00:00 a 05:59:59,650695073.0
 8-2-2023,06:00:00 a 11:59:59,804520820.0
 8-2-2023,12:00:00 a 17:59:59,223819532.0
 8-2-2023,18:00:00 a 23:59:59,768948169.0
 9-2-2023,00:00:00 a 05:59:59,845001219.0
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,752879149.0
 10-2-2023,00:00:00 a 05:59:59,855273836.0
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,746744854.0
 11-2-2023,00:00:00 a 05:59:59,-1
 11-2-2023,06:00:00 a 11:59:59,-1
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,850659789.0
 12-2-2023,00:00:00 a 05:59:59,854041562.5
 12-2-2023,06:00:00 a 11:59:59,855219569.0
