Data,Intervalo,Vazao
23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,644194179.0
 23-1-2023,18:00:00 a 23:59:59,836977004.0
 24-1-2023,00:00:00 a 05:59:59,-1
 24-1-2023,06:00:00 a 11:59:59,638794926.0
 24-1-2023,12:00:00 a 17:59:59,596641056.0
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,205887866.0
 25-1-2023,18:00:00 a 23:59:59,812020502.0
 26-1-2023,00:00:00 a 05:59:59,693688009.33
 26-1-2023,06:00:00 a 11:59:59,-1
 26-1-2023,12:00:00 a 17:59:59,603852764.0
 26-1-2023,18:00:00 a 23:59:59,636801542.0
 27-1-2023,00:00:00 a 05:59:59,244030192.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,664720066.5
 27-1-2023,18:00:00 a 23:59:59,789214869.0
 28-1-2023,00:00:00 a 05:59:59,837760759.0
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,-1
 28-1-2023,18:00:00 a 23:59:59,819569110.0
 29-1-2023,00:00:00 a 05:59:59,832937220.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,824756463.0
 29-1-2023,18:00:00 a 23:59:59,681916429.0
 30-1-2023,00:00:00 a 05:59:59,835039802.0
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,817157932.0
 30-1-2023,18:00:00 a 23:59:59,704906362.0
 31-1-2023,00:00:00 a 05:59:59,661184225.0
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,804940453.0
 31-1-2023,18:00:00 a 23:59:59,818098708.0
 1-2-2023,00:00:00 a 05:59:59,830107514.0
 1-2-2023,06:00:00 a 11:59:59,-1
 1-2-2023,12:00:00 a 17:59:59,814850324.0
 1-2-2023,18:00:00 a 23:59:59,818793465.0
 2-2-2023,00:00:00 a 05:59:59,-1
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,801481055.0
 2-2-2023,18:00:00 a 23:59:59,806515940.0
 3-2-2023,00:00:00 a 05:59:59,817733997.0
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,751122772.5
 3-2-2023,18:00:00 a 23:59:59,822295478.0
 4-2-2023,00:00:00 a 05:59:59,793563745.0
 4-2-2023,06:00:00 a 11:59:59,-1
 4-2-2023,12:00:00 a 17:59:59,792831128.0
 4-2-2023,18:00:00 a 23:59:59,807063779.0
 5-2-2023,00:00:00 a 05:59:59,817523709.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,802792434.0
 5-2-2023,18:00:00 a 23:59:59,801034665.0
 6-2-2023,00:00:00 a 05:59:59,808453349.0
 6-2-2023,06:00:00 a 11:59:59,-1
 6-2-2023,12:00:00 a 17:59:59,780826295.0
 6-2-2023,18:00:00 a 23:59:59,756912626.0
 7-2-2023,00:00:00 a 05:59:59,843374441.0
 7-2-2023,06:00:00 a 11:59:59,649961588.0
 7-2-2023,12:00:00 a 17:59:59,580286223.0
 7-2-2023,18:00:00 a 23:59:59,653996634.0
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,437493724.5
 8-2-2023,18:00:00 a 23:59:59,667364693.0
 9-2-2023,00:00:00 a 05:59:59,-1
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,813801623.0
 10-2-2023,00:00:00 a 05:59:59,663802530.0
 10-2-2023,06:00:00 a 11:59:59,814246663.0
 10-2-2023,12:00:00 a 17:59:59,801743173.0
 10-2-2023,18:00:00 a 23:59:59,834119385.5
 11-2-2023,00:00:00 a 05:59:59,823451714.0
 11-2-2023,06:00:00 a 11:59:59,825755778.5
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,837655775.0
 12-2-2023,00:00:00 a 05:59:59,-1
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,-1
 12-2-2023,18:00:00 a 23:59:59,799104946.0
 16-2-2023,00:00:00 a 05:59:59,-1
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,159803493.0
 16-2-2023,18:00:00 a 23:59:59,821247916.5
 17-2-2023,00:00:00 a 05:59:59,-1
