Data,Intervalo,Vazao
23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,-1
 23-1-2023,18:00:00 a 23:59:59,826386629.0
 24-1-2023,00:00:00 a 05:59:59,823658671.0
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,779509254.0
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,830135252.5
 26-1-2023,00:00:00 a 05:59:59,805885139.0
 26-1-2023,06:00:00 a 11:59:59,770810106.0
 26-1-2023,12:00:00 a 17:59:59,637273338.0
 26-1-2023,18:00:00 a 23:59:59,744369103.0
 27-1-2023,00:00:00 a 05:59:59,797549577.0
 27-1-2023,06:00:00 a 11:59:59,797654714.0
 27-1-2023,12:00:00 a 17:59:59,591344760.0
 27-1-2023,18:00:00 a 23:59:59,816187321.5
 28-1-2023,00:00:00 a 05:59:59,830949701.0
 28-1-2023,06:00:00 a 11:59:59,817735171.0
 28-1-2023,12:00:00 a 17:59:59,815058776.0
 28-1-2023,18:00:00 a 23:59:59,753350880.5
 29-1-2023,00:00:00 a 05:59:59,847565522.0
 29-1-2023,06:00:00 a 11:59:59,841273744.0
 29-1-2023,12:00:00 a 17:59:59,611898433.5
 29-1-2023,18:00:00 a 23:59:59,815159918.5
 30-1-2023,00:00:00 a 05:59:59,813324599.0
 30-1-2023,06:00:00 a 11:59:59,769787040.0
 30-1-2023,12:00:00 a 17:59:59,-1
 30-1-2023,18:00:00 a 23:59:59,768609244.0
 31-1-2023,00:00:00 a 05:59:59,737045695.5
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,775475505.0
 31-1-2023,18:00:00 a 23:59:59,811627095.0
 1-2-2023,00:00:00 a 05:59:59,791366242.0
 1-2-2023,06:00:00 a 11:59:59,-1
 1-2-2023,12:00:00 a 17:59:59,787325927.0
 1-2-2023,18:00:00 a 23:59:59,801079756.0
 2-2-2023,00:00:00 a 05:59:59,823920322.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,571160146.0
 2-2-2023,18:00:00 a 23:59:59,797836939.5
 3-2-2023,00:00:00 a 05:59:59,818677431.0
 3-2-2023,06:00:00 a 11:59:59,776786343.0
 3-2-2023,12:00:00 a 17:59:59,-1
 3-2-2023,18:00:00 a 23:59:59,786485980.5
 4-2-2023,00:00:00 a 05:59:59,823607766.0
 4-2-2023,06:00:00 a 11:59:59,-1
 4-2-2023,12:00:00 a 17:59:59,783393587.0
 4-2-2023,18:00:00 a 23:59:59,813964404.0
 5-2-2023,00:00:00 a 05:59:59,827144490.5
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,807511890.0
 5-2-2023,18:00:00 a 23:59:59,804079884.0
 6-2-2023,00:00:00 a 05:59:59,823442076.5
 6-2-2023,06:00:00 a 11:59:59,-1
 6-2-2023,12:00:00 a 17:59:59,736579245.0
 6-2-2023,18:00:00 a 23:59:59,792785642.5
 7-2-2023,00:00:00 a 05:59:59,823292533.0
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,472909194.0
 7-2-2023,18:00:00 a 23:59:59,664221957.5
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,-1
 8-2-2023,18:00:00 a 23:59:59,617717696.0
 9-2-2023,00:00:00 a 05:59:59,645188425.0
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,698984116.0
 10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,797601408.0
 10-2-2023,12:00:00 a 17:59:59,797811563.0
 10-2-2023,18:00:00 a 23:59:59,804311507.0
 11-2-2023,00:00:00 a 05:59:59,834065732.5
 11-2-2023,06:00:00 a 11:59:59,832568886.0
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,835273742.0
 12-2-2023,00:00:00 a 05:59:59,836294192.5
 12-2-2023,06:00:00 a 11:59:59,849662619.0
 12-2-2023,12:00:00 a 17:59:59,-1
 12-2-2023,18:00:00 a 23:59:59,817160588.0
 13-2-2023,00:00:00 a 05:59:59,826797049.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,-1
 13-2-2023,18:00:00 a 23:59:59,-1
 16-2-2023,00:00:00 a 05:59:59,-1
