Data,Intervalo,Vazao
23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,666003779.0
 23-1-2023,18:00:00 a 23:59:59,822976190.0
 24-1-2023,00:00:00 a 05:59:59,-1
 24-1-2023,06:00:00 a 11:59:59,747477084.0
 24-1-2023,12:00:00 a 17:59:59,-1
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,655492763.0
 25-1-2023,18:00:00 a 23:59:59,-1
 26-1-2023,00:00:00 a 05:59:59,820914949.0
 26-1-2023,06:00:00 a 11:59:59,567280864.0
 26-1-2023,12:00:00 a 17:59:59,627680606.0
 26-1-2023,18:00:00 a 23:59:59,662178359.0
 27-1-2023,00:00:00 a 05:59:59,831364853.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,587597258.0
 27-1-2023,18:00:00 a 23:59:59,806200438.0
 28-1-2023,00:00:00 a 05:59:59,831942777.0
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,-1
 28-1-2023,18:00:00 a 23:59:59,830318931.5
 29-1-2023,00:00:00 a 05:59:59,811599366.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,819201638.0
 29-1-2023,18:00:00 a 23:59:59,830476261.0
 30-1-2023,00:00:00 a 05:59:59,835982984.0
 30-1-2023,06:00:00 a 11:59:59,785122300.0
 30-1-2023,12:00:00 a 17:59:59,-1
 30-1-2023,18:00:00 a 23:59:59,-1
 31-1-2023,00:00:00 a 05:59:59,656774592.0
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,-1
 31-1-2023,18:00:00 a 23:59:59,808270733.0
 1-2-2023,00:00:00 a 05:59:59,826804491.0
 1-2-2023,06:00:00 a 11:59:59,658506221.0
 1-2-2023,12:00:00 a 17:59:59,455189072.0
 1-2-2023,18:00:00 a 23:59:59,830317521.0
 2-2-2023,00:00:00 a 05:59:59,820986889.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,798335093.0
 2-2-2023,18:00:00 a 23:59:59,777625516.0
 3-2-2023,00:00:00 a 05:59:59,828376531.0
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,817578672.0
 3-2-2023,18:00:00 a 23:59:59,844682381.0
 4-2-2023,00:00:00 a 05:59:59,830841727.0
 4-2-2023,06:00:00 a 11:59:59,-1
 4-2-2023,12:00:00 a 17:59:59,819649019.0
 4-2-2023,18:00:00 a 23:59:59,829847735.0
 5-2-2023,00:00:00 a 05:59:59,833775956.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,829870131.5
 5-2-2023,18:00:00 a 23:59:59,840960222.0
 6-2-2023,00:00:00 a 05:59:59,815636880.0
 6-2-2023,06:00:00 a 11:59:59,-1
 6-2-2023,12:00:00 a 17:59:59,793757943.0
 6-2-2023,18:00:00 a 23:59:59,739902170.5
 7-2-2023,00:00:00 a 05:59:59,835559540.0
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,66689536.0
 7-2-2023,18:00:00 a 23:59:59,730387957.0
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,227069711.0
 8-2-2023,18:00:00 a 23:59:59,696517583.0
 9-2-2023,00:00:00 a 05:59:59,-1
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,790969025.5
 10-2-2023,00:00:00 a 05:59:59,830106850.0
 10-2-2023,06:00:00 a 11:59:59,807613679.0
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,823499614.0
 11-2-2023,00:00:00 a 05:59:59,834772605.0
 11-2-2023,06:00:00 a 11:59:59,812701429.0
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,829844374.0
 12-2-2023,00:00:00 a 05:59:59,832100189.0
 12-2-2023,06:00:00 a 11:59:59,831153143.0
 12-2-2023,12:00:00 a 17:59:59,-1
 12-2-2023,18:00:00 a 23:59:59,845205783.0
 13-2-2023,00:00:00 a 05:59:59,820411482.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,-1
 13-2-2023,18:00:00 a 23:59:59,-1
 17-2-2023,00:00:00 a 05:59:59,835663333.0
