Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,-1
 8-1-2023,18:00:00 a 23:59:59,5913962044.0
 9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,4160027004.0
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,-1
 10-1-2023,00:00:00 a 05:59:59,-1
 10-1-2023,06:00:00 a 11:59:59,2089545122.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,6340263408.0
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,5051752632.0
 11-1-2023,12:00:00 a 17:59:59,828635070.0
 11-1-2023,18:00:00 a 23:59:59,3109523513.0
 12-1-2023,00:00:00 a 05:59:59,-1
 12-1-2023,06:00:00 a 11:59:59,3155068845.0
 12-1-2023,12:00:00 a 17:59:59,-1
 12-1-2023,18:00:00 a 23:59:59,2980637905.0
 13-1-2023,00:00:00 a 05:59:59,3873760983.0
 13-1-2023,06:00:00 a 11:59:59,3935422391.0
 13-1-2023,12:00:00 a 17:59:59,2560260582.0
 13-1-2023,18:00:00 a 23:59:59,4750887864.5
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,4130575486.0
 14-1-2023,12:00:00 a 17:59:59,4719504763.0
 14-1-2023,18:00:00 a 23:59:59,4914609429.5
 15-1-2023,00:00:00 a 05:59:59,-1
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,5832580952.0
 15-1-2023,18:00:00 a 23:59:59,4382259714.0
 16-1-2023,00:00:00 a 05:59:59,5043944228.0
 16-1-2023,06:00:00 a 11:59:59,1859445213.0
 16-1-2023,12:00:00 a 17:59:59,5023486319.0
 16-1-2023,18:00:00 a 23:59:59,4806838082.0
 17-1-2023,00:00:00 a 05:59:59,4560523612.5
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,5350398808.0
 17-1-2023,18:00:00 a 23:59:59,5999283495.5
 18-1-2023,00:00:00 a 05:59:59,-1
 18-1-2023,06:00:00 a 11:59:59,2262159691.0
 18-1-2023,12:00:00 a 17:59:59,3497256423.0
 18-1-2023,18:00:00 a 23:59:59,4897903149.0
 19-1-2023,00:00:00 a 05:59:59,6174979898.0
 19-1-2023,06:00:00 a 11:59:59,3691259999.0
 19-1-2023,12:00:00 a 17:59:59,3658371223.5
 19-1-2023,18:00:00 a 23:59:59,5068622381.0
 20-1-2023,00:00:00 a 05:59:59,4594562053.0
 20-1-2023,06:00:00 a 11:59:59,2900677529.0
 20-1-2023,12:00:00 a 17:59:59,5371415443.5
 20-1-2023,18:00:00 a 23:59:59,5275920157.0
 21-1-2023,00:00:00 a 05:59:59,-1
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,6105563318.0
 21-1-2023,18:00:00 a 23:59:59,6114133055.5
 22-1-2023,00:00:00 a 05:59:59,4325381449.0
