Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,881643605.5
 9-1-2023,06:00:00 a 11:59:59,884688157.5
 9-1-2023,12:00:00 a 17:59:59,890608381.0
 9-1-2023,18:00:00 a 23:59:59,892444863.0
 10-1-2023,00:00:00 a 05:59:59,875247902.33
 10-1-2023,06:00:00 a 11:59:59,829319380.0
 10-1-2023,12:00:00 a 17:59:59,887307229.0
 10-1-2023,18:00:00 a 23:59:59,892105415.5
 11-1-2023,00:00:00 a 05:59:59,881890476.0
 11-1-2023,06:00:00 a 11:59:59,895067516.0
 11-1-2023,12:00:00 a 17:59:59,888128497.33
 11-1-2023,18:00:00 a 23:59:59,894280456.0
 12-1-2023,00:00:00 a 05:59:59,902809530.33
 12-1-2023,06:00:00 a 11:59:59,891763777.0
 12-1-2023,12:00:00 a 17:59:59,887516013.0
 12-1-2023,18:00:00 a 23:59:59,891970392.5
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,902405105.5
 13-1-2023,12:00:00 a 17:59:59,908170084.0
 13-1-2023,18:00:00 a 23:59:59,900648525.5
 14-1-2023,00:00:00 a 05:59:59,900175355.0
 14-1-2023,06:00:00 a 11:59:59,888591004.5
 14-1-2023,12:00:00 a 17:59:59,920444615.0
 14-1-2023,18:00:00 a 23:59:59,882015175.0
 15-1-2023,00:00:00 a 05:59:59,883164636.0
 15-1-2023,06:00:00 a 11:59:59,887829744.5
 15-1-2023,12:00:00 a 17:59:59,886519819.0
 15-1-2023,18:00:00 a 23:59:59,-1
 16-1-2023,00:00:00 a 05:59:59,894700961.0
 16-1-2023,06:00:00 a 11:59:59,894751198.0
 16-1-2023,12:00:00 a 17:59:59,893094581.5
 16-1-2023,18:00:00 a 23:59:59,894593463.5
 17-1-2023,00:00:00 a 05:59:59,875053714.0
 17-1-2023,06:00:00 a 11:59:59,889193248.0
 17-1-2023,12:00:00 a 17:59:59,895982818.5
 17-1-2023,18:00:00 a 23:59:59,893177997.0
 18-1-2023,00:00:00 a 05:59:59,875511289.0
 18-1-2023,06:00:00 a 11:59:59,883373690.0
 18-1-2023,12:00:00 a 17:59:59,873964391.5
 18-1-2023,18:00:00 a 23:59:59,888879186.5
 19-1-2023,00:00:00 a 05:59:59,879547703.0
 19-1-2023,06:00:00 a 11:59:59,870031522.5
 19-1-2023,12:00:00 a 17:59:59,906233167.0
 19-1-2023,18:00:00 a 23:59:59,899521885.5
 20-1-2023,00:00:00 a 05:59:59,881836465.67
 20-1-2023,06:00:00 a 11:59:59,889609876.0
 20-1-2023,12:00:00 a 17:59:59,877817241.0
 20-1-2023,18:00:00 a 23:59:59,804521343.0
 21-1-2023,00:00:00 a 05:59:59,873832207.0
 21-1-2023,06:00:00 a 11:59:59,887463007.0
 21-1-2023,12:00:00 a 17:59:59,888986244.0
 21-1-2023,18:00:00 a 23:59:59,891557031.0
 22-1-2023,00:00:00 a 05:59:59,-1
 22-1-2023,06:00:00 a 11:59:59,889242164.0
 22-1-2023,12:00:00 a 17:59:59,886152625.0
 22-1-2023,18:00:00 a 23:59:59,891743758.0
 23-1-2023,00:00:00 a 05:59:59,889823729.0
 23-1-2023,06:00:00 a 11:59:59,890293453.5
 23-1-2023,12:00:00 a 17:59:59,885079609.5
 23-1-2023,18:00:00 a 23:59:59,890296435.0
 24-1-2023,00:00:00 a 05:59:59,877135929.0
 24-1-2023,06:00:00 a 11:59:59,886469031.0
 24-1-2023,12:00:00 a 17:59:59,878130937.0
 24-1-2023,18:00:00 a 23:59:59,888564679.0
 25-1-2023,00:00:00 a 05:59:59,873832251.0
 25-1-2023,06:00:00 a 11:59:59,886097034.0
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,899654052.5
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,891265560.0
 26-1-2023,12:00:00 a 17:59:59,858419188.0
 26-1-2023,18:00:00 a 23:59:59,885894322.5
