Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,-1
 8-1-2023,18:00:00 a 23:59:59,875721968.0
 9-1-2023,00:00:00 a 05:59:59,874375700.67
 9-1-2023,06:00:00 a 11:59:59,862928596.0
 9-1-2023,12:00:00 a 17:59:59,889038451.0
 9-1-2023,18:00:00 a 23:59:59,891761949.0
 10-1-2023,00:00:00 a 05:59:59,891710813.0
 10-1-2023,06:00:00 a 11:59:59,891293165.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,883897404.0
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,879807560.0
 11-1-2023,12:00:00 a 17:59:59,895433566.0
 11-1-2023,18:00:00 a 23:59:59,-1
 12-1-2023,00:00:00 a 05:59:59,908121560.0
 12-1-2023,06:00:00 a 11:59:59,874883465.5
 12-1-2023,12:00:00 a 17:59:59,-1
 12-1-2023,18:00:00 a 23:59:59,736678873.0
 13-1-2023,00:00:00 a 05:59:59,895089282.5
 13-1-2023,06:00:00 a 11:59:59,888066515.5
 13-1-2023,12:00:00 a 17:59:59,880205118.0
 13-1-2023,18:00:00 a 23:59:59,893253346.0
 14-1-2023,00:00:00 a 05:59:59,891212784.0
 14-1-2023,06:00:00 a 11:59:59,882405200.5
 14-1-2023,12:00:00 a 17:59:59,905186898.0
 14-1-2023,18:00:00 a 23:59:59,882171517.5
 15-1-2023,00:00:00 a 05:59:59,886888817.0
 15-1-2023,06:00:00 a 11:59:59,882884956.33
 15-1-2023,12:00:00 a 17:59:59,884554994.5
 15-1-2023,18:00:00 a 23:59:59,883584466.0
 16-1-2023,00:00:00 a 05:59:59,889063328.0
 16-1-2023,06:00:00 a 11:59:59,893018321.0
 16-1-2023,12:00:00 a 17:59:59,889993435.5
 16-1-2023,18:00:00 a 23:59:59,883364604.67
 17-1-2023,00:00:00 a 05:59:59,888668826.0
 17-1-2023,06:00:00 a 11:59:59,888094862.0
 17-1-2023,12:00:00 a 17:59:59,889000251.33
 17-1-2023,18:00:00 a 23:59:59,892289517.0
 18-1-2023,00:00:00 a 05:59:59,889615481.0
 18-1-2023,06:00:00 a 11:59:59,885629170.5
 18-1-2023,12:00:00 a 17:59:59,886701009.0
 18-1-2023,18:00:00 a 23:59:59,904398473.0
 19-1-2023,00:00:00 a 05:59:59,904241615.5
 19-1-2023,06:00:00 a 11:59:59,889195693.0
 19-1-2023,12:00:00 a 17:59:59,884057210.0
 19-1-2023,18:00:00 a 23:59:59,902036917.0
 20-1-2023,00:00:00 a 05:59:59,904240806.5
 20-1-2023,06:00:00 a 11:59:59,887226415.0
 20-1-2023,12:00:00 a 17:59:59,747478223.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,883686761.0
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,-1
 22-1-2023,00:00:00 a 05:59:59,-1
 22-1-2023,06:00:00 a 11:59:59,-1
