Data,Intervalo,Vazao
24-1-2023,00:00:00 a 05:59:59,-1
 24-1-2023,06:00:00 a 11:59:59,556821352.0
 24-1-2023,12:00:00 a 17:59:59,595905509.5
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,182924403.0
 25-1-2023,18:00:00 a 23:59:59,798939953.0
 26-1-2023,00:00:00 a 05:59:59,816685173.0
 26-1-2023,06:00:00 a 11:59:59,598895305.0
 26-1-2023,12:00:00 a 17:59:59,439143343.0
 26-1-2023,18:00:00 a 23:59:59,782189295.0
 27-1-2023,00:00:00 a 05:59:59,830211251.0
 27-1-2023,06:00:00 a 11:59:59,671430624.0
 27-1-2023,12:00:00 a 17:59:59,446748440.0
 27-1-2023,18:00:00 a 23:59:59,763601681.5
 28-1-2023,00:00:00 a 05:59:59,842745124.0
 28-1-2023,06:00:00 a 11:59:59,837209503.5
 28-1-2023,12:00:00 a 17:59:59,-1
 28-1-2023,18:00:00 a 23:59:59,-1
 29-1-2023,00:00:00 a 05:59:59,850554974.0
 29-1-2023,06:00:00 a 11:59:59,833724678.5
 29-1-2023,12:00:00 a 17:59:59,806146720.0
 29-1-2023,18:00:00 a 23:59:59,-1
 30-1-2023,00:00:00 a 05:59:59,839963652.0
 30-1-2023,06:00:00 a 11:59:59,704724618.5
 30-1-2023,12:00:00 a 17:59:59,639686251.0
 30-1-2023,18:00:00 a 23:59:59,715777884.33
 31-1-2023,00:00:00 a 05:59:59,828115297.0
 31-1-2023,06:00:00 a 11:59:59,437365926.0
 31-1-2023,12:00:00 a 17:59:59,614466887.0
 31-1-2023,18:00:00 a 23:59:59,706558466.5
 1-2-2023,00:00:00 a 05:59:59,835875158.0
 1-2-2023,06:00:00 a 11:59:59,684800303.0
 1-2-2023,12:00:00 a 17:59:59,567543430.5
 1-2-2023,18:00:00 a 23:59:59,809293667.0
 2-2-2023,00:00:00 a 05:59:59,783627663.0
 2-2-2023,06:00:00 a 11:59:59,763993886.0
 2-2-2023,12:00:00 a 17:59:59,612212903.0
 2-2-2023,18:00:00 a 23:59:59,-1
 3-2-2023,00:00:00 a 05:59:59,829258141.0
 3-2-2023,06:00:00 a 11:59:59,614310368.0
 3-2-2023,12:00:00 a 17:59:59,599524721.0
 3-2-2023,18:00:00 a 23:59:59,816579744.0
 4-2-2023,00:00:00 a 05:59:59,836136843.0
 4-2-2023,06:00:00 a 11:59:59,836532983.0
 4-2-2023,12:00:00 a 17:59:59,826393075.0
 4-2-2023,18:00:00 a 23:59:59,-1
 5-2-2023,00:00:00 a 05:59:59,-1
 5-2-2023,06:00:00 a 11:59:59,827276434.0
 5-2-2023,12:00:00 a 17:59:59,810603460.0
 5-2-2023,18:00:00 a 23:59:59,823868742.0
 6-2-2023,00:00:00 a 05:59:59,-1
 6-2-2023,06:00:00 a 11:59:59,620470968.0
 6-2-2023,12:00:00 a 17:59:59,457652711.0
 6-2-2023,18:00:00 a 23:59:59,800013019.0
 7-2-2023,00:00:00 a 05:59:59,805464782.0
 7-2-2023,06:00:00 a 11:59:59,465464166.0
 7-2-2023,12:00:00 a 17:59:59,492804987.0
 7-2-2023,18:00:00 a 23:59:59,762054132.0
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,445803356.0
 8-2-2023,12:00:00 a 17:59:59,2044727.0
 8-2-2023,18:00:00 a 23:59:59,777941271.5
 9-2-2023,00:00:00 a 05:59:59,-1
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,799961350.0
 10-2-2023,00:00:00 a 05:59:59,850027921.0
 10-2-2023,06:00:00 a 11:59:59,561931569.0
 10-2-2023,12:00:00 a 17:59:59,499046410.0
 10-2-2023,18:00:00 a 23:59:59,816422958.0
 11-2-2023,00:00:00 a 05:59:59,833856354.5
 11-2-2023,06:00:00 a 11:59:59,665441568.0
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,828166442.0
 12-2-2023,00:00:00 a 05:59:59,852388922.0
 12-2-2023,06:00:00 a 11:59:59,838628587.5
 12-2-2023,12:00:00 a 17:59:59,830368953.0
 12-2-2023,18:00:00 a 23:59:59,826306720.0
 13-2-2023,00:00:00 a 05:59:59,848956081.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,-1
 13-2-2023,18:00:00 a 23:59:59,-1
 16-2-2023,00:00:00 a 05:59:59,-1
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,546465901.0
 16-2-2023,18:00:00 a 23:59:59,-1
 17-2-2023,00:00:00 a 05:59:59,835487260.0
 17-2-2023,06:00:00 a 11:59:59,-1
 17-2-2023,12:00:00 a 17:59:59,484679778.0
 17-2-2023,18:00:00 a 23:59:59,796054389.5
 18-2-2023,00:00:00 a 05:59:59,836006461.5
 18-2-2023,06:00:00 a 11:59:59,797864945.0
