Data,Intervalo,Vazao
4-1-2023,00:00:00 a 05:59:59,-1
 4-1-2023,06:00:00 a 11:59:59,-1
 4-1-2023,12:00:00 a 17:59:59,55705562.5
 4-1-2023,18:00:00 a 23:59:59,61551508.0
 5-1-2023,00:00:00 a 05:59:59,52166729.0
 5-1-2023,06:00:00 a 11:59:59,65640745.5
 5-1-2023,12:00:00 a 17:59:59,64924389.67
 5-1-2023,18:00:00 a 23:59:59,62704963.0
 6-1-2023,00:00:00 a 05:59:59,58877586.0
 6-1-2023,06:00:00 a 11:59:59,-1
 6-1-2023,12:00:00 a 17:59:59,64959419.0
 6-1-2023,18:00:00 a 23:59:59,-1
 7-1-2023,00:00:00 a 05:59:59,88290341.0
 7-1-2023,06:00:00 a 11:59:59,-1
 7-1-2023,12:00:00 a 17:59:59,62914707.0
 7-1-2023,18:00:00 a 23:59:59,67004157.0
 8-1-2023,00:00:00 a 05:59:59,55627112.0
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,-1
 8-1-2023,18:00:00 a 23:59:59,60765134.0
 9-1-2023,00:00:00 a 05:59:59,52271510.0
 9-1-2023,06:00:00 a 11:59:59,51432814.0
 9-1-2023,12:00:00 a 17:59:59,63465132.5
 9-1-2023,18:00:00 a 23:59:59,65955608.0
 10-1-2023,00:00:00 a 05:59:59,64277859.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,62888518.0
 11-1-2023,00:00:00 a 05:59:59,59506601.0
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,92432117.0
 11-1-2023,18:00:00 a 23:59:59,-1
 12-1-2023,00:00:00 a 05:59:59,53949688.0
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,54158984.5
 12-1-2023,18:00:00 a 23:59:59,50856157.0
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,57042702.0
 14-1-2023,18:00:00 a 23:59:59,60476879.5
 15-1-2023,00:00:00 a 05:59:59,56098768.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,60162136.5
 15-1-2023,18:00:00 a 23:59:59,-1
 16-1-2023,00:00:00 a 05:59:59,54211433.0
 16-1-2023,06:00:00 a 11:59:59,-1
 16-1-2023,12:00:00 a 17:59:59,56570810.5
 16-1-2023,18:00:00 a 23:59:59,48129782.0
 17-1-2023,00:00:00 a 05:59:59,71041212.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,49545295.0
 17-1-2023,18:00:00 a 23:59:59,53792128.0
 18-1-2023,00:00:00 a 05:59:59,60450811.0
 18-1-2023,06:00:00 a 11:59:59,68367237.0
 18-1-2023,12:00:00 a 17:59:59,52114297.0
 18-1-2023,18:00:00 a 23:59:59,54185306.5
 19-1-2023,00:00:00 a 05:59:59,59192038.0
 19-1-2023,06:00:00 a 11:59:59,64854526.0
 19-1-2023,12:00:00 a 17:59:59,43935426.0
 19-1-2023,18:00:00 a 23:59:59,60581623.0
 20-1-2023,00:00:00 a 05:59:59,58825145.0
 20-1-2023,06:00:00 a 11:59:59,62180662.0
 20-1-2023,12:00:00 a 17:59:59,60712683.5
 20-1-2023,18:00:00 a 23:59:59,57304738.0
 21-1-2023,00:00:00 a 05:59:59,-1
 21-1-2023,06:00:00 a 11:59:59,63517606.5
 21-1-2023,12:00:00 a 17:59:59,60660191.0
 21-1-2023,18:00:00 a 23:59:59,41156682.0
 22-1-2023,00:00:00 a 05:59:59,35546786.0
 22-1-2023,06:00:00 a 11:59:59,474639466.5
 22-1-2023,12:00:00 a 17:59:59,784915999.0
 22-1-2023,18:00:00 a 23:59:59,31195182.0
 23-1-2023,00:00:00 a 05:59:59,487221776.5
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,675233655.0
 23-1-2023,18:00:00 a 23:59:59,853615369.0
 24-1-2023,00:00:00 a 05:59:59,828579618.0
 24-1-2023,06:00:00 a 11:59:59,835559498.0
 24-1-2023,12:00:00 a 17:59:59,65011819.0
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,746639425.67
 25-1-2023,06:00:00 a 11:59:59,833355442.0
 25-1-2023,12:00:00 a 17:59:59,692664370.5
 25-1-2023,18:00:00 a 23:59:59,524236855.0
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,857732723.0
 26-1-2023,12:00:00 a 17:59:59,887464765.0
 26-1-2023,18:00:00 a 23:59:59,925161102.0
 27-1-2023,00:00:00 a 05:59:59,918449922.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,914403888.0
 27-1-2023,18:00:00 a 23:59:59,923115220.0
 28-1-2023,00:00:00 a 05:59:59,887518808.0
 28-1-2023,06:00:00 a 11:59:59,904765068.0
 28-1-2023,12:00:00 a 17:59:59,745276211.0
 28-1-2023,18:00:00 a 23:59:59,-1
 29-1-2023,00:00:00 a 05:59:59,912420961.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,48706445.0
 29-1-2023,18:00:00 a 23:59:59,492936819.0
 30-1-2023,00:00:00 a 05:59:59,896823676.5
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,47118238.0
 30-1-2023,18:00:00 a 23:59:59,912472477.0
 31-1-2023,00:00:00 a 05:59:59,908857383.0
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,-1
 31-1-2023,18:00:00 a 23:59:59,903797190.5
 1-2-2023,00:00:00 a 05:59:59,921804913.0
 1-2-2023,06:00:00 a 11:59:59,-1
 1-2-2023,12:00:00 a 17:59:59,903980133.0
 1-2-2023,18:00:00 a 23:59:59,-1
 2-2-2023,00:00:00 a 05:59:59,625896476.5
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,917926253.5
 2-2-2023,18:00:00 a 23:59:59,52848357.0
 3-2-2023,00:00:00 a 05:59:59,-1
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,476263653.5
 3-2-2023,18:00:00 a 23:59:59,931347764.0
 4-2-2023,00:00:00 a 05:59:59,910844768.0
 4-2-2023,06:00:00 a 11:59:59,-1
 4-2-2023,12:00:00 a 17:59:59,-1
 4-2-2023,18:00:00 a 23:59:59,910192161.5
 5-2-2023,00:00:00 a 05:59:59,922434382.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,915146076.0
 5-2-2023,18:00:00 a 23:59:59,845258677.0
 6-2-2023,00:00:00 a 05:59:59,100243925.0
 6-2-2023,06:00:00 a 11:59:59,-1
 6-2-2023,12:00:00 a 17:59:59,838859415.0
 6-2-2023,18:00:00 a 23:59:59,781714940.0
 7-2-2023,00:00:00 a 05:59:59,897531557.0
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,918344651.0
 7-2-2023,18:00:00 a 23:59:59,909380558.0
 8-2-2023,00:00:00 a 05:59:59,677016039.0
 8-2-2023,06:00:00 a 11:59:59,890032028.5
 8-2-2023,12:00:00 a 17:59:59,876821092.0
 8-2-2023,18:00:00 a 23:59:59,924636767.0
 9-2-2023,00:00:00 a 05:59:59,891168791.0
 9-2-2023,06:00:00 a 11:59:59,917139016.0
 9-2-2023,12:00:00 a 17:59:59,910129555.67
 9-2-2023,18:00:00 a 23:59:59,907536175.0
 10-2-2023,00:00:00 a 05:59:59,874083280.0
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,913680352.0
 10-2-2023,18:00:00 a 23:59:59,913795901.0
 11-2-2023,00:00:00 a 05:59:59,930561469.0
 11-2-2023,06:00:00 a 11:59:59,-1
 11-2-2023,12:00:00 a 17:59:59,866807820.0
 11-2-2023,18:00:00 a 23:59:59,878506618.0
 12-2-2023,00:00:00 a 05:59:59,904555307.0
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,-1
 12-2-2023,18:00:00 a 23:59:59,481979369.5
 13-2-2023,00:00:00 a 05:59:59,921542814.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,914863935.0
 13-2-2023,18:00:00 a 23:59:59,780651452.0
 14-2-2023,00:00:00 a 05:59:59,-1
 14-2-2023,06:00:00 a 11:59:59,324010810.0
 14-2-2023,12:00:00 a 17:59:59,484390186.5
 14-2-2023,18:00:00 a 23:59:59,906655998.0
 15-2-2023,00:00:00 a 05:59:59,-1
 15-2-2023,06:00:00 a 11:59:59,-1
 15-2-2023,12:00:00 a 17:59:59,860306231.0
 15-2-2023,18:00:00 a 23:59:59,742178790.0
