Data,Intervalo,Vazao
4-1-2023,00:00:00 a 05:59:59,-1
 4-1-2023,06:00:00 a 11:59:59,-1
 4-1-2023,12:00:00 a 17:59:59,-1
 4-1-2023,18:00:00 a 23:59:59,806565909.0
 5-1-2023,00:00:00 a 05:59:59,794925584.0
 5-1-2023,06:00:00 a 11:59:59,735267998.0
 5-1-2023,12:00:00 a 17:59:59,642515329.0
 5-1-2023,18:00:00 a 23:59:59,654364933.5
 6-1-2023,00:00:00 a 05:59:59,-1
 6-1-2023,06:00:00 a 11:59:59,-1
 6-1-2023,12:00:00 a 17:59:59,768843325.0
 6-1-2023,18:00:00 a 23:59:59,806226135.0
 7-1-2023,00:00:00 a 05:59:59,-1
 7-1-2023,06:00:00 a 11:59:59,792679266.0
 7-1-2023,12:00:00 a 17:59:59,643302178.5
 7-1-2023,18:00:00 a 23:59:59,768659636.0
 8-1-2023,00:00:00 a 05:59:59,742052726.0
 8-1-2023,06:00:00 a 11:59:59,731616290.5
 8-1-2023,12:00:00 a 17:59:59,694684899.0
 8-1-2023,18:00:00 a 23:59:59,768608705.0
 9-1-2023,00:00:00 a 05:59:59,818283151.0
 9-1-2023,06:00:00 a 11:59:59,772329695.0
 9-1-2023,12:00:00 a 17:59:59,768740039.0
 9-1-2023,18:00:00 a 23:59:59,684065739.0
 10-1-2023,00:00:00 a 05:59:59,828428172.0
 10-1-2023,06:00:00 a 11:59:59,724724767.5
 10-1-2023,12:00:00 a 17:59:59,559731492.0
 10-1-2023,18:00:00 a 23:59:59,667550835.5
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,699977135.0
 11-1-2023,12:00:00 a 17:59:59,776943591.0
 11-1-2023,18:00:00 a 23:59:59,694790420.5
 12-1-2023,00:00:00 a 05:59:59,795502261.0
 12-1-2023,06:00:00 a 11:59:59,621964253.0
 12-1-2023,12:00:00 a 17:59:59,776367391.5
 12-1-2023,18:00:00 a 23:59:59,620600605.0
 13-1-2023,00:00:00 a 05:59:59,652320466.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,796658244.0
 13-1-2023,18:00:00 a 23:59:59,664378883.0
 14-1-2023,00:00:00 a 05:59:59,719926955.5
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,669570916.0
 14-1-2023,18:00:00 a 23:59:59,770599157.0
 15-1-2023,00:00:00 a 05:59:59,680474348.0
 15-1-2023,06:00:00 a 11:59:59,706635968.5
 15-1-2023,12:00:00 a 17:59:59,740143947.0
 15-1-2023,18:00:00 a 23:59:59,711140225.0
 16-1-2023,00:00:00 a 05:59:59,670564486.0
 16-1-2023,06:00:00 a 11:59:59,607746831.0
 16-1-2023,12:00:00 a 17:59:59,652058240.5
 16-1-2023,18:00:00 a 23:59:59,773427530.0
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,-1
 17-1-2023,18:00:00 a 23:59:59,797757458.0
 18-1-2023,00:00:00 a 05:59:59,662019285.0
 18-1-2023,06:00:00 a 11:59:59,695313944.0
 18-1-2023,12:00:00 a 17:59:59,774671743.33
 18-1-2023,18:00:00 a 23:59:59,749576148.0
 19-1-2023,00:00:00 a 05:59:59,812489276.0
 19-1-2023,06:00:00 a 11:59:59,794167366.5
 19-1-2023,12:00:00 a 17:59:59,791832708.0
 19-1-2023,18:00:00 a 23:59:59,-1
 20-1-2023,00:00:00 a 05:59:59,623536061.0
 20-1-2023,06:00:00 a 11:59:59,584791858.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,614517534.0
 23-1-2023,18:00:00 a 23:59:59,788689228.5
 24-1-2023,00:00:00 a 05:59:59,578307304.0
 24-1-2023,06:00:00 a 11:59:59,526439002.0
 24-1-2023,12:00:00 a 17:59:59,770862033.0
 24-1-2023,18:00:00 a 23:59:59,640522553.0
 25-1-2023,00:00:00 a 05:59:59,782083342.0
 25-1-2023,06:00:00 a 11:59:59,768974286.0
 25-1-2023,12:00:00 a 17:59:59,695129400.5
 25-1-2023,18:00:00 a 23:59:59,684548547.5
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,725667746.0
 26-1-2023,12:00:00 a 17:59:59,764047999.5
 26-1-2023,18:00:00 a 23:59:59,562246844.0
 27-1-2023,00:00:00 a 05:59:59,654157711.5
 27-1-2023,06:00:00 a 11:59:59,733926733.5
 27-1-2023,12:00:00 a 17:59:59,657669070.0
 27-1-2023,18:00:00 a 23:59:59,709965353.5
 28-1-2023,00:00:00 a 05:59:59,-1
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,813644115.5
 28-1-2023,18:00:00 a 23:59:59,664588498.0
 29-1-2023,00:00:00 a 05:59:59,663957360.0
 29-1-2023,06:00:00 a 11:59:59,680449703.0
 29-1-2023,12:00:00 a 17:59:59,741290268.5
 29-1-2023,18:00:00 a 23:59:59,-1
 30-1-2023,00:00:00 a 05:59:59,758986218.0
 30-1-2023,06:00:00 a 11:59:59,754870315.0
 30-1-2023,12:00:00 a 17:59:59,805781494.5
 30-1-2023,18:00:00 a 23:59:59,776128333.5
 31-1-2023,00:00:00 a 05:59:59,817021210.0
 31-1-2023,06:00:00 a 11:59:59,787801805.0
 31-1-2023,12:00:00 a 17:59:59,740610873.5
 31-1-2023,18:00:00 a 23:59:59,672035193.5
 1-2-2023,00:00:00 a 05:59:59,800905672.0
 1-2-2023,06:00:00 a 11:59:59,664851607.0
 1-2-2023,12:00:00 a 17:59:59,644297599.5
 1-2-2023,18:00:00 a 23:59:59,680265006.0
 2-2-2023,00:00:00 a 05:59:59,762790407.0
 2-2-2023,06:00:00 a 11:59:59,726647562.0
 2-2-2023,12:00:00 a 17:59:59,770599312.0
 2-2-2023,18:00:00 a 23:59:59,743467704.5
 3-2-2023,00:00:00 a 05:59:59,-1
 3-2-2023,06:00:00 a 11:59:59,791528595.0
 3-2-2023,12:00:00 a 17:59:59,652189909.5
 3-2-2023,18:00:00 a 23:59:59,811023702.0
 4-2-2023,00:00:00 a 05:59:59,778622525.5
 4-2-2023,06:00:00 a 11:59:59,-1
 4-2-2023,12:00:00 a 17:59:59,732406984.5
 4-2-2023,18:00:00 a 23:59:59,802685724.5
 5-2-2023,00:00:00 a 05:59:59,-1
 5-2-2023,06:00:00 a 11:59:59,739299560.0
 5-2-2023,12:00:00 a 17:59:59,768713909.0
 5-2-2023,18:00:00 a 23:59:59,808926829.0
 6-2-2023,00:00:00 a 05:59:59,629268846.0
 6-2-2023,06:00:00 a 11:59:59,673659015.5
 6-2-2023,12:00:00 a 17:59:59,642836.0
 6-2-2023,18:00:00 a 23:59:59,790392056.0
 7-2-2023,00:00:00 a 05:59:59,685770932.0
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,705116399.5
 7-2-2023,18:00:00 a 23:59:59,705562359.5
 8-2-2023,00:00:00 a 05:59:59,782705993.0
 8-2-2023,06:00:00 a 11:59:59,696597106.0
 8-2-2023,12:00:00 a 17:59:59,766458313.0
 8-2-2023,18:00:00 a 23:59:59,731083206.0
 9-2-2023,00:00:00 a 05:59:59,782292080.0
 9-2-2023,06:00:00 a 11:59:59,822401264.0
 9-2-2023,12:00:00 a 17:59:59,758125186.0
 9-2-2023,18:00:00 a 23:59:59,220201378.0
 10-2-2023,00:00:00 a 05:59:59,789055254.0
 10-2-2023,06:00:00 a 11:59:59,681105122.5
 10-2-2023,12:00:00 a 17:59:59,724804965.0
 10-2-2023,18:00:00 a 23:59:59,-1
 11-2-2023,00:00:00 a 05:59:59,663279799.0
 11-2-2023,06:00:00 a 11:59:59,721761014.5
 11-2-2023,12:00:00 a 17:59:59,726927001.0
 11-2-2023,18:00:00 a 23:59:59,797917816.0
 12-2-2023,00:00:00 a 05:59:59,-1
 12-2-2023,06:00:00 a 11:59:59,721133129.0
 12-2-2023,12:00:00 a 17:59:59,833825842.0
 12-2-2023,18:00:00 a 23:59:59,680212067.0
 13-2-2023,00:00:00 a 05:59:59,782134785.5
 13-2-2023,06:00:00 a 11:59:59,724148504.0
 13-2-2023,12:00:00 a 17:59:59,763731475.0
 13-2-2023,18:00:00 a 23:59:59,730910737.0
 14-2-2023,00:00:00 a 05:59:59,731802487.5
 14-2-2023,06:00:00 a 11:59:59,-1
 14-2-2023,12:00:00 a 17:59:59,698508654.5
 14-2-2023,18:00:00 a 23:59:59,803892237.0
 15-2-2023,00:00:00 a 05:59:59,676940723.0
 15-2-2023,06:00:00 a 11:59:59,707740476.0
 15-2-2023,12:00:00 a 17:59:59,745484809.0
 15-2-2023,18:00:00 a 23:59:59,777887544.0
 16-2-2023,00:00:00 a 05:59:59,753770252.0
 16-2-2023,06:00:00 a 11:59:59,792936937.0
