Data,Intervalo,Vazao
4-1-2023,00:00:00 a 05:59:59,-1
 4-1-2023,06:00:00 a 11:59:59,-1
 4-1-2023,12:00:00 a 17:59:59,904606469.0
 4-1-2023,18:00:00 a 23:59:59,854039812.5
 5-1-2023,00:00:00 a 05:59:59,872312598.0
 5-1-2023,06:00:00 a 11:59:59,894699643.5
 5-1-2023,12:00:00 a 17:59:59,845492886.5
 5-1-2023,18:00:00 a 23:59:59,864759528.5
 6-1-2023,00:00:00 a 05:59:59,850188906.0
 6-1-2023,06:00:00 a 11:59:59,-1
 6-1-2023,12:00:00 a 17:59:59,-1
 6-1-2023,18:00:00 a 23:59:59,850971725.0
 7-1-2023,00:00:00 a 05:59:59,856058858.0
 7-1-2023,06:00:00 a 11:59:59,882875079.0
 7-1-2023,12:00:00 a 17:59:59,750362336.0
 7-1-2023,18:00:00 a 23:59:59,859990229.5
 8-1-2023,00:00:00 a 05:59:59,798911412.0
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,718273303.0
 8-1-2023,18:00:00 a 23:59:59,639213704.5
 9-1-2023,00:00:00 a 05:59:59,872367557.0
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,847644966.5
 9-1-2023,18:00:00 a 23:59:59,894289196.0
 10-1-2023,00:00:00 a 05:59:59,749470145.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,882378689.0
 11-1-2023,00:00:00 a 05:59:59,857634126.0
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,874775402.0
 11-1-2023,18:00:00 a 23:59:59,-1
 12-1-2023,00:00:00 a 05:59:59,890687482.5
 12-1-2023,06:00:00 a 11:59:59,893230760.0
 12-1-2023,12:00:00 a 17:59:59,-1
 12-1-2023,18:00:00 a 23:59:59,771806138.5
 13-1-2023,00:00:00 a 05:59:59,846359176.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,862299146.0
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,751722179.0
 14-1-2023,18:00:00 a 23:59:59,924899512.0
 15-1-2023,00:00:00 a 05:59:59,513855516.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,213857321.0
 15-1-2023,18:00:00 a 23:59:59,875872773.0
 16-1-2023,00:00:00 a 05:59:59,859153194.0
 16-1-2023,06:00:00 a 11:59:59,334863499.0
 16-1-2023,12:00:00 a 17:59:59,443338534.0
 16-1-2023,18:00:00 a 23:59:59,916085857.0
 17-1-2023,00:00:00 a 05:59:59,881590933.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,719195947.0
 17-1-2023,18:00:00 a 23:59:59,891185054.0
 18-1-2023,00:00:00 a 05:59:59,837496897.0
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,785488268.5
 18-1-2023,18:00:00 a 23:59:59,865445273.0
 19-1-2023,00:00:00 a 05:59:59,340420317.0
 19-1-2023,06:00:00 a 11:59:59,-1
 19-1-2023,12:00:00 a 17:59:59,888489683.0
 19-1-2023,18:00:00 a 23:59:59,-1
 20-1-2023,00:00:00 a 05:59:59,899207716.5
 20-1-2023,06:00:00 a 11:59:59,-1
 20-1-2023,12:00:00 a 17:59:59,136367506.0
 20-1-2023,18:00:00 a 23:59:59,387396441.0
 21-1-2023,00:00:00 a 05:59:59,270481477.0
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,872495450.0
 22-1-2023,00:00:00 a 05:59:59,-1
 22-1-2023,06:00:00 a 11:59:59,-1
 22-1-2023,12:00:00 a 17:59:59,849925019.0
 22-1-2023,18:00:00 a 23:59:59,870476672.0
 23-1-2023,00:00:00 a 05:59:59,641598354.5
 23-1-2023,06:00:00 a 11:59:59,879075052.0
 23-1-2023,12:00:00 a 17:59:59,86560195.0
 23-1-2023,18:00:00 a 23:59:59,777335377.5
 24-1-2023,00:00:00 a 05:59:59,220778394.0
 24-1-2023,06:00:00 a 11:59:59,227751094.0
 24-1-2023,12:00:00 a 17:59:59,-1
 24-1-2023,18:00:00 a 23:59:59,520439374.5
 25-1-2023,00:00:00 a 05:59:59,479462454.0
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,93742788.0
 25-1-2023,18:00:00 a 23:59:59,-1
 26-1-2023,00:00:00 a 05:59:59,190605132.5
 26-1-2023,06:00:00 a 11:59:59,210449697.0
 26-1-2023,12:00:00 a 17:59:59,7287605.0
 26-1-2023,18:00:00 a 23:59:59,2411732.0
 27-1-2023,00:00:00 a 05:59:59,20919149.0
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,371144525.5
 27-1-2023,18:00:00 a 23:59:59,-1
 28-1-2023,00:00:00 a 05:59:59,874152200.0
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,812964143.0
 28-1-2023,18:00:00 a 23:59:59,864346080.0
 29-1-2023,00:00:00 a 05:59:59,636409407.5
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,889665864.0
 29-1-2023,18:00:00 a 23:59:59,888354673.0
 30-1-2023,00:00:00 a 05:59:59,843264186.0
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,43201385.0
 30-1-2023,18:00:00 a 23:59:59,520068917.5
 31-1-2023,00:00:00 a 05:59:59,856478546.0
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,848351642.0
 31-1-2023,18:00:00 a 23:59:59,840331789.0
 1-2-2023,00:00:00 a 05:59:59,657588076.0
 1-2-2023,06:00:00 a 11:59:59,-1
 1-2-2023,12:00:00 a 17:59:59,690591808.0
 1-2-2023,18:00:00 a 23:59:59,861275421.0
 2-2-2023,00:00:00 a 05:59:59,876767348.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,305162700.5
 2-2-2023,18:00:00 a 23:59:59,177733996.0
 3-2-2023,00:00:00 a 05:59:59,438619976.0
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,818363062.0
 3-2-2023,18:00:00 a 23:59:59,-1
 4-2-2023,00:00:00 a 05:59:59,-1
 4-2-2023,06:00:00 a 11:59:59,-1
 4-2-2023,12:00:00 a 17:59:59,252445126.0
 4-2-2023,18:00:00 a 23:59:59,294047360.0
 5-2-2023,00:00:00 a 05:59:59,853909701.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,365898582.0
 5-2-2023,18:00:00 a 23:59:59,502716848.0
 6-2-2023,00:00:00 a 05:59:59,483082151.0
 6-2-2023,06:00:00 a 11:59:59,740770107.0
 6-2-2023,12:00:00 a 17:59:59,6186609.0
 6-2-2023,18:00:00 a 23:59:59,887202460.0
 7-2-2023,00:00:00 a 05:59:59,-1
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,447111703.0
 7-2-2023,18:00:00 a 23:59:59,-1
 8-2-2023,00:00:00 a 05:59:59,338323384.0
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,885943368.0
 8-2-2023,18:00:00 a 23:59:59,360553596.0
 9-2-2023,00:00:00 a 05:59:59,568013725.0
 9-2-2023,06:00:00 a 11:59:59,217265292.0
 9-2-2023,12:00:00 a 17:59:59,34236021.0
 9-2-2023,18:00:00 a 23:59:59,239206842.0
 10-2-2023,00:00:00 a 05:59:59,523975392.0
 10-2-2023,06:00:00 a 11:59:59,843265240.0
 10-2-2023,12:00:00 a 17:59:59,116864280.0
 10-2-2023,18:00:00 a 23:59:59,560757213.0
 11-2-2023,00:00:00 a 05:59:59,856201846.0
 11-2-2023,06:00:00 a 11:59:59,-1
 11-2-2023,12:00:00 a 17:59:59,903718298.0
 11-2-2023,18:00:00 a 23:59:59,826121770.0
 12-2-2023,00:00:00 a 05:59:59,495452754.0
 12-2-2023,06:00:00 a 11:59:59,855640026.0
 12-2-2023,12:00:00 a 17:59:59,887726483.0
 12-2-2023,18:00:00 a 23:59:59,896534048.0
 13-2-2023,00:00:00 a 05:59:59,662909772.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,867227840.5
 13-2-2023,18:00:00 a 23:59:59,-1
 14-2-2023,00:00:00 a 05:59:59,326971326.0
 14-2-2023,06:00:00 a 11:59:59,-1
 14-2-2023,12:00:00 a 17:59:59,-1
 14-2-2023,18:00:00 a 23:59:59,865291404.0
