Data,Intervalo,Vazao
4-1-2023,00:00:00 a 05:59:59,-1
 4-1-2023,06:00:00 a 11:59:59,-1
 4-1-2023,12:00:00 a 17:59:59,939537014.0
 4-1-2023,18:00:00 a 23:59:59,-1
 5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,940049606.0
 6-1-2023,00:00:00 a 05:59:59,940620962.0
 6-1-2023,06:00:00 a 11:59:59,939160616.0
 6-1-2023,12:00:00 a 17:59:59,940864770.5
 6-1-2023,18:00:00 a 23:59:59,940103163.0
 7-1-2023,00:00:00 a 05:59:59,940782152.0
 7-1-2023,06:00:00 a 11:59:59,940641221.5
 7-1-2023,12:00:00 a 17:59:59,939654791.0
 7-1-2023,18:00:00 a 23:59:59,940835897.0
 8-1-2023,00:00:00 a 05:59:59,940967745.0
 8-1-2023,06:00:00 a 11:59:59,933813232.0
 8-1-2023,12:00:00 a 17:59:59,936222532.0
 8-1-2023,18:00:00 a 23:59:59,940787185.0
 9-1-2023,00:00:00 a 05:59:59,936218454.0
 9-1-2023,06:00:00 a 11:59:59,937425303.0
 9-1-2023,12:00:00 a 17:59:59,940799086.0
 9-1-2023,18:00:00 a 23:59:59,940705600.0
 10-1-2023,00:00:00 a 05:59:59,937063315.0
 10-1-2023,06:00:00 a 11:59:59,939479825.67
 10-1-2023,12:00:00 a 17:59:59,940152818.0
 10-1-2023,18:00:00 a 23:59:59,-1
 11-1-2023,00:00:00 a 05:59:59,940203461.5
 11-1-2023,06:00:00 a 11:59:59,941308369.0
 11-1-2023,12:00:00 a 17:59:59,939786849.5
 11-1-2023,18:00:00 a 23:59:59,939940565.0
 12-1-2023,00:00:00 a 05:59:59,940396777.5
 12-1-2023,06:00:00 a 11:59:59,940888844.0
 12-1-2023,12:00:00 a 17:59:59,940360731.0
 12-1-2023,18:00:00 a 23:59:59,941150800.0
 13-1-2023,00:00:00 a 05:59:59,941148447.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,939686031.0
 13-1-2023,18:00:00 a 23:59:59,940433909.67
 14-1-2023,00:00:00 a 05:59:59,941308369.0
 14-1-2023,06:00:00 a 11:59:59,939762424.5
 14-1-2023,12:00:00 a 17:59:59,941414074.0
 14-1-2023,18:00:00 a 23:59:59,939472347.0
 15-1-2023,00:00:00 a 05:59:59,939892977.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,941466032.0
 15-1-2023,18:00:00 a 23:59:59,940209008.0
 16-1-2023,00:00:00 a 05:59:59,940888279.0
 16-1-2023,06:00:00 a 11:59:59,-1
 16-1-2023,12:00:00 a 17:59:59,-1
 16-1-2023,18:00:00 a 23:59:59,940809188.5
 17-1-2023,00:00:00 a 05:59:59,939943526.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,938581879.0
 17-1-2023,18:00:00 a 23:59:59,940364413.5
 18-1-2023,00:00:00 a 05:59:59,941465326.0
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,941202382.0
 18-1-2023,18:00:00 a 23:59:59,940129377.0
 19-1-2023,00:00:00 a 05:59:59,938424545.0
 19-1-2023,06:00:00 a 11:59:59,-1
 19-1-2023,12:00:00 a 17:59:59,-1
 19-1-2023,18:00:00 a 23:59:59,940888467.0
 20-1-2023,00:00:00 a 05:59:59,940285277.5
 20-1-2023,06:00:00 a 11:59:59,940939720.0
 20-1-2023,12:00:00 a 17:59:59,941098653.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,940154541.67
 21-1-2023,06:00:00 a 11:59:59,940992290.0
 21-1-2023,12:00:00 a 17:59:59,941203041.0
 21-1-2023,18:00:00 a 23:59:59,940496215.0
 22-1-2023,00:00:00 a 05:59:59,940836180.0
 22-1-2023,06:00:00 a 11:59:59,941351651.0
 22-1-2023,12:00:00 a 17:59:59,940152349.0
 22-1-2023,18:00:00 a 23:59:59,940468096.0
 23-1-2023,00:00:00 a 05:59:59,941150212.0
 23-1-2023,06:00:00 a 11:59:59,939734778.0
 23-1-2023,12:00:00 a 17:59:59,940779751.0
 23-1-2023,18:00:00 a 23:59:59,940885692.0
 24-1-2023,00:00:00 a 05:59:59,940573894.0
 24-1-2023,06:00:00 a 11:59:59,940366059.5
 24-1-2023,12:00:00 a 17:59:59,940808531.0
 24-1-2023,18:00:00 a 23:59:59,939943008.0
 25-1-2023,00:00:00 a 05:59:59,941255517.0
 25-1-2023,06:00:00 a 11:59:59,940521183.0
 25-1-2023,12:00:00 a 17:59:59,938397556.5
 25-1-2023,18:00:00 a 23:59:59,940887950.0
 26-1-2023,00:00:00 a 05:59:59,940680774.0
 26-1-2023,06:00:00 a 11:59:59,896284923.0
 26-1-2023,12:00:00 a 17:59:59,940235338.0
 26-1-2023,18:00:00 a 23:59:59,-1
 27-1-2023,00:00:00 a 05:59:59,-1
 27-1-2023,06:00:00 a 11:59:59,940994737.0
 27-1-2023,12:00:00 a 17:59:59,934022548.5
 27-1-2023,18:00:00 a 23:59:59,941308275.0
 28-1-2023,00:00:00 a 05:59:59,939211777.0
 28-1-2023,06:00:00 a 11:59:59,940732804.0
 28-1-2023,12:00:00 a 17:59:59,940415525.5
 28-1-2023,18:00:00 a 23:59:59,939263971.0
 29-1-2023,00:00:00 a 05:59:59,940839732.5
 29-1-2023,06:00:00 a 11:59:59,940626652.0
 29-1-2023,12:00:00 a 17:59:59,940151502.0
 29-1-2023,18:00:00 a 23:59:59,941466550.0
 30-1-2023,00:00:00 a 05:59:59,938316732.0
 30-1-2023,06:00:00 a 11:59:59,934412508.5
 30-1-2023,12:00:00 a 17:59:59,941046366.0
 30-1-2023,18:00:00 a 23:59:59,940862653.0
 31-1-2023,00:00:00 a 05:59:59,940941602.0
 31-1-2023,06:00:00 a 11:59:59,941134660.0
 31-1-2023,12:00:00 a 17:59:59,940102762.5
 31-1-2023,18:00:00 a 23:59:59,941359668.0
 1-2-2023,00:00:00 a 05:59:59,940117704.5
 1-2-2023,06:00:00 a 11:59:59,940914517.0
 1-2-2023,12:00:00 a 17:59:59,940472563.0
 1-2-2023,18:00:00 a 23:59:59,941203088.0
 2-2-2023,00:00:00 a 05:59:59,940340150.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,930641235.0
 2-2-2023,18:00:00 a 23:59:59,941466927.0
 3-2-2023,00:00:00 a 05:59:59,940914587.5
 3-2-2023,06:00:00 a 11:59:59,941359027.5
 3-2-2023,12:00:00 a 17:59:59,-1
 3-2-2023,18:00:00 a 23:59:59,940673208.0
 4-2-2023,00:00:00 a 05:59:59,940993490.5
 4-2-2023,06:00:00 a 11:59:59,932716373.0
 4-2-2023,12:00:00 a 17:59:59,939550897.0
 4-2-2023,18:00:00 a 23:59:59,940144639.0
 5-2-2023,00:00:00 a 05:59:59,940443856.5
 5-2-2023,06:00:00 a 11:59:59,939472794.0
 5-2-2023,12:00:00 a 17:59:59,939524706.0
 5-2-2023,18:00:00 a 23:59:59,940156132.0
 6-2-2023,00:00:00 a 05:59:59,939737429.0
 6-2-2023,06:00:00 a 11:59:59,940992055.0
 6-2-2023,12:00:00 a 17:59:59,939997294.5
 6-2-2023,18:00:00 a 23:59:59,940994078.0
 7-2-2023,00:00:00 a 05:59:59,940500140.0
 7-2-2023,06:00:00 a 11:59:59,941152447.0
 7-2-2023,12:00:00 a 17:59:59,940468096.0
 7-2-2023,18:00:00 a 23:59:59,941465750.0
 8-2-2023,00:00:00 a 05:59:59,940469695.0
 8-2-2023,06:00:00 a 11:59:59,940442986.5
 8-2-2023,12:00:00 a 17:59:59,940731745.0
 8-2-2023,18:00:00 a 23:59:59,940678987.0
 9-2-2023,00:00:00 a 05:59:59,940445499.0
 9-2-2023,06:00:00 a 11:59:59,939787743.0
 9-2-2023,12:00:00 a 17:59:59,939525176.0
 9-2-2023,18:00:00 a 23:59:59,941049660.0
 10-2-2023,00:00:00 a 05:59:59,921465292.5
 10-2-2023,06:00:00 a 11:59:59,940942261.0
 10-2-2023,12:00:00 a 17:59:59,939714740.0
 10-2-2023,18:00:00 a 23:59:59,939681523.0
 11-2-2023,00:00:00 a 05:59:59,940155638.0
 11-2-2023,06:00:00 a 11:59:59,940063530.0
 11-2-2023,12:00:00 a 17:59:59,940811447.0
 11-2-2023,18:00:00 a 23:59:59,940785655.5
 12-2-2023,00:00:00 a 05:59:59,-1
 12-2-2023,06:00:00 a 11:59:59,933079599.0
 12-2-2023,12:00:00 a 17:59:59,941469103.0
 12-2-2023,18:00:00 a 23:59:59,940207785.0
 13-2-2023,00:00:00 a 05:59:59,-1
 13-2-2023,06:00:00 a 11:59:59,940993066.5
 13-2-2023,12:00:00 a 17:59:59,940993890.0
 13-2-2023,18:00:00 a 23:59:59,940208067.0
 14-2-2023,00:00:00 a 05:59:59,940549890.0
