Data,Intervalo,Vazao
30-3-2023,00:00:00 a 05:59:59,-1
 30-3-2023,06:00:00 a 11:59:59,-1
 30-3-2023,12:00:00 a 17:59:59,-1
 30-3-2023,18:00:00 a 23:59:59,751988534.0
 31-3-2023,00:00:00 a 05:59:59,939946957.0
 31-3-2023,06:00:00 a 11:59:59,812334061.0
 31-3-2023,12:00:00 a 17:59:59,777259214.0
 31-3-2023,18:00:00 a 23:59:59,825859366.0
 1-4-2023,00:00:00 a 05:59:59,633341297.0
 1-4-2023,06:00:00 a 11:59:59,173120261.0
 1-4-2023,12:00:00 a 17:59:59,867715795.0
 1-4-2023,18:00:00 a 23:59:59,719873391.5
 2-4-2023,00:00:00 a 05:59:59,678212615.0
 2-4-2023,06:00:00 a 11:59:59,812019573.5
 2-4-2023,12:00:00 a 17:59:59,-1
 2-4-2023,18:00:00 a 23:59:59,736024852.5
 3-4-2023,00:00:00 a 05:59:59,714868266.0
 3-4-2023,06:00:00 a 11:59:59,389494457.5
 3-4-2023,12:00:00 a 17:59:59,736050536.5
 3-4-2023,18:00:00 a 23:59:59,821378239.0
 4-4-2023,00:00:00 a 05:59:59,382153943.0
 4-4-2023,06:00:00 a 11:59:59,610901507.0
 4-4-2023,12:00:00 a 17:59:59,790234756.5
 4-4-2023,18:00:00 a 23:59:59,845338246.0
 5-4-2023,00:00:00 a 05:59:59,837866329.5
 5-4-2023,06:00:00 a 11:59:59,803209015.0
 5-4-2023,12:00:00 a 17:59:59,794842254.0
 5-4-2023,18:00:00 a 23:59:59,-1
 6-4-2023,00:00:00 a 05:59:59,-1
 6-4-2023,06:00:00 a 11:59:59,820461737.0
 6-4-2023,12:00:00 a 17:59:59,-1
 6-4-2023,18:00:00 a 23:59:59,-1
 7-4-2023,00:00:00 a 05:59:59,791675287.5
 7-4-2023,06:00:00 a 11:59:59,933025583.0
 7-4-2023,12:00:00 a 17:59:59,720971128.0
 7-4-2023,18:00:00 a 23:59:59,581920140.0
 8-4-2023,00:00:00 a 05:59:59,919287996.0
 8-4-2023,06:00:00 a 11:59:59,941153906.0
 8-4-2023,12:00:00 a 17:59:59,935828625.0
 8-4-2023,18:00:00 a 23:59:59,-1
 9-4-2023,00:00:00 a 05:59:59,-1
 9-4-2023,06:00:00 a 11:59:59,927939001.0
 9-4-2023,12:00:00 a 17:59:59,543034599.0
 9-4-2023,18:00:00 a 23:59:59,317973953.0
 10-4-2023,00:00:00 a 05:59:59,520724247.0
 10-4-2023,06:00:00 a 11:59:59,899681310.5
 10-4-2023,12:00:00 a 17:59:59,500572013.67
 10-4-2023,18:00:00 a 23:59:59,938582686.0
 11-4-2023,00:00:00 a 05:59:59,454469068.0
 11-4-2023,06:00:00 a 11:59:59,632894868.5
 11-4-2023,12:00:00 a 17:59:59,549036249.0
 11-4-2023,18:00:00 a 23:59:59,852126649.0
 12-4-2023,00:00:00 a 05:59:59,815305521.0
 12-4-2023,06:00:00 a 11:59:59,426090432.0
 12-4-2023,12:00:00 a 17:59:59,922381169.0
 12-4-2023,18:00:00 a 23:59:59,874742714.5
 13-4-2023,00:00:00 a 05:59:59,897424352.0
 13-4-2023,06:00:00 a 11:59:59,433088087.5
 13-4-2023,12:00:00 a 17:59:59,718013528.0
 13-4-2023,18:00:00 a 23:59:59,938660546.5
 14-4-2023,00:00:00 a 05:59:59,940207362.0
 14-4-2023,06:00:00 a 11:59:59,936539775.0
 14-4-2023,12:00:00 a 17:59:59,892184983.5
 14-4-2023,18:00:00 a 23:59:59,725772604.0
 15-4-2023,00:00:00 a 05:59:59,754014527.67
 15-4-2023,06:00:00 a 11:59:59,528275098.0
 15-4-2023,12:00:00 a 17:59:59,926629808.0
 15-4-2023,18:00:00 a 23:59:59,931396700.0
 16-4-2023,00:00:00 a 05:59:59,807195661.0
 16-4-2023,06:00:00 a 11:59:59,-1
 16-4-2023,12:00:00 a 17:59:59,861613520.0
 16-4-2023,18:00:00 a 23:59:59,-1
 17-4-2023,00:00:00 a 05:59:59,542796370.0
 17-4-2023,06:00:00 a 11:59:59,-1
 17-4-2023,12:00:00 a 17:59:59,-1
 17-4-2023,18:00:00 a 23:59:59,-1
 
