Data,Intervalo,Vazao
4-1-2023,00:00:00 a 05:59:59,-1
 4-1-2023,06:00:00 a 11:59:59,-1
 4-1-2023,12:00:00 a 17:59:59,-1
 4-1-2023,18:00:00 a 23:59:59,926735083.0
 5-1-2023,00:00:00 a 05:59:59,941045895.0
 5-1-2023,06:00:00 a 11:59:59,939657104.5
 5-1-2023,12:00:00 a 17:59:59,941359882.0
 5-1-2023,18:00:00 a 23:59:59,938945354.0
 6-1-2023,00:00:00 a 05:59:59,944981227.0
 6-1-2023,06:00:00 a 11:59:59,941534650.5
 6-1-2023,12:00:00 a 17:59:59,939576640.0
 6-1-2023,18:00:00 a 23:59:59,-1
 7-1-2023,00:00:00 a 05:59:59,940207268.0
 7-1-2023,06:00:00 a 11:59:59,-1
 7-1-2023,12:00:00 a 17:59:59,942093298.5
 7-1-2023,18:00:00 a 23:59:59,941464008.0
 8-1-2023,00:00:00 a 05:59:59,939682627.0
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,938739259.0
 8-1-2023,18:00:00 a 23:59:59,-1
 9-1-2023,00:00:00 a 05:59:59,940680680.0
 9-1-2023,06:00:00 a 11:59:59,941100065.0
 9-1-2023,12:00:00 a 17:59:59,939735784.0
 9-1-2023,18:00:00 a 23:59:59,941230290.0
 10-1-2023,00:00:00 a 05:59:59,939265239.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,939158409.0
 10-1-2023,18:00:00 a 23:59:59,940840225.0
 11-1-2023,00:00:00 a 05:59:59,940153147.0
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,940048572.0
 11-1-2023,18:00:00 a 23:59:59,939586578.0
 12-1-2023,00:00:00 a 05:59:59,926238248.0
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,935121803.0
 12-1-2023,18:00:00 a 23:59:59,939800853.0
 13-1-2023,00:00:00 a 05:59:59,939944936.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,940132549.0
 13-1-2023,18:00:00 a 23:59:59,938266930.0
 14-1-2023,00:00:00 a 05:59:59,938361372.0
 14-1-2023,06:00:00 a 11:59:59,939993887.0
 14-1-2023,12:00:00 a 17:59:59,940076852.0
 14-1-2023,18:00:00 a 23:59:59,942147891.0
 15-1-2023,00:00:00 a 05:59:59,938213282.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,941650216.5
 15-1-2023,18:00:00 a 23:59:59,940635165.0
 16-1-2023,00:00:00 a 05:59:59,940191325.67
 16-1-2023,06:00:00 a 11:59:59,932757143.0
 16-1-2023,12:00:00 a 17:59:59,906600399.0
 16-1-2023,18:00:00 a 23:59:59,941176638.5
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,-1
 17-1-2023,18:00:00 a 23:59:59,744962532.0
 18-1-2023,00:00:00 a 05:59:59,940732780.0
 18-1-2023,06:00:00 a 11:59:59,940052261.0
 18-1-2023,12:00:00 a 17:59:59,734733235.0
 18-1-2023,18:00:00 a 23:59:59,940574199.5
 19-1-2023,00:00:00 a 05:59:59,940889879.0
 19-1-2023,06:00:00 a 11:59:59,939550036.67
 19-1-2023,12:00:00 a 17:59:59,941098418.0
 19-1-2023,18:00:00 a 23:59:59,939267725.0
 20-1-2023,00:00:00 a 05:59:59,942515082.0
 20-1-2023,06:00:00 a 11:59:59,940626981.5
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,941230080.0
 23-1-2023,18:00:00 a 23:59:59,940048807.0
 24-1-2023,00:00:00 a 05:59:59,938634683.0
 24-1-2023,06:00:00 a 11:59:59,946025172.0
 24-1-2023,12:00:00 a 17:59:59,939874028.33
 24-1-2023,18:00:00 a 23:59:59,941890409.0
 25-1-2023,00:00:00 a 05:59:59,940466472.5
 25-1-2023,06:00:00 a 11:59:59,939901812.0
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,939616028.0
 26-1-2023,00:00:00 a 05:59:59,917818708.0
 26-1-2023,06:00:00 a 11:59:59,941884569.0
 26-1-2023,12:00:00 a 17:59:59,939630503.0
 26-1-2023,18:00:00 a 23:59:59,941408332.0
 27-1-2023,00:00:00 a 05:59:59,823763152.5
 27-1-2023,06:00:00 a 11:59:59,-1
 27-1-2023,12:00:00 a 17:59:59,939350170.0
 27-1-2023,18:00:00 a 23:59:59,939840595.0
 28-1-2023,00:00:00 a 05:59:59,901626413.0
 28-1-2023,06:00:00 a 11:59:59,924350573.5
 28-1-2023,12:00:00 a 17:59:59,913994347.5
 28-1-2023,18:00:00 a 23:59:59,934335840.0
 29-1-2023,00:00:00 a 05:59:59,934382533.5
 29-1-2023,06:00:00 a 11:59:59,941465656.0
 29-1-2023,12:00:00 a 17:59:59,931346739.0
 29-1-2023,18:00:00 a 23:59:59,937553595.0
 30-1-2023,00:00:00 a 05:59:59,940050405.0
 30-1-2023,06:00:00 a 11:59:59,912003672.0
 30-1-2023,12:00:00 a 17:59:59,942147467.0
 30-1-2023,18:00:00 a 23:59:59,936118400.0
 31-1-2023,00:00:00 a 05:59:59,905185585.0
 31-1-2023,06:00:00 a 11:59:59,-1
 31-1-2023,12:00:00 a 17:59:59,932497331.0
 31-1-2023,18:00:00 a 23:59:59,938660619.0
 1-2-2023,00:00:00 a 05:59:59,939893964.0
 1-2-2023,06:00:00 a 11:59:59,905235162.0
 1-2-2023,12:00:00 a 17:59:59,933445855.0
 1-2-2023,18:00:00 a 23:59:59,923061625.0
 2-2-2023,00:00:00 a 05:59:59,940523488.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,934388432.5
 2-2-2023,18:00:00 a 23:59:59,934859989.0
 3-2-2023,00:00:00 a 05:59:59,-1
 3-2-2023,06:00:00 a 11:59:59,-1
 3-2-2023,12:00:00 a 17:59:59,-1
 3-2-2023,18:00:00 a 23:59:59,929723768.0
 4-2-2023,00:00:00 a 05:59:59,938267773.5
 4-2-2023,06:00:00 a 11:59:59,940108051.0
 4-2-2023,12:00:00 a 17:59:59,932974471.5
 4-2-2023,18:00:00 a 23:59:59,936380428.0
 5-2-2023,00:00:00 a 05:59:59,940358160.0
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,-1
 5-2-2023,18:00:00 a 23:59:59,928307024.0
 6-2-2023,00:00:00 a 05:59:59,930298348.0
 6-2-2023,06:00:00 a 11:59:59,922065904.0
 6-2-2023,12:00:00 a 17:59:59,-1
 6-2-2023,18:00:00 a 23:59:59,835822562.0
 7-2-2023,00:00:00 a 05:59:59,905079007.0
 7-2-2023,06:00:00 a 11:59:59,918296951.0
 7-2-2023,12:00:00 a 17:59:59,843910361.0
 7-2-2023,18:00:00 a 23:59:59,939261059.0
 8-2-2023,00:00:00 a 05:59:59,910007858.5
 8-2-2023,06:00:00 a 11:59:59,861720877.0
 8-2-2023,12:00:00 a 17:59:59,937114479.0
 8-2-2023,18:00:00 a 23:59:59,846596530.0
 9-2-2023,00:00:00 a 05:59:59,899522420.0
 9-2-2023,06:00:00 a 11:59:59,927782642.0
 9-2-2023,12:00:00 a 17:59:59,938137384.0
 9-2-2023,18:00:00 a 23:59:59,929511635.0
 10-2-2023,00:00:00 a 05:59:59,873675548.0
 10-2-2023,06:00:00 a 11:59:59,923798874.0
 10-2-2023,12:00:00 a 17:59:59,925948370.0
 10-2-2023,18:00:00 a 23:59:59,940207973.0
 11-2-2023,00:00:00 a 05:59:59,939839467.0
 11-2-2023,06:00:00 a 11:59:59,932763439.0
 11-2-2023,12:00:00 a 17:59:59,941099665.5
 11-2-2023,18:00:00 a 23:59:59,935018164.0
 12-2-2023,00:00:00 a 05:59:59,934940871.0
 12-2-2023,06:00:00 a 11:59:59,928412854.5
 12-2-2023,12:00:00 a 17:59:59,924506776.0
 12-2-2023,18:00:00 a 23:59:59,924826506.0
 13-2-2023,00:00:00 a 05:59:59,924685448.0
 13-2-2023,06:00:00 a 11:59:59,942622108.0
 13-2-2023,12:00:00 a 17:59:59,923501576.0
 13-2-2023,18:00:00 a 23:59:59,917978383.0
 14-2-2023,00:00:00 a 05:59:59,916088651.0
 14-2-2023,06:00:00 a 11:59:59,925741662.0
 14-2-2023,12:00:00 a 17:59:59,914526060.0
 14-2-2023,18:00:00 a 23:59:59,927790575.0
 15-2-2023,00:00:00 a 05:59:59,939738838.0
 15-2-2023,06:00:00 a 11:59:59,892864606.0
 15-2-2023,12:00:00 a 17:59:59,903008839.5
 15-2-2023,18:00:00 a 23:59:59,913076059.5
 16-2-2023,00:00:00 a 05:59:59,-1
 16-2-2023,06:00:00 a 11:59:59,875246518.0
