Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,940728312.0
 6-1-2023,00:00:00 a 05:59:59,938259526.0
 6-1-2023,06:00:00 a 11:59:59,940416656.5
 6-1-2023,12:00:00 a 17:59:59,936902548.67
 6-1-2023,18:00:00 a 23:59:59,941416569.0
 7-1-2023,00:00:00 a 05:59:59,939420976.0
 7-1-2023,06:00:00 a 11:59:59,-1
 7-1-2023,12:00:00 a 17:59:59,938895372.0
 7-1-2023,18:00:00 a 23:59:59,940101869.0
 8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,939945124.0
 8-1-2023,18:00:00 a 23:59:59,939396124.5
 9-1-2023,00:00:00 a 05:59:59,941046272.0
 9-1-2023,06:00:00 a 11:59:59,919340616.0
 9-1-2023,12:00:00 a 17:59:59,941046695.0
 9-1-2023,18:00:00 a 23:59:59,940258616.0
 10-1-2023,00:00:00 a 05:59:59,-1
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,940772772.0
 10-1-2023,18:00:00 a 23:59:59,915934616.0
 11-1-2023,00:00:00 a 05:59:59,939735079.0
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,940783422.0
 11-1-2023,18:00:00 a 23:59:59,928257195.0
 12-1-2023,00:00:00 a 05:59:59,940994643.0
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,939999292.0
 12-1-2023,18:00:00 a 23:59:59,-1
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,941045001.0
 13-1-2023,18:00:00 a 23:59:59,940362957.5
 14-1-2023,00:00:00 a 05:59:59,939630926.0
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,264031872.0
 14-1-2023,18:00:00 a 23:59:59,939682979.0
 15-1-2023,00:00:00 a 05:59:59,940157143.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,940023861.5
 15-1-2023,18:00:00 a 23:59:59,940259462.0
 16-1-2023,00:00:00 a 05:59:59,941046319.0
 16-1-2023,06:00:00 a 11:59:59,939445546.0
 16-1-2023,12:00:00 a 17:59:59,933762716.5
 16-1-2023,18:00:00 a 23:59:59,940520572.0
 17-1-2023,00:00:00 a 05:59:59,939368829.0
 17-1-2023,06:00:00 a 11:59:59,941202852.0
 17-1-2023,12:00:00 a 17:59:59,941263141.0
 17-1-2023,18:00:00 a 23:59:59,940232400.5
 18-1-2023,00:00:00 a 05:59:59,940521748.0
 18-1-2023,06:00:00 a 11:59:59,940096686.0
 18-1-2023,12:00:00 a 17:59:59,939259791.0
 18-1-2023,18:00:00 a 23:59:59,940076173.0
 19-1-2023,00:00:00 a 05:59:59,941044813.0
 19-1-2023,06:00:00 a 11:59:59,940101282.0
 19-1-2023,12:00:00 a 17:59:59,939471902.0
 19-1-2023,18:00:00 a 23:59:59,940521818.0
 20-1-2023,00:00:00 a 05:59:59,939605417.5
 20-1-2023,06:00:00 a 11:59:59,939892507.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,939368851.0
 21-1-2023,06:00:00 a 11:59:59,941413180.0
 21-1-2023,12:00:00 a 17:59:59,940336058.0
 21-1-2023,18:00:00 a 23:59:59,939631865.5
 22-1-2023,00:00:00 a 05:59:59,940366342.0
 22-1-2023,06:00:00 a 11:59:59,939657328.5
 22-1-2023,12:00:00 a 17:59:59,-1
 22-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,940678940.0
 23-1-2023,12:00:00 a 17:59:59,939109314.0
 23-1-2023,18:00:00 a 23:59:59,940154604.0
 24-1-2023,00:00:00 a 05:59:59,940827148.0
 24-1-2023,06:00:00 a 11:59:59,937377210.33
 24-1-2023,12:00:00 a 17:59:59,940994407.0
 24-1-2023,18:00:00 a 23:59:59,938944139.0
 25-1-2023,00:00:00 a 05:59:59,934283738.0
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,940102504.0
 25-1-2023,18:00:00 a 23:59:59,936169137.5
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,940732404.0
 26-1-2023,12:00:00 a 17:59:59,938688661.0
 26-1-2023,18:00:00 a 23:59:59,940103445.0
 27-1-2023,00:00:00 a 05:59:59,939263266.0
 27-1-2023,06:00:00 a 11:59:59,940834486.0
 27-1-2023,12:00:00 a 17:59:59,939473593.0
 27-1-2023,18:00:00 a 23:59:59,941362022.0
 28-1-2023,00:00:00 a 05:59:59,940731745.0
 28-1-2023,06:00:00 a 11:59:59,-1
 28-1-2023,12:00:00 a 17:59:59,940574459.0
 28-1-2023,18:00:00 a 23:59:59,941048013.0
 29-1-2023,00:00:00 a 05:59:59,940784739.0
 29-1-2023,06:00:00 a 11:59:59,-1
 29-1-2023,12:00:00 a 17:59:59,941361457.0
 29-1-2023,18:00:00 a 23:59:59,940286828.0
 30-1-2023,00:00:00 a 05:59:59,-1
 30-1-2023,06:00:00 a 11:59:59,-1
 30-1-2023,12:00:00 a 17:59:59,869983803.5
 30-1-2023,18:00:00 a 23:59:59,940258897.5
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,939105651.0
 31-1-2023,12:00:00 a 17:59:59,940941743.0
 31-1-2023,18:00:00 a 23:59:59,940470587.5
 1-2-2023,00:00:00 a 05:59:59,-1
 1-2-2023,06:00:00 a 11:59:59,938109972.0
 1-2-2023,12:00:00 a 17:59:59,939893823.0
 1-2-2023,18:00:00 a 23:59:59,940641609.0
 2-2-2023,00:00:00 a 05:59:59,940835192.0
 2-2-2023,06:00:00 a 11:59:59,938690632.0
 2-2-2023,12:00:00 a 17:59:59,941048224.5
 2-2-2023,18:00:00 a 23:59:59,940943766.0
 3-2-2023,00:00:00 a 05:59:59,941308651.0
 3-2-2023,06:00:00 a 11:59:59,936178438.0
 3-2-2023,12:00:00 a 17:59:59,940363050.0
 3-2-2023,18:00:00 a 23:59:59,940338716.5
 4-2-2023,00:00:00 a 05:59:59,-1
 4-2-2023,06:00:00 a 11:59:59,939265756.0
 4-2-2023,12:00:00 a 17:59:59,939581645.0
 4-2-2023,18:00:00 a 23:59:59,940705386.5
 5-2-2023,00:00:00 a 05:59:59,-1
 5-2-2023,06:00:00 a 11:59:59,-1
 5-2-2023,12:00:00 a 17:59:59,940827619.0
 5-2-2023,18:00:00 a 23:59:59,939551603.0
 6-2-2023,00:00:00 a 05:59:59,-1
 6-2-2023,06:00:00 a 11:59:59,939736865.0
 6-2-2023,12:00:00 a 17:59:59,940417407.0
 6-2-2023,18:00:00 a 23:59:59,940313701.5
 7-2-2023,00:00:00 a 05:59:59,-1
 7-2-2023,06:00:00 a 11:59:59,-1
 7-2-2023,12:00:00 a 17:59:59,939263455.5
 7-2-2023,18:00:00 a 23:59:59,940809566.0
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,-1
 8-2-2023,18:00:00 a 23:59:59,940260966.0
 9-2-2023,00:00:00 a 05:59:59,940574176.0
 9-2-2023,06:00:00 a 11:59:59,940155780.0
 9-2-2023,12:00:00 a 17:59:59,940891668.0
 9-2-2023,18:00:00 a 23:59:59,788872319.0
 10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,941834212.0
 10-2-2023,12:00:00 a 17:59:59,940236115.0
 10-2-2023,18:00:00 a 23:59:59,939395137.0
 11-2-2023,00:00:00 a 05:59:59,-1
 11-2-2023,06:00:00 a 11:59:59,939629423.0
 11-2-2023,12:00:00 a 17:59:59,941415298.0
 11-2-2023,18:00:00 a 23:59:59,939945899.0
 12-2-2023,00:00:00 a 05:59:59,-1
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,940836415.5
 12-2-2023,18:00:00 a 23:59:59,940496520.5
 13-2-2023,00:00:00 a 05:59:59,938527197.0
 13-2-2023,06:00:00 a 11:59:59,940265339.0
 13-2-2023,12:00:00 a 17:59:59,939367138.0
 13-2-2023,18:00:00 a 23:59:59,940050170.0
 14-2-2023,00:00:00 a 05:59:59,938947003.0
 14-2-2023,06:00:00 a 11:59:59,-1
 14-2-2023,12:00:00 a 17:59:59,940475432.0
 14-2-2023,18:00:00 a 23:59:59,-1
 15-2-2023,00:00:00 a 05:59:59,939875166.0
 15-2-2023,06:00:00 a 11:59:59,940784551.0
 15-2-2023,12:00:00 a 17:59:59,941433243.0
 15-2-2023,18:00:00 a 23:59:59,940811000.0
 16-2-2023,00:00:00 a 05:59:59,-1
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,939998164.0
 16-2-2023,18:00:00 a 23:59:59,940838155.0
 17-2-2023,00:00:00 a 05:59:59,-1
 17-2-2023,06:00:00 a 11:59:59,940233271.5
 17-2-2023,12:00:00 a 17:59:59,938164559.0
 17-2-2023,18:00:00 a 23:59:59,940993796.0
 18-2-2023,00:00:00 a 05:59:59,939771908.0
 18-2-2023,06:00:00 a 11:59:59,940050781.0
 18-2-2023,12:00:00 a 17:59:59,940941743.0
 18-2-2023,18:00:00 a 23:59:59,939448153.0
 19-2-2023,00:00:00 a 05:59:59,939788871.0
 19-2-2023,06:00:00 a 11:59:59,-1
 19-2-2023,12:00:00 a 17:59:59,686974394.0
 19-2-2023,18:00:00 a 23:59:59,940573894.0
 20-2-2023,00:00:00 a 05:59:59,-1
 20-2-2023,06:00:00 a 11:59:59,-1
 20-2-2023,12:00:00 a 17:59:59,553334949.0
 20-2-2023,18:00:00 a 23:59:59,940840837.0
 21-2-2023,00:00:00 a 05:59:59,939367561.0
 21-2-2023,06:00:00 a 11:59:59,940678071.0
 21-2-2023,12:00:00 a 17:59:59,940371984.0
 21-2-2023,18:00:00 a 23:59:59,940180607.0
 22-2-2023,00:00:00 a 05:59:59,-1
 22-2-2023,06:00:00 a 11:59:59,-1
 22-2-2023,12:00:00 a 17:59:59,940469412.5
 22-2-2023,18:00:00 a 23:59:59,940283608.0
 23-2-2023,00:00:00 a 05:59:59,939638396.0
 23-2-2023,06:00:00 a 11:59:59,-1
 23-2-2023,12:00:00 a 17:59:59,940497295.0
 23-2-2023,18:00:00 a 23:59:59,938581926.0
 24-2-2023,00:00:00 a 05:59:59,-1
 24-2-2023,06:00:00 a 11:59:59,941303570.0
 24-2-2023,12:00:00 a 17:59:59,940049418.0
 24-2-2023,18:00:00 a 23:59:59,939081366.5
 25-2-2023,00:00:00 a 05:59:59,-1
 25-2-2023,06:00:00 a 11:59:59,343016795.5
 25-2-2023,12:00:00 a 17:59:59,16619990.0
 25-2-2023,18:00:00 a 23:59:59,856896937.5
 26-2-2023,00:00:00 a 05:59:59,940942355.0
 26-2-2023,06:00:00 a 11:59:59,-1
 26-2-2023,12:00:00 a 17:59:59,906022517.0
 26-2-2023,18:00:00 a 23:59:59,939738979.0
 27-2-2023,00:00:00 a 05:59:59,719770425.5
 27-2-2023,06:00:00 a 11:59:59,936222673.0
 27-2-2023,12:00:00 a 17:59:59,940680774.0
 27-2-2023,18:00:00 a 23:59:59,-1
 28-2-2023,00:00:00 a 05:59:59,941047166.0
 28-2-2023,06:00:00 a 11:59:59,940520290.0
 28-2-2023,12:00:00 a 17:59:59,940837356.0
 28-2-2023,18:00:00 a 23:59:59,768660712.0
 1-3-2023,00:00:00 a 05:59:59,939845435.0
 1-3-2023,06:00:00 a 11:59:59,939343647.5
 1-3-2023,12:00:00 a 17:59:59,940256275.0
 1-3-2023,18:00:00 a 23:59:59,-1
 2-3-2023,00:00:00 a 05:59:59,940888279.0
 2-3-2023,06:00:00 a 11:59:59,940290423.0
 2-3-2023,12:00:00 a 17:59:59,940104009.0
 2-3-2023,18:00:00 a 23:59:59,941048751.5
 3-3-2023,00:00:00 a 05:59:59,941989332.0
 3-3-2023,06:00:00 a 11:59:59,940209760.0
 3-3-2023,12:00:00 a 17:59:59,940441105.0
 3-3-2023,18:00:00 a 23:59:59,940471670.0
 4-3-2023,00:00:00 a 05:59:59,-1
 4-3-2023,06:00:00 a 11:59:59,939894645.5
 4-3-2023,12:00:00 a 17:59:59,940260919.0
 4-3-2023,18:00:00 a 23:59:59,938970405.0
 5-3-2023,00:00:00 a 05:59:59,-1
 5-3-2023,06:00:00 a 11:59:59,938776307.0
 5-3-2023,12:00:00 a 17:59:59,940259579.5
 5-3-2023,18:00:00 a 23:59:59,940535997.0
 6-3-2023,00:00:00 a 05:59:59,939578967.0
 6-3-2023,06:00:00 a 11:59:59,-1
 6-3-2023,12:00:00 a 17:59:59,940627264.0
 6-3-2023,18:00:00 a 23:59:59,939525176.0
 7-3-2023,00:00:00 a 05:59:59,941047966.0
 7-3-2023,06:00:00 a 11:59:59,939971762.0
 7-3-2023,12:00:00 a 17:59:59,941046836.0
 7-3-2023,18:00:00 a 23:59:59,940259321.0
 8-3-2023,00:00:00 a 05:59:59,940837074.0
 8-3-2023,06:00:00 a 11:59:59,929408265.0
 8-3-2023,12:00:00 a 17:59:59,939790750.0
 8-3-2023,18:00:00 a 23:59:59,939421868.0
 9-3-2023,00:00:00 a 05:59:59,941308793.0
 9-3-2023,06:00:00 a 11:59:59,940671087.5
 9-3-2023,12:00:00 a 17:59:59,941317829.0
 9-3-2023,18:00:00 a 23:59:59,940785961.0
 10-3-2023,00:00:00 a 05:59:59,-1
 10-3-2023,06:00:00 a 11:59:59,940260167.5
 10-3-2023,12:00:00 a 17:59:59,940474209.0
 10-3-2023,18:00:00 a 23:59:59,940647980.0
 11-3-2023,00:00:00 a 05:59:59,-1
 11-3-2023,06:00:00 a 11:59:59,939210885.0
 11-3-2023,12:00:00 a 17:59:59,865208391.5
 11-3-2023,18:00:00 a 23:59:59,940759338.0
 12-3-2023,00:00:00 a 05:59:59,940238888.0
 12-3-2023,06:00:00 a 11:59:59,-1
 12-3-2023,12:00:00 a 17:59:59,936849774.5
 12-3-2023,18:00:00 a 23:59:59,919998504.0
 13-3-2023,00:00:00 a 05:59:59,940993749.0
 13-3-2023,06:00:00 a 11:59:59,-1
 13-3-2023,12:00:00 a 17:59:59,935541612.0
 13-3-2023,18:00:00 a 23:59:59,939842052.0
