Data,Intervalo,Vazao
10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,351395294.0
 11-2-2023,00:00:00 a 05:59:59,613630080.0
 11-2-2023,06:00:00 a 11:59:59,658640925.5
 11-2-2023,12:00:00 a 17:59:59,665585712.0
 11-2-2023,18:00:00 a 23:59:59,632608336.0
 12-2-2023,00:00:00 a 05:59:59,651693276.5
 12-2-2023,06:00:00 a 11:59:59,413088973.0
 12-2-2023,12:00:00 a 17:59:59,690357879.5
 12-2-2023,18:00:00 a 23:59:59,669778824.0
 13-2-2023,00:00:00 a 05:59:59,659764547.0
 13-2-2023,06:00:00 a 11:59:59,601070067.5
 13-2-2023,12:00:00 a 17:59:59,549585336.5
 13-2-2023,18:00:00 a 23:59:59,242535944.0
 14-2-2023,00:00:00 a 05:59:59,441137947.0
 14-2-2023,06:00:00 a 11:59:59,-1
 14-2-2023,12:00:00 a 17:59:59,644455679.0
 14-2-2023,18:00:00 a 23:59:59,29700982.0
 15-2-2023,00:00:00 a 05:59:59,602854780.5
 15-2-2023,06:00:00 a 11:59:59,684092540.5
 15-2-2023,12:00:00 a 17:59:59,614019045.5
 15-2-2023,18:00:00 a 23:59:59,698563706.0
 16-2-2023,00:00:00 a 05:59:59,552678672.5
 16-2-2023,06:00:00 a 11:59:59,655572861.0
 16-2-2023,12:00:00 a 17:59:59,440927532.5
 16-2-2023,18:00:00 a 23:59:59,525601952.5
 17-2-2023,00:00:00 a 05:59:59,527172875.0
 17-2-2023,06:00:00 a 11:59:59,677644621.0
 17-2-2023,12:00:00 a 17:59:59,621757211.0
 17-2-2023,18:00:00 a 23:59:59,688915637.0
 18-2-2023,00:00:00 a 05:59:59,651533055.0
 18-2-2023,06:00:00 a 11:59:59,602355090.5
 18-2-2023,12:00:00 a 17:59:59,540626791.0
 18-2-2023,18:00:00 a 23:59:59,592868200.0
 19-2-2023,00:00:00 a 05:59:59,669047295.0
