Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,673265694.0
 10-1-2023,00:00:00 a 05:59:59,633602744.0
 10-1-2023,06:00:00 a 11:59:59,785961437.0
 10-1-2023,12:00:00 a 17:59:59,795976270.0
 10-1-2023,18:00:00 a 23:59:59,701157794.0
 11-1-2023,00:00:00 a 05:59:59,792931981.0
 11-1-2023,06:00:00 a 11:59:59,778932266.0
 11-1-2023,12:00:00 a 17:59:59,800956820.0
 11-1-2023,18:00:00 a 23:59:59,515165131.0
 12-1-2023,00:00:00 a 05:59:59,610404126.0
 12-1-2023,06:00:00 a 11:59:59,270480747.0
 12-1-2023,12:00:00 a 17:59:59,93217283.0
 12-1-2023,18:00:00 a 23:59:59,662705509.0
 13-1-2023,00:00:00 a 05:59:59,601465118.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,800221115.0
 13-1-2023,18:00:00 a 23:59:59,792673999.0
 14-1-2023,00:00:00 a 05:59:59,361026503.0
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,642760702.67
 14-1-2023,18:00:00 a 23:59:59,730963462.0
 15-1-2023,00:00:00 a 05:59:59,672714000.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,777363177.0
 15-1-2023,18:00:00 a 23:59:59,796944279.0
 16-1-2023,00:00:00 a 05:59:59,739823795.0
 16-1-2023,06:00:00 a 11:59:59,775106657.5
 16-1-2023,12:00:00 a 17:59:59,794219067.0
 16-1-2023,18:00:00 a 23:59:59,687341258.0
 17-1-2023,00:00:00 a 05:59:59,710876697.5
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,-1
 17-1-2023,18:00:00 a 23:59:59,409469324.5
 18-1-2023,00:00:00 a 05:59:59,795875192.0
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,-1
 18-1-2023,18:00:00 a 23:59:59,761423614.0
 19-1-2023,00:00:00 a 05:59:59,707278460.5
 19-1-2023,06:00:00 a 11:59:59,-1
 19-1-2023,12:00:00 a 17:59:59,821720808.0
 19-1-2023,18:00:00 a 23:59:59,728455889.0
 20-1-2023,00:00:00 a 05:59:59,756916893.0
 20-1-2023,06:00:00 a 11:59:59,-1
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,719953505.0
 21-1-2023,00:00:00 a 05:59:59,786537515.5
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,775789069.0
 21-1-2023,18:00:00 a 23:59:59,699508188.5
 22-1-2023,00:00:00 a 05:59:59,840749876.0
 22-1-2023,06:00:00 a 11:59:59,-1
 22-1-2023,12:00:00 a 17:59:59,-1
 22-1-2023,18:00:00 a 23:59:59,724673504.0
 23-1-2023,00:00:00 a 05:59:59,675862262.0
 23-1-2023,06:00:00 a 11:59:59,453174720.0
 23-1-2023,12:00:00 a 17:59:59,811389893.0
 23-1-2023,18:00:00 a 23:59:59,658873717.0
 24-1-2023,00:00:00 a 05:59:59,654311400.0
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,682464126.5
 24-1-2023,18:00:00 a 23:59:59,662176439.0
