Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,891813575.0
 9-1-2023,18:00:00 a 23:59:59,938477138.5
 10-1-2023,00:00:00 a 05:59:59,937378124.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,938536254.0
 12-1-2023,00:00:00 a 05:59:59,933104435.5
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,935508713.0
 12-1-2023,18:00:00 a 23:59:59,937429850.0
 13-1-2023,00:00:00 a 05:59:59,936815784.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,938383142.0
 14-1-2023,18:00:00 a 23:59:59,938530130.5
 15-1-2023,00:00:00 a 05:59:59,939315601.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,938685939.0
 15-1-2023,18:00:00 a 23:59:59,936168699.0
 16-1-2023,00:00:00 a 05:59:59,937794461.0
 16-1-2023,06:00:00 a 11:59:59,-1
 16-1-2023,12:00:00 a 17:59:59,926470714.0
 16-1-2023,18:00:00 a 23:59:59,938791594.0
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,935593760.0
 17-1-2023,18:00:00 a 23:59:59,933913607.0
 18-1-2023,00:00:00 a 05:59:59,937205578.5
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,932657928.0
 18-1-2023,18:00:00 a 23:59:59,937099575.0
 19-1-2023,00:00:00 a 05:59:59,937480497.0
 19-1-2023,06:00:00 a 11:59:59,-1
 19-1-2023,12:00:00 a 17:59:59,939108703.0
 19-1-2023,18:00:00 a 23:59:59,937325601.0
 20-1-2023,00:00:00 a 05:59:59,934648920.0
 20-1-2023,06:00:00 a 11:59:59,-1
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,936694673.0
 21-1-2023,00:00:00 a 05:59:59,938688215.5
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,934964566.0
 21-1-2023,18:00:00 a 23:59:59,936861045.0
 22-1-2023,00:00:00 a 05:59:59,933443055.0
 22-1-2023,06:00:00 a 11:59:59,-1
 22-1-2023,12:00:00 a 17:59:59,932080651.0
 22-1-2023,18:00:00 a 23:59:59,936696453.0
 23-1-2023,00:00:00 a 05:59:59,937218799.0
 23-1-2023,06:00:00 a 11:59:59,801061197.0
 23-1-2023,12:00:00 a 17:59:59,928252321.0
 23-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,933978464.0
 24-1-2023,06:00:00 a 11:59:59,-1
 24-1-2023,12:00:00 a 17:59:59,937165409.0
 24-1-2023,18:00:00 a 23:59:59,938159915.0
 25-1-2023,00:00:00 a 05:59:59,936223258.0
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,937274531.0
 25-1-2023,18:00:00 a 23:59:59,938055901.0
 26-1-2023,00:00:00 a 05:59:59,936169355.5
