Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,768345178.0
 10-1-2023,00:00:00 a 05:59:59,727450650.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,755605074.0
 10-1-2023,18:00:00 a 23:59:59,814010297.0
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,-1
 11-1-2023,18:00:00 a 23:59:59,780876889.0
 12-1-2023,00:00:00 a 05:59:59,-1
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,774059499.0
 12-1-2023,18:00:00 a 23:59:59,272053301.0
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,813431937.0
 13-1-2023,18:00:00 a 23:59:59,783654021.0
 15-1-2023,00:00:00 a 05:59:59,-1
 15-1-2023,06:00:00 a 11:59:59,720215181.5
 15-1-2023,12:00:00 a 17:59:59,784125564.0
 15-1-2023,18:00:00 a 23:59:59,801112612.5
 16-1-2023,00:00:00 a 05:59:59,-1
 16-1-2023,06:00:00 a 11:59:59,657196125.0
 16-1-2023,12:00:00 a 17:59:59,785908340.0
 16-1-2023,18:00:00 a 23:59:59,740163377.5
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,756286120.0
 17-1-2023,18:00:00 a 23:59:59,802790748.0
 18-1-2023,00:00:00 a 05:59:59,747320003.0
 18-1-2023,06:00:00 a 11:59:59,799907521.0
 18-1-2023,12:00:00 a 17:59:59,739219288.5
 18-1-2023,18:00:00 a 23:59:59,820616152.0
 19-1-2023,00:00:00 a 05:59:59,752721410.0
 19-1-2023,06:00:00 a 11:59:59,722596441.33
 19-1-2023,12:00:00 a 17:59:59,805884374.0
 19-1-2023,18:00:00 a 23:59:59,663959949.0
 20-1-2023,00:00:00 a 05:59:59,767819609.5
 20-1-2023,06:00:00 a 11:59:59,729442514.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,593861742.0
 23-1-2023,18:00:00 a 23:59:59,822975490.0
 24-1-2023,00:00:00 a 05:59:59,642739685.0
 24-1-2023,06:00:00 a 11:59:59,644297394.0
 24-1-2023,12:00:00 a 17:59:59,630194428.0
 24-1-2023,18:00:00 a 23:59:59,567909187.0
 25-1-2023,00:00:00 a 05:59:59,786665631.5
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,-1
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,-1
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,657143158.0
 27-1-2023,00:00:00 a 05:59:59,-1
 27-1-2023,06:00:00 a 11:59:59,752565694.5
 27-1-2023,12:00:00 a 17:59:59,647915920.0
 27-1-2023,18:00:00 a 23:59:59,743861053.5
 28-1-2023,00:00:00 a 05:59:59,-1
 28-1-2023,06:00:00 a 11:59:59,697670774.0
