Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,939785723.0
 9-1-2023,06:00:00 a 11:59:59,944350027.5
 9-1-2023,12:00:00 a 17:59:59,878445817.0
 9-1-2023,18:00:00 a 23:59:59,939419426.0
 10-1-2023,00:00:00 a 05:59:59,938581034.0
 10-1-2023,06:00:00 a 11:59:59,938479156.0
 10-1-2023,12:00:00 a 17:59:59,948389637.0
 10-1-2023,18:00:00 a 23:59:59,940846599.0
 11-1-2023,00:00:00 a 05:59:59,936731359.0
 11-1-2023,06:00:00 a 11:59:59,940264069.0
 11-1-2023,12:00:00 a 17:59:59,728236685.0
 11-1-2023,18:00:00 a 23:59:59,940837826.0
 12-1-2023,00:00:00 a 05:59:59,930666141.0
 12-1-2023,06:00:00 a 11:59:59,932246224.0
 12-1-2023,12:00:00 a 17:59:59,906649561.0
 12-1-2023,18:00:00 a 23:59:59,942671945.0
 13-1-2023,00:00:00 a 05:59:59,936362017.33
 13-1-2023,06:00:00 a 11:59:59,929403525.0
 13-1-2023,12:00:00 a 17:59:59,939522592.0
 13-1-2023,18:00:00 a 23:59:59,939561822.0
 14-1-2023,00:00:00 a 05:59:59,937160114.0
 14-1-2023,06:00:00 a 11:59:59,936327999.0
 14-1-2023,12:00:00 a 17:59:59,939016877.0
 14-1-2023,18:00:00 a 23:59:59,940369768.0
 15-1-2023,00:00:00 a 05:59:59,942985245.0
 15-1-2023,06:00:00 a 11:59:59,938722064.33
 15-1-2023,12:00:00 a 17:59:59,941310864.0
 15-1-2023,18:00:00 a 23:59:59,934964960.5
 16-1-2023,00:00:00 a 05:59:59,938710770.5
 16-1-2023,06:00:00 a 11:59:59,939412696.0
 16-1-2023,12:00:00 a 17:59:59,919966175.0
 16-1-2023,18:00:00 a 23:59:59,933916315.0
 17-1-2023,00:00:00 a 05:59:59,940836180.0
 17-1-2023,06:00:00 a 11:59:59,602214528.5
 17-1-2023,12:00:00 a 17:59:59,647837445.5
 17-1-2023,18:00:00 a 23:59:59,939733741.5
 18-1-2023,00:00:00 a 05:59:59,933251524.0
 18-1-2023,06:00:00 a 11:59:59,935332130.0
 18-1-2023,12:00:00 a 17:59:59,822924231.5
 18-1-2023,18:00:00 a 23:59:59,942201072.0
 19-1-2023,00:00:00 a 05:59:59,940626840.0
 19-1-2023,06:00:00 a 11:59:59,946289634.0
 19-1-2023,12:00:00 a 17:59:59,929510922.5
 19-1-2023,18:00:00 a 23:59:59,934384578.5
 20-1-2023,00:00:00 a 05:59:59,940389335.5
 20-1-2023,06:00:00 a 11:59:59,940889126.0
 20-1-2023,12:00:00 a 17:59:59,940467673.0
 20-1-2023,18:00:00 a 23:59:59,943093262.0
 21-1-2023,00:00:00 a 05:59:59,940365730.0
 21-1-2023,06:00:00 a 11:59:59,-1
 21-1-2023,12:00:00 a 17:59:59,940038190.0
 21-1-2023,18:00:00 a 23:59:59,940810229.0
 22-1-2023,00:00:00 a 05:59:59,943560308.5
 22-1-2023,06:00:00 a 11:59:59,938003426.0
 22-1-2023,12:00:00 a 17:59:59,935722958.5
 22-1-2023,18:00:00 a 23:59:59,941021704.0
 23-1-2023,00:00:00 a 05:59:59,940365025.0
 23-1-2023,06:00:00 a 11:59:59,939490272.33
 23-1-2023,12:00:00 a 17:59:59,-1
 23-1-2023,18:00:00 a 23:59:59,943116979.5
 24-1-2023,00:00:00 a 05:59:59,939992242.0
 24-1-2023,06:00:00 a 11:59:59,937617289.5
 24-1-2023,12:00:00 a 17:59:59,900991991.0
 24-1-2023,18:00:00 a 23:59:59,914604947.0
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,940846199.0
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,920284843.0
 26-1-2023,00:00:00 a 05:59:59,936617432.5
 26-1-2023,06:00:00 a 11:59:59,-1
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,941725001.0
 27-1-2023,00:00:00 a 05:59:59,939112178.0
 27-1-2023,06:00:00 a 11:59:59,941150170.33
 27-1-2023,12:00:00 a 17:59:59,939895045.0
 27-1-2023,18:00:00 a 23:59:59,941101336.0
 28-1-2023,00:00:00 a 05:59:59,939270170.0
 28-1-2023,06:00:00 a 11:59:59,932476064.0
 28-1-2023,12:00:00 a 17:59:59,937588186.5
 28-1-2023,18:00:00 a 23:59:59,941130964.5
 29-1-2023,00:00:00 a 05:59:59,948177455.0
 29-1-2023,06:00:00 a 11:59:59,939050752.0
 29-1-2023,12:00:00 a 17:59:59,941567548.0
 29-1-2023,18:00:00 a 23:59:59,940129470.5
 30-1-2023,00:00:00 a 05:59:59,937271413.5
 30-1-2023,06:00:00 a 11:59:59,937372078.0
 30-1-2023,12:00:00 a 17:59:59,944114699.0
 30-1-2023,18:00:00 a 23:59:59,939768651.33
 31-1-2023,00:00:00 a 05:59:59,-1
 31-1-2023,06:00:00 a 11:59:59,939703575.0
 31-1-2023,12:00:00 a 17:59:59,939474156.0
 31-1-2023,18:00:00 a 23:59:59,938479509.0
