Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,938053749.0
 9-1-2023,06:00:00 a 11:59:59,905656585.0
 9-1-2023,12:00:00 a 17:59:59,914044750.0
 9-1-2023,18:00:00 a 23:59:59,930036296.0
 10-1-2023,00:00:00 a 05:59:59,937823981.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,904609978.5
 10-1-2023,18:00:00 a 23:59:59,933862906.0
 11-1-2023,00:00:00 a 05:59:59,769498151.0
 11-1-2023,06:00:00 a 11:59:59,793196157.0
 11-1-2023,12:00:00 a 17:59:59,913180342.5
 11-1-2023,18:00:00 a 23:59:59,910373637.0
 12-1-2023,00:00:00 a 05:59:59,927338213.0
 12-1-2023,06:00:00 a 11:59:59,909875898.0
 12-1-2023,12:00:00 a 17:59:59,692374826.5
 12-1-2023,18:00:00 a 23:59:59,-1
 13-1-2023,00:00:00 a 05:59:59,930979504.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,931503747.0
 13-1-2023,18:00:00 a 23:59:59,893615848.67
 14-1-2023,00:00:00 a 05:59:59,926893343.0
 14-1-2023,06:00:00 a 11:59:59,927519802.0
 14-1-2023,12:00:00 a 17:59:59,937428771.0
 14-1-2023,18:00:00 a 23:59:59,872940977.5
 15-1-2023,00:00:00 a 05:59:59,937086156.0
 15-1-2023,06:00:00 a 11:59:59,936852475.0
 15-1-2023,12:00:00 a 17:59:59,913673865.0
 15-1-2023,18:00:00 a 23:59:59,907805284.33
 16-1-2023,00:00:00 a 05:59:59,812754346.0
 16-1-2023,06:00:00 a 11:59:59,920826850.0
 16-1-2023,12:00:00 a 17:59:59,895748063.0
 16-1-2023,18:00:00 a 23:59:59,898865395.5
 17-1-2023,00:00:00 a 05:59:59,937703258.0
 17-1-2023,06:00:00 a 11:59:59,933718940.5
 17-1-2023,12:00:00 a 17:59:59,932025612.0
 17-1-2023,18:00:00 a 23:59:59,931766102.0
 18-1-2023,00:00:00 a 05:59:59,924064207.0
 18-1-2023,06:00:00 a 11:59:59,-1
 18-1-2023,12:00:00 a 17:59:59,929878910.5
 18-1-2023,18:00:00 a 23:59:59,925008903.0
 19-1-2023,00:00:00 a 05:59:59,835768420.0
 19-1-2023,06:00:00 a 11:59:59,932447079.0
 19-1-2023,12:00:00 a 17:59:59,927838458.0
 19-1-2023,18:00:00 a 23:59:59,938372116.0
 20-1-2023,00:00:00 a 05:59:59,932852730.0
 20-1-2023,06:00:00 a 11:59:59,934757188.0
 20-1-2023,12:00:00 a 17:59:59,919707481.5
 20-1-2023,18:00:00 a 23:59:59,810184798.0
 21-1-2023,00:00:00 a 05:59:59,940048054.0
 21-1-2023,06:00:00 a 11:59:59,928309614.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,-1
 22-1-2023,00:00:00 a 05:59:59,883110958.5
 22-1-2023,06:00:00 a 11:59:59,938840972.0
 22-1-2023,12:00:00 a 17:59:59,938372023.0
 22-1-2023,18:00:00 a 23:59:59,939634262.0
 23-1-2023,00:00:00 a 05:59:59,939393940.5
 23-1-2023,06:00:00 a 11:59:59,716965560.0
 23-1-2023,12:00:00 a 17:59:59,933258389.5
 23-1-2023,18:00:00 a 23:59:59,933231286.0
 24-1-2023,00:00:00 a 05:59:59,934702235.0
 24-1-2023,06:00:00 a 11:59:59,886100433.0
 24-1-2023,12:00:00 a 17:59:59,838704100.0
 24-1-2023,18:00:00 a 23:59:59,932893697.5
 25-1-2023,00:00:00 a 05:59:59,938215580.0
 25-1-2023,06:00:00 a 11:59:59,934437567.0
 25-1-2023,12:00:00 a 17:59:59,922537718.0
 25-1-2023,18:00:00 a 23:59:59,-1
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,-1
 26-1-2023,12:00:00 a 17:59:59,928937844.0
 26-1-2023,18:00:00 a 23:59:59,900210732.0
 27-1-2023,00:00:00 a 05:59:59,917767875.5
 27-1-2023,06:00:00 a 11:59:59,911110693.0
 27-1-2023,12:00:00 a 17:59:59,925399507.0
 27-1-2023,18:00:00 a 23:59:59,937951982.0
 28-1-2023,00:00:00 a 05:59:59,919973581.0
 28-1-2023,06:00:00 a 11:59:59,896710331.0
 28-1-2023,12:00:00 a 17:59:59,938583005.0
 28-1-2023,18:00:00 a 23:59:59,937691760.0
 29-1-2023,00:00:00 a 05:59:59,931346460.0
 29-1-2023,06:00:00 a 11:59:59,933915054.0
 29-1-2023,12:00:00 a 17:59:59,939893541.0
 29-1-2023,18:00:00 a 23:59:59,924272306.0
 30-1-2023,00:00:00 a 05:59:59,-1
 30-1-2023,06:00:00 a 11:59:59,937741423.0
 30-1-2023,12:00:00 a 17:59:59,-1
 30-1-2023,18:00:00 a 23:59:59,916716284.0
 31-1-2023,00:00:00 a 05:59:59,936459656.5
 31-1-2023,06:00:00 a 11:59:59,936327765.0
 31-1-2023,12:00:00 a 17:59:59,-1
 31-1-2023,18:00:00 a 23:59:59,926131673.5
 1-2-2023,00:00:00 a 05:59:59,816057399.0
 1-2-2023,06:00:00 a 11:59:59,919261913.5
 1-2-2023,12:00:00 a 17:59:59,925575721.0
 1-2-2023,18:00:00 a 23:59:59,927756255.0
 2-2-2023,00:00:00 a 05:59:59,906968849.0
 2-2-2023,06:00:00 a 11:59:59,-1
 2-2-2023,12:00:00 a 17:59:59,916038650.0
 2-2-2023,18:00:00 a 23:59:59,889716647.0
 3-2-2023,00:00:00 a 05:59:59,936958411.0
 3-2-2023,06:00:00 a 11:59:59,897161894.0
 3-2-2023,12:00:00 a 17:59:59,-1
 3-2-2023,18:00:00 a 23:59:59,925083942.0
 4-2-2023,00:00:00 a 05:59:59,933967203.0
 4-2-2023,06:00:00 a 11:59:59,936267237.0
 4-2-2023,12:00:00 a 17:59:59,-1
 4-2-2023,18:00:00 a 23:59:59,937276874.0
 5-2-2023,00:00:00 a 05:59:59,927362469.0
 5-2-2023,06:00:00 a 11:59:59,863191159.5
 5-2-2023,12:00:00 a 17:59:59,938370474.0
 5-2-2023,18:00:00 a 23:59:59,921198747.0
 6-2-2023,00:00:00 a 05:59:59,934544014.0
 6-2-2023,06:00:00 a 11:59:59,936958176.0
 6-2-2023,12:00:00 a 17:59:59,936174035.0
 6-2-2023,18:00:00 a 23:59:59,897428026.0
 7-2-2023,00:00:00 a 05:59:59,924792065.0
 7-2-2023,06:00:00 a 11:59:59,925606192.5
 7-2-2023,12:00:00 a 17:59:59,936746072.0
 7-2-2023,18:00:00 a 23:59:59,5190454.0
 8-2-2023,00:00:00 a 05:59:59,915488163.5
 8-2-2023,06:00:00 a 11:59:59,937847968.0
 8-2-2023,12:00:00 a 17:59:59,361236996.0
 8-2-2023,18:00:00 a 23:59:59,874255485.0
 9-2-2023,00:00:00 a 05:59:59,935225168.0
 9-2-2023,06:00:00 a 11:59:59,934109247.67
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,877345513.0
 10-2-2023,00:00:00 a 05:59:59,918424278.0
 10-2-2023,06:00:00 a 11:59:59,926641391.0
 10-2-2023,12:00:00 a 17:59:59,908986628.5
 10-2-2023,18:00:00 a 23:59:59,905561417.0
 11-2-2023,00:00:00 a 05:59:59,931005722.0
 11-2-2023,06:00:00 a 11:59:59,886625165.0
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,-1
 12-2-2023,00:00:00 a 05:59:59,938162917.0
 12-2-2023,06:00:00 a 11:59:59,933363256.5
 12-2-2023,12:00:00 a 17:59:59,938112317.0
 12-2-2023,18:00:00 a 23:59:59,-1
 13-2-2023,00:00:00 a 05:59:59,930849278.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,927521761.0
 13-2-2023,18:00:00 a 23:59:59,923532809.5
 14-2-2023,00:00:00 a 05:59:59,923591328.0
