Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,936300399.0
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,935280636.0
 10-1-2023,00:00:00 a 05:59:59,936643393.0
 10-1-2023,06:00:00 a 11:59:59,937899787.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,935226243.0
 11-1-2023,00:00:00 a 05:59:59,932970589.0
 11-1-2023,06:00:00 a 11:59:59,939944609.0
 11-1-2023,12:00:00 a 17:59:59,903662570.0
 11-1-2023,18:00:00 a 23:59:59,932448585.0
 12-1-2023,00:00:00 a 05:59:59,907700859.5
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,-1
 12-1-2023,18:00:00 a 23:59:59,936143725.0
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,-1
 13-1-2023,18:00:00 a 23:59:59,936118517.0
 14-1-2023,00:00:00 a 05:59:59,931399867.0
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,931764773.0
 14-1-2023,18:00:00 a 23:59:59,938212437.0
 15-1-2023,00:00:00 a 05:59:59,939309866.0
 15-1-2023,06:00:00 a 11:59:59,937430506.0
 15-1-2023,12:00:00 a 17:59:59,-1
 15-1-2023,18:00:00 a 23:59:59,935304488.0
 16-1-2023,00:00:00 a 05:59:59,937169367.0
 16-1-2023,06:00:00 a 11:59:59,-1
 16-1-2023,12:00:00 a 17:59:59,938370803.0
 16-1-2023,18:00:00 a 23:59:59,938451509.5
 18-1-2023,00:00:00 a 05:59:59,938975474.0
 18-1-2023,06:00:00 a 11:59:59,925107471.0
 18-1-2023,12:00:00 a 17:59:59,937718280.0
 18-1-2023,18:00:00 a 23:59:59,937036797.0
 19-1-2023,00:00:00 a 05:59:59,937319602.0
 19-1-2023,06:00:00 a 11:59:59,936775542.0
 19-1-2023,12:00:00 a 17:59:59,923326027.0
 19-1-2023,18:00:00 a 23:59:59,936641963.0
 20-1-2023,00:00:00 a 05:59:59,938264982.5
 20-1-2023,06:00:00 a 11:59:59,910167108.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,-1
 23-1-2023,18:00:00 a 23:59:59,935540302.0
 24-1-2023,00:00:00 a 05:59:59,935913060.0
