Data,Intervalo,Vazao
10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,921559826.5
 11-2-2023,00:00:00 a 05:59:59,880807187.0
 11-2-2023,06:00:00 a 11:59:59,726244977.5
 11-2-2023,12:00:00 a 17:59:59,912441444.5
 11-2-2023,18:00:00 a 23:59:59,613106678.0
 12-2-2023,00:00:00 a 05:59:59,919340590.5
 12-2-2023,06:00:00 a 11:59:59,937692416.0
 12-2-2023,12:00:00 a 17:59:59,923849547.0
 12-2-2023,18:00:00 a 23:59:59,901907851.5
 13-2-2023,00:00:00 a 05:59:59,912173154.5
 13-2-2023,06:00:00 a 11:59:59,923782149.0
 13-2-2023,12:00:00 a 17:59:59,937286096.0
 13-2-2023,18:00:00 a 23:59:59,938215627.0
 14-2-2023,00:00:00 a 05:59:59,936696406.0
 14-2-2023,06:00:00 a 11:59:59,916142454.0
 14-2-2023,12:00:00 a 17:59:59,925442033.0
 14-2-2023,18:00:00 a 23:59:59,903455385.0
 15-2-2023,00:00:00 a 05:59:59,825443360.0
 15-2-2023,06:00:00 a 11:59:59,930981720.5
 15-2-2023,12:00:00 a 17:59:59,-1
 15-2-2023,18:00:00 a 23:59:59,936642666.0
 16-2-2023,00:00:00 a 05:59:59,926842258.0
 16-2-2023,06:00:00 a 11:59:59,934651909.5
 16-2-2023,12:00:00 a 17:59:59,814221449.5
 16-2-2023,18:00:00 a 23:59:59,842110964.0
 17-2-2023,00:00:00 a 05:59:59,823056600.5
 17-2-2023,06:00:00 a 11:59:59,935069424.0
 17-2-2023,12:00:00 a 17:59:59,885158130.0
 17-2-2023,18:00:00 a 23:59:59,914675131.0
 18-2-2023,00:00:00 a 05:59:59,909800924.0
 18-2-2023,06:00:00 a 11:59:59,-1
 18-2-2023,12:00:00 a 17:59:59,929853579.0
 18-2-2023,18:00:00 a 23:59:59,929407893.0
 19-2-2023,00:00:00 a 05:59:59,915093007.0
