Data,Intervalo,Vazao
9-1-2023,00:00:00 a 05:59:59,882325686.0
 9-1-2023,06:00:00 a 11:59:59,784021608.0
 9-1-2023,12:00:00 a 17:59:59,388734161.0
 9-1-2023,18:00:00 a 23:59:59,715444939.5
 10-1-2023,00:00:00 a 05:59:59,249037136.0
 10-1-2023,06:00:00 a 11:59:59,599681559.5
 10-1-2023,12:00:00 a 17:59:59,225026671.0
 10-1-2023,18:00:00 a 23:59:59,925003029.0
 11-1-2023,00:00:00 a 05:59:59,921360584.0
 11-1-2023,06:00:00 a 11:59:59,235720403.0
 11-1-2023,12:00:00 a 17:59:59,106876945.0
 11-1-2023,18:00:00 a 23:59:59,887844042.0
 12-1-2023,00:00:00 a 05:59:59,-1
 12-1-2023,06:00:00 a 11:59:59,658227834.67
 12-1-2023,12:00:00 a 17:59:59,736363674.0
 12-1-2023,18:00:00 a 23:59:59,-1
 13-1-2023,00:00:00 a 05:59:59,932866104.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,932606758.0
 13-1-2023,18:00:00 a 23:59:59,788425713.0
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,373683645.5
 14-1-2023,12:00:00 a 17:59:59,705219874.0
 14-1-2023,18:00:00 a 23:59:59,903902473.0
 15-1-2023,00:00:00 a 05:59:59,863027499.0
 15-1-2023,06:00:00 a 11:59:59,937167071.5
 15-1-2023,12:00:00 a 17:59:59,670303112.0
 15-1-2023,18:00:00 a 23:59:59,743867759.0
 16-1-2023,00:00:00 a 05:59:59,716283304.0
 16-1-2023,06:00:00 a 11:59:59,881641202.0
 16-1-2023,12:00:00 a 17:59:59,732039533.0
 16-1-2023,18:00:00 a 23:59:59,930246524.0
 17-1-2023,00:00:00 a 05:59:59,718984997.0
 17-1-2023,06:00:00 a 11:59:59,786171202.5
 17-1-2023,12:00:00 a 17:59:59,618872154.0
 17-1-2023,18:00:00 a 23:59:59,851969874.0
 18-1-2023,00:00:00 a 05:59:59,549167979.0
 18-1-2023,06:00:00 a 11:59:59,895878148.5
 18-1-2023,12:00:00 a 17:59:59,867699156.0
 18-1-2023,18:00:00 a 23:59:59,730856631.0
 19-1-2023,00:00:00 a 05:59:59,862927258.0
 19-1-2023,06:00:00 a 11:59:59,141190970.0
 19-1-2023,12:00:00 a 17:59:59,596116429.5
 19-1-2023,18:00:00 a 23:59:59,-1
 20-1-2023,00:00:00 a 05:59:59,816107557.0
 20-1-2023,06:00:00 a 11:59:59,784126230.0
 20-1-2023,12:00:00 a 17:59:59,552576138.5
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,922855752.0
 21-1-2023,06:00:00 a 11:59:59,922643243.5
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,734111434.0
 22-1-2023,00:00:00 a 05:59:59,862009626.0
 22-1-2023,06:00:00 a 11:59:59,692792812.0
 22-1-2023,12:00:00 a 17:59:59,554751740.0
 22-1-2023,18:00:00 a 23:59:59,702161145.0
 23-1-2023,00:00:00 a 05:59:59,889246566.0
 23-1-2023,06:00:00 a 11:59:59,407320345.0
 23-1-2023,12:00:00 a 17:59:59,536754831.5
 23-1-2023,18:00:00 a 23:59:59,-1
 24-1-2023,00:00:00 a 05:59:59,786068403.0
 24-1-2023,06:00:00 a 11:59:59,289408741.0
 24-1-2023,12:00:00 a 17:59:59,883348231.5
 24-1-2023,18:00:00 a 23:59:59,488531680.0
 25-1-2023,00:00:00 a 05:59:59,934649875.0
 25-1-2023,06:00:00 a 11:59:59,194091563.0
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,697833154.0
 26-1-2023,00:00:00 a 05:59:59,743599306.0
 26-1-2023,06:00:00 a 11:59:59,937062050.0
 26-1-2023,12:00:00 a 17:59:59,502113077.0
 26-1-2023,18:00:00 a 23:59:59,678378006.0
 27-1-2023,00:00:00 a 05:59:59,792304815.0
 27-1-2023,06:00:00 a 11:59:59,523450042.0
 27-1-2023,12:00:00 a 17:59:59,588881989.0
 27-1-2023,18:00:00 a 23:59:59,-1
 28-1-2023,00:00:00 a 05:59:59,751966210.0
 28-1-2023,06:00:00 a 11:59:59,838653516.0
 28-1-2023,12:00:00 a 17:59:59,914384990.5
 28-1-2023,18:00:00 a 23:59:59,442971927.0
 29-1-2023,00:00:00 a 05:59:59,906391133.0
 29-1-2023,06:00:00 a 11:59:59,766196858.0
 29-1-2023,12:00:00 a 17:59:59,576743310.0
 29-1-2023,18:00:00 a 23:59:59,725092757.0
 30-1-2023,00:00:00 a 05:59:59,-1
 30-1-2023,06:00:00 a 11:59:59,607993998.0
 30-1-2023,12:00:00 a 17:59:59,853299216.0
 30-1-2023,18:00:00 a 23:59:59,148950533.0
 31-1-2023,00:00:00 a 05:59:59,755239146.0
 31-1-2023,06:00:00 a 11:59:59,694504987.0
 31-1-2023,12:00:00 a 17:59:59,888721966.0
