Data,Intervalo,Vazao
23-1-2023,00:00:00 a 05:59:59,-1
 23-1-2023,06:00:00 a 11:59:59,-1
 23-1-2023,12:00:00 a 17:59:59,-1
 23-1-2023,18:00:00 a 23:59:59,525547000.0
 24-1-2023,00:00:00 a 05:59:59,441975734.0
 24-1-2023,06:00:00 a 11:59:59,30146627.0
 24-1-2023,12:00:00 a 17:59:59,27367888.0
 24-1-2023,18:00:00 a 23:59:59,-1
 25-1-2023,00:00:00 a 05:59:59,-1
 25-1-2023,06:00:00 a 11:59:59,-1
 25-1-2023,12:00:00 a 17:59:59,-1
 25-1-2023,18:00:00 a 23:59:59,428658854.0
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,786434.0
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,324141645.0
 27-1-2023,00:00:00 a 05:59:59,567909925.0
 27-1-2023,06:00:00 a 11:59:59,100506245.0
 27-1-2023,12:00:00 a 17:59:59,46950212.5
 27-1-2023,18:00:00 a 23:59:59,386507741.0
 28-1-2023,00:00:00 a 05:59:59,536294382.0
 28-1-2023,06:00:00 a 11:59:59,605029894.5
 28-1-2023,12:00:00 a 17:59:59,425069237.5
 28-1-2023,18:00:00 a 23:59:59,94424495.0
 29-1-2023,00:00:00 a 05:59:59,-1
 29-1-2023,06:00:00 a 11:59:59,372297147.67
 29-1-2023,12:00:00 a 17:59:59,289720158.0
 29-1-2023,18:00:00 a 23:59:59,484282718.0
 30-1-2023,00:00:00 a 05:59:59,471335762.0
 30-1-2023,06:00:00 a 11:59:59,17589910.0
 30-1-2023,12:00:00 a 17:59:59,32453471.0
 30-1-2023,18:00:00 a 23:59:59,419589427.0
 31-1-2023,00:00:00 a 05:59:59,513414557.5
 31-1-2023,06:00:00 a 11:59:59,469344002.0
 31-1-2023,12:00:00 a 17:59:59,4089455.0
 31-1-2023,18:00:00 a 23:59:59,354838450.5
 1-2-2023,00:00:00 a 05:59:59,459225902.0
 1-2-2023,06:00:00 a 11:59:59,18507385.0
 1-2-2023,12:00:00 a 17:59:59,-1
 1-2-2023,18:00:00 a 23:59:59,-1
 2-2-2023,00:00:00 a 05:59:59,460273056.0
 2-2-2023,06:00:00 a 11:59:59,596222698.0
 2-2-2023,12:00:00 a 17:59:59,-1
 2-2-2023,18:00:00 a 23:59:59,192466095.5
 3-2-2023,00:00:00 a 05:59:59,324796562.0
 3-2-2023,06:00:00 a 11:59:59,541799652.0
 3-2-2023,12:00:00 a 17:59:59,40789679.0
 3-2-2023,18:00:00 a 23:59:59,210004244.0
 4-2-2023,00:00:00 a 05:59:59,417071958.0
 4-2-2023,06:00:00 a 11:59:59,289617241.0
 4-2-2023,12:00:00 a 17:59:59,222953661.0
 4-2-2023,18:00:00 a 23:59:59,-1
 5-2-2023,00:00:00 a 05:59:59,398511627.0
 5-2-2023,06:00:00 a 11:59:59,579757322.0
 5-2-2023,12:00:00 a 17:59:59,516530244.5
 5-2-2023,18:00:00 a 23:59:59,407949165.0
 6-2-2023,00:00:00 a 05:59:59,328939333.5
 6-2-2023,06:00:00 a 11:59:59,535718469.0
 6-2-2023,12:00:00 a 17:59:59,3198163.5
 6-2-2023,18:00:00 a 23:59:59,308755117.0
 7-2-2023,00:00:00 a 05:59:59,408840096.0
 7-2-2023,06:00:00 a 11:59:59,24589136.0
 7-2-2023,12:00:00 a 17:59:59,8708323.5
 7-2-2023,18:00:00 a 23:59:59,-1
 8-2-2023,00:00:00 a 05:59:59,-1
 8-2-2023,06:00:00 a 11:59:59,-1
 8-2-2023,12:00:00 a 17:59:59,88038.0
 8-2-2023,18:00:00 a 23:59:59,104333369.0
 9-2-2023,00:00:00 a 05:59:59,173382501.0
 9-2-2023,06:00:00 a 11:59:59,-1
 9-2-2023,12:00:00 a 17:59:59,-1
 9-2-2023,18:00:00 a 23:59:59,-1
 10-2-2023,00:00:00 a 05:59:59,397149369.0
 10-2-2023,06:00:00 a 11:59:59,588878514.0
 10-2-2023,12:00:00 a 17:59:59,7942992.5
 10-2-2023,18:00:00 a 23:59:59,494404350.0
 11-2-2023,00:00:00 a 05:59:59,585431605.5
 11-2-2023,06:00:00 a 11:59:59,561723567.0
 11-2-2023,12:00:00 a 17:59:59,504339817.0
 11-2-2023,18:00:00 a 23:59:59,240805815.0
 12-2-2023,00:00:00 a 05:59:59,576035638.0
 12-2-2023,06:00:00 a 11:59:59,-1
 12-2-2023,12:00:00 a 17:59:59,461479151.0
 12-2-2023,18:00:00 a 23:59:59,456472126.5
 13-2-2023,00:00:00 a 05:59:59,567070241.0
 13-2-2023,06:00:00 a 11:59:59,-1
 13-2-2023,12:00:00 a 17:59:59,-1
 13-2-2023,18:00:00 a 23:59:59,-1
