Data,Intervalo,Vazao
5-1-2023,00:00:00 a 05:59:59,-1
 5-1-2023,06:00:00 a 11:59:59,-1
 5-1-2023,12:00:00 a 17:59:59,-1
 5-1-2023,18:00:00 a 23:59:59,919078656.0
 6-1-2023,00:00:00 a 05:59:59,923849224.0
 6-1-2023,06:00:00 a 11:59:59,921591741.0
 6-1-2023,12:00:00 a 17:59:59,902352437.0
 6-1-2023,18:00:00 a 23:59:59,935174610.0
 7-1-2023,00:00:00 a 05:59:59,937847921.0
 7-1-2023,06:00:00 a 11:59:59,937010886.0
 7-1-2023,12:00:00 a 17:59:59,915986564.0
 7-1-2023,18:00:00 a 23:59:59,885630167.0
 8-1-2023,00:00:00 a 05:59:59,910664552.5
 8-1-2023,06:00:00 a 11:59:59,899206978.0
 8-1-2023,12:00:00 a 17:59:59,914045146.5
 8-1-2023,18:00:00 a 23:59:59,928933524.0
 9-1-2023,00:00:00 a 05:59:59,390961659.0
 9-1-2023,06:00:00 a 11:59:59,934072971.5
 9-1-2023,12:00:00 a 17:59:59,935597689.0
 9-1-2023,18:00:00 a 23:59:59,936636619.0
 10-1-2023,00:00:00 a 05:59:59,904738987.5
 10-1-2023,06:00:00 a 11:59:59,931765425.0
 10-1-2023,12:00:00 a 17:59:59,930274170.0
 10-1-2023,18:00:00 a 23:59:59,937002457.0
 11-1-2023,00:00:00 a 05:59:59,911318872.5
 11-1-2023,06:00:00 a 11:59:59,936745369.0
 11-1-2023,12:00:00 a 17:59:59,937796477.0
 11-1-2023,18:00:00 a 23:59:59,925579469.5
 12-1-2023,00:00:00 a 05:59:59,917845457.0
 12-1-2023,06:00:00 a 11:59:59,937114198.0
 12-1-2023,12:00:00 a 17:59:59,931399215.0
 12-1-2023,18:00:00 a 23:59:59,933263226.5
 13-1-2023,00:00:00 a 05:59:59,937478622.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,937220087.0
 13-1-2023,18:00:00 a 23:59:59,930193140.0
 14-1-2023,00:00:00 a 05:59:59,923616062.0
 14-1-2023,06:00:00 a 11:59:59,937372921.0
 14-1-2023,12:00:00 a 17:59:59,937951723.5
 14-1-2023,18:00:00 a 23:59:59,935466242.5
 15-1-2023,00:00:00 a 05:59:59,-1
 15-1-2023,06:00:00 a 11:59:59,937430787.5
 15-1-2023,12:00:00 a 17:59:59,-1
 15-1-2023,18:00:00 a 23:59:59,927231952.5
 16-1-2023,00:00:00 a 05:59:59,910140284.0
 16-1-2023,06:00:00 a 11:59:59,927832656.0
 16-1-2023,12:00:00 a 17:59:59,896216966.0
 16-1-2023,18:00:00 a 23:59:59,936852475.0
 17-1-2023,00:00:00 a 05:59:59,934935900.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,901749917.5
 17-1-2023,18:00:00 a 23:59:59,-1
 18-1-2023,00:00:00 a 05:59:59,931661057.5
 18-1-2023,06:00:00 a 11:59:59,937217509.0
 18-1-2023,12:00:00 a 17:59:59,910072035.0
 18-1-2023,18:00:00 a 23:59:59,919757472.0
 19-1-2023,00:00:00 a 05:59:59,938164558.5
 19-1-2023,06:00:00 a 11:59:59,914207750.0
 19-1-2023,12:00:00 a 17:59:59,890924956.0
 19-1-2023,18:00:00 a 23:59:59,937376061.0
 20-1-2023,00:00:00 a 05:59:59,935645394.0
 20-1-2023,06:00:00 a 11:59:59,910189516.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,891185455.0
 21-1-2023,06:00:00 a 11:59:59,894725212.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,930240477.0
 22-1-2023,00:00:00 a 05:59:59,937848132.5
 22-1-2023,06:00:00 a 11:59:59,937846655.0
 22-1-2023,12:00:00 a 17:59:59,921698396.0
 22-1-2023,18:00:00 a 23:59:59,932842037.0
 23-1-2023,00:00:00 a 05:59:59,937009809.0
 23-1-2023,06:00:00 a 11:59:59,935835666.0
 23-1-2023,12:00:00 a 17:59:59,930088913.5
 23-1-2023,18:00:00 a 23:59:59,928823094.0
 24-1-2023,00:00:00 a 05:59:59,927609679.0
 24-1-2023,06:00:00 a 11:59:59,917037894.0
 24-1-2023,12:00:00 a 17:59:59,-1
 24-1-2023,18:00:00 a 23:59:59,890609450.0
 25-1-2023,00:00:00 a 05:59:59,927059910.0
 25-1-2023,06:00:00 a 11:59:59,937952638.0
 25-1-2023,12:00:00 a 17:59:59,937480075.0
 25-1-2023,18:00:00 a 23:59:59,936589628.0
 26-1-2023,00:00:00 a 05:59:59,-1
 26-1-2023,06:00:00 a 11:59:59,935693073.0
 26-1-2023,12:00:00 a 17:59:59,-1
 26-1-2023,18:00:00 a 23:59:59,923642695.0
 27-1-2023,00:00:00 a 05:59:59,908225125.5
 27-1-2023,06:00:00 a 11:59:59,933340064.0
 27-1-2023,12:00:00 a 17:59:59,935015665.0
 27-1-2023,18:00:00 a 23:59:59,911999751.0
 28-1-2023,00:00:00 a 05:59:59,862275973.0
 28-1-2023,06:00:00 a 11:59:59,914517433.0
 28-1-2023,12:00:00 a 17:59:59,925449302.0
 28-1-2023,18:00:00 a 23:59:59,885419433.0
 29-1-2023,00:00:00 a 05:59:59,938058622.0
 29-1-2023,06:00:00 a 11:59:59,934283925.0
 29-1-2023,12:00:00 a 17:59:59,937691947.0
 29-1-2023,18:00:00 a 23:59:59,937531707.0
 30-1-2023,00:00:00 a 05:59:59,928147648.0
 30-1-2023,06:00:00 a 11:59:59,920756242.0
 30-1-2023,12:00:00 a 17:59:59,922881878.0
 30-1-2023,18:00:00 a 23:59:59,798963721.0
 31-1-2023,00:00:00 a 05:59:59,930269911.0
 31-1-2023,06:00:00 a 11:59:59,930248338.0
 31-1-2023,12:00:00 a 17:59:59,936486060.0
 31-1-2023,18:00:00 a 23:59:59,902815697.5
 1-2-2023,00:00:00 a 05:59:59,912882975.0
 1-2-2023,06:00:00 a 11:59:59,926141863.0
 1-2-2023,12:00:00 a 17:59:59,930819984.0
 1-2-2023,18:00:00 a 23:59:59,917190478.0
 2-2-2023,00:00:00 a 05:59:59,936747149.0
 2-2-2023,06:00:00 a 11:59:59,890243027.0
 2-2-2023,12:00:00 a 17:59:59,-1
 2-2-2023,18:00:00 a 23:59:59,910166607.0
 3-2-2023,00:00:00 a 05:59:59,938242639.0
 3-2-2023,06:00:00 a 11:59:59,900201964.0
 3-2-2023,12:00:00 a 17:59:59,914728978.0
 3-2-2023,18:00:00 a 23:59:59,938267071.0
 4-2-2023,00:00:00 a 05:59:59,932191546.0
 4-2-2023,06:00:00 a 11:59:59,923967387.0
 4-2-2023,12:00:00 a 17:59:59,-1
 4-2-2023,18:00:00 a 23:59:59,924006372.0
 5-2-2023,00:00:00 a 05:59:59,931242021.0
 5-2-2023,06:00:00 a 11:59:59,907573693.5
 5-2-2023,12:00:00 a 17:59:59,900729215.0
 5-2-2023,18:00:00 a 23:59:59,935837001.5
 6-2-2023,00:00:00 a 05:59:59,922931514.5
 6-2-2023,06:00:00 a 11:59:59,937586715.0
 6-2-2023,12:00:00 a 17:59:59,934283925.0
 6-2-2023,18:00:00 a 23:59:59,890951329.0
 7-2-2023,00:00:00 a 05:59:59,937164143.0
 7-2-2023,06:00:00 a 11:59:59,935382969.0
 7-2-2023,12:00:00 a 17:59:59,893964675.0
 7-2-2023,18:00:00 a 23:59:59,935949765.0
 8-2-2023,00:00:00 a 05:59:59,922880172.0
 8-2-2023,06:00:00 a 11:59:59,910953360.0
 8-2-2023,12:00:00 a 17:59:59,927571906.0
 8-2-2023,18:00:00 a 23:59:59,927571999.0
 9-2-2023,00:00:00 a 05:59:59,921908639.0
 9-2-2023,06:00:00 a 11:59:59,911005652.0
 9-2-2023,12:00:00 a 17:59:59,922906658.0
 9-2-2023,18:00:00 a 23:59:59,911084485.5
 10-2-2023,00:00:00 a 05:59:59,932041224.0
 10-2-2023,06:00:00 a 11:59:59,930982297.0
 10-2-2023,12:00:00 a 17:59:59,-1
 10-2-2023,18:00:00 a 23:59:59,936168465.0
 11-2-2023,00:00:00 a 05:59:59,913310880.0
 11-2-2023,06:00:00 a 11:59:59,896062905.0
 11-2-2023,12:00:00 a 17:59:59,-1
 11-2-2023,18:00:00 a 23:59:59,864735546.5
 12-2-2023,00:00:00 a 05:59:59,909855445.0
 12-2-2023,06:00:00 a 11:59:59,900103804.0
 12-2-2023,12:00:00 a 17:59:59,937534426.0
 12-2-2023,18:00:00 a 23:59:59,880702240.0
 13-2-2023,00:00:00 a 05:59:59,935179669.0
 13-2-2023,06:00:00 a 11:59:59,904949166.0
 13-2-2023,12:00:00 a 17:59:59,931820183.0
 13-2-2023,18:00:00 a 23:59:59,-1
 14-2-2023,00:00:00 a 05:59:59,933629172.5
 14-2-2023,06:00:00 a 11:59:59,935961932.0
 14-2-2023,12:00:00 a 17:59:59,-1
 14-2-2023,18:00:00 a 23:59:59,932395410.0
 15-2-2023,00:00:00 a 05:59:59,896553250.0
 15-2-2023,06:00:00 a 11:59:59,924111738.0
 15-2-2023,12:00:00 a 17:59:59,902564499.0
 15-2-2023,18:00:00 a 23:59:59,912658010.5
 16-2-2023,00:00:00 a 05:59:59,911003603.0
 16-2-2023,06:00:00 a 11:59:59,-1
 16-2-2023,12:00:00 a 17:59:59,-1
 16-2-2023,18:00:00 a 23:59:59,-1
 17-2-2023,00:00:00 a 05:59:59,881382583.0
 17-2-2023,06:00:00 a 11:59:59,927886711.0
 17-2-2023,12:00:00 a 17:59:59,-1
 17-2-2023,18:00:00 a 23:59:59,937453673.0
 18-2-2023,00:00:00 a 05:59:59,923745567.0
 18-2-2023,06:00:00 a 11:59:59,917296944.0
 18-2-2023,12:00:00 a 17:59:59,-1
 18-2-2023,18:00:00 a 23:59:59,920337456.0
 19-2-2023,00:00:00 a 05:59:59,896275269.0
 19-2-2023,06:00:00 a 11:59:59,924636720.0
 19-2-2023,12:00:00 a 17:59:59,-1
 19-2-2023,18:00:00 a 23:59:59,898159164.0
 20-2-2023,00:00:00 a 05:59:59,883850853.0
 20-2-2023,06:00:00 a 11:59:59,928047664.0
 20-2-2023,12:00:00 a 17:59:59,-1
 20-2-2023,18:00:00 a 23:59:59,927466445.0
 21-2-2023,00:00:00 a 05:59:59,937009059.0
 21-2-2023,06:00:00 a 11:59:59,937427693.0
 21-2-2023,12:00:00 a 17:59:59,-1
 21-2-2023,18:00:00 a 23:59:59,927901372.0
 22-2-2023,00:00:00 a 05:59:59,931793622.5
 22-2-2023,06:00:00 a 11:59:59,921595704.0
 22-2-2023,12:00:00 a 17:59:59,-1
 22-2-2023,18:00:00 a 23:59:59,889244787.0
 23-2-2023,00:00:00 a 05:59:59,923378310.5
 23-2-2023,06:00:00 a 11:59:59,867376034.0
 23-2-2023,12:00:00 a 17:59:59,886335819.5
 23-2-2023,18:00:00 a 23:59:59,934886716.0
 24-2-2023,00:00:00 a 05:59:59,-1
 24-2-2023,06:00:00 a 11:59:59,936380170.0
 24-2-2023,12:00:00 a 17:59:59,-1
 24-2-2023,18:00:00 a 23:59:59,930218330.5
 25-2-2023,00:00:00 a 05:59:59,927939975.0
 25-2-2023,06:00:00 a 11:59:59,457704522.0
 25-2-2023,12:00:00 a 17:59:59,-1
 25-2-2023,18:00:00 a 23:59:59,512177612.5
 26-2-2023,00:00:00 a 05:59:59,-1
 26-2-2023,06:00:00 a 11:59:59,921598842.0
 26-2-2023,12:00:00 a 17:59:59,930562493.0
 26-2-2023,18:00:00 a 23:59:59,937586949.0
 27-2-2023,00:00:00 a 05:59:59,934543593.0
 27-2-2023,06:00:00 a 11:59:59,932971988.0
 27-2-2023,12:00:00 a 17:59:59,-1
 27-2-2023,18:00:00 a 23:59:59,937163769.0
 28-2-2023,00:00:00 a 05:59:59,934967465.0
 28-2-2023,06:00:00 a 11:59:59,935278906.0
 28-2-2023,12:00:00 a 17:59:59,703281364.0
 28-2-2023,18:00:00 a 23:59:59,890136744.0
 1-3-2023,00:00:00 a 05:59:59,936984483.5
 1-3-2023,06:00:00 a 11:59:59,937799425.0
 1-3-2023,12:00:00 a 17:59:59,920705010.0
 1-3-2023,18:00:00 a 23:59:59,900938481.0
 2-3-2023,00:00:00 a 05:59:59,903217504.0
 2-3-2023,06:00:00 a 11:59:59,916241265.0
 2-3-2023,12:00:00 a 17:59:59,929722327.0
 2-3-2023,18:00:00 a 23:59:59,935097270.0
 3-3-2023,00:00:00 a 05:59:59,938006568.0
 3-3-2023,06:00:00 a 11:59:59,912053848.5
 3-3-2023,12:00:00 a 17:59:59,-1
 3-3-2023,18:00:00 a 23:59:59,937323351.0
 4-3-2023,00:00:00 a 05:59:59,937535692.0
 4-3-2023,06:00:00 a 11:59:59,930453308.0
 4-3-2023,12:00:00 a 17:59:59,-1
 4-3-2023,18:00:00 a 23:59:59,607074992.5
 5-3-2023,00:00:00 a 05:59:59,-1
 5-3-2023,06:00:00 a 11:59:59,905251520.0
 5-3-2023,12:00:00 a 17:59:59,-1
 5-3-2023,18:00:00 a 23:59:59,933814539.0
 6-3-2023,00:00:00 a 05:59:59,916772517.0
 6-3-2023,06:00:00 a 11:59:59,921072658.0
 6-3-2023,12:00:00 a 17:59:59,-1
 6-3-2023,18:00:00 a 23:59:59,935383857.0
 7-3-2023,00:00:00 a 05:59:59,111673634.0
 7-3-2023,06:00:00 a 11:59:59,119081029.0
 7-3-2023,12:00:00 a 17:59:59,906600033.0
 7-3-2023,18:00:00 a 23:59:59,899205494.0
 8-3-2023,00:00:00 a 05:59:59,902695279.0
 8-3-2023,06:00:00 a 11:59:59,912944383.0
 8-3-2023,12:00:00 a 17:59:59,-1
 8-3-2023,18:00:00 a 23:59:59,937584324.0
 9-3-2023,00:00:00 a 05:59:59,929617924.0
 9-3-2023,06:00:00 a 11:59:59,935699553.0
 9-3-2023,12:00:00 a 17:59:59,888827268.0
 9-3-2023,18:00:00 a 23:59:59,901017583.0
 10-3-2023,00:00:00 a 05:59:59,860463014.0
 10-3-2023,06:00:00 a 11:59:59,927990548.0
 10-3-2023,12:00:00 a 17:59:59,-1
 10-3-2023,18:00:00 a 23:59:59,916719859.0
 11-3-2023,00:00:00 a 05:59:59,937062073.5
 11-3-2023,06:00:00 a 11:59:59,933443568.0
 11-3-2023,12:00:00 a 17:59:59,890348330.0
 11-3-2023,18:00:00 a 23:59:59,936641963.0
 12-3-2023,00:00:00 a 05:59:59,932611613.5
 12-3-2023,06:00:00 a 11:59:59,936484396.0
 12-3-2023,12:00:00 a 17:59:59,928409515.0
 12-3-2023,18:00:00 a 23:59:59,933493008.0
 13-3-2023,00:00:00 a 05:59:59,909357935.0
 13-3-2023,06:00:00 a 11:59:59,934965221.0
