Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,-1
 8-1-2023,18:00:00 a 23:59:59,584686927.0
 9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,645468873.67
 9-1-2023,12:00:00 a 17:59:59,776341510.5
 9-1-2023,18:00:00 a 23:59:59,606445172.0
 10-1-2023,00:00:00 a 05:59:59,710410964.0
 10-1-2023,06:00:00 a 11:59:59,765621862.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,-1
 11-1-2023,00:00:00 a 05:59:59,706216041.0
 11-1-2023,06:00:00 a 11:59:59,672714336.0
 11-1-2023,12:00:00 a 17:59:59,742655511.0
 11-1-2023,18:00:00 a 23:59:59,348712289.5
 12-1-2023,00:00:00 a 05:59:59,689125146.0
 12-1-2023,06:00:00 a 11:59:59,624637679.0
 12-1-2023,12:00:00 a 17:59:59,-1
 12-1-2023,18:00:00 a 23:59:59,601099197.0
 13-1-2023,00:00:00 a 05:59:59,765955858.0
 13-1-2023,06:00:00 a 11:59:59,602232756.67
 13-1-2023,12:00:00 a 17:59:59,138831802.0
 13-1-2023,18:00:00 a 23:59:59,342518879.0
 14-1-2023,00:00:00 a 05:59:59,696062392.67
 14-1-2023,06:00:00 a 11:59:59,603090717.0
 14-1-2023,12:00:00 a 17:59:59,742392624.0
 14-1-2023,18:00:00 a 23:59:59,718278347.33
 15-1-2023,00:00:00 a 05:59:59,677694601.0
 15-1-2023,06:00:00 a 11:59:59,718170276.0
 15-1-2023,12:00:00 a 17:59:59,774401546.0
 15-1-2023,18:00:00 a 23:59:59,732099815.0
 16-1-2023,00:00:00 a 05:59:59,636904998.0
 16-1-2023,06:00:00 a 11:59:59,646972403.5
 16-1-2023,12:00:00 a 17:59:59,695468762.0
 16-1-2023,18:00:00 a 23:59:59,784309275.0
 17-1-2023,00:00:00 a 05:59:59,701709129.0
 17-1-2023,06:00:00 a 11:59:59,756657397.0
 17-1-2023,12:00:00 a 17:59:59,585648268.33
 17-1-2023,18:00:00 a 23:59:59,764963189.0
 18-1-2023,00:00:00 a 05:59:59,612220664.0
 18-1-2023,06:00:00 a 11:59:59,504497176.0
 18-1-2023,12:00:00 a 17:59:59,739537916.0
 18-1-2023,18:00:00 a 23:59:59,699979428.0
 19-1-2023,00:00:00 a 05:59:59,627626382.0
 19-1-2023,06:00:00 a 11:59:59,719009966.5
 19-1-2023,12:00:00 a 17:59:59,-1
 19-1-2023,18:00:00 a 23:59:59,-1
 20-1-2023,00:00:00 a 05:59:59,715077618.0
 20-1-2023,06:00:00 a 11:59:59,722082546.0
 20-1-2023,12:00:00 a 17:59:59,-1
 20-1-2023,18:00:00 a 23:59:59,755288613.0
 21-1-2023,00:00:00 a 05:59:59,-1
 21-1-2023,06:00:00 a 11:59:59,686775112.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,785018031.0
 22-1-2023,00:00:00 a 05:59:59,764675424.0
 22-1-2023,06:00:00 a 11:59:59,-1
