Data,Intervalo,Vazao
10-2-2023,00:00:00 a 05:59:59,-1
 10-2-2023,06:00:00 a 11:59:59,-1
 10-2-2023,12:00:00 a 17:59:59,375241288.0
 10-2-2023,18:00:00 a 23:59:59,405544765.0
 11-2-2023,00:00:00 a 05:59:59,309233906.0
 11-2-2023,06:00:00 a 11:59:59,375446908.0
 11-2-2023,12:00:00 a 17:59:59,329078098.5
 11-2-2023,18:00:00 a 23:59:59,321290767.0
 12-2-2023,00:00:00 a 05:59:59,359670060.0
 12-2-2023,06:00:00 a 11:59:59,382634121.5
 12-2-2023,12:00:00 a 17:59:59,340690719.0
 12-2-2023,18:00:00 a 23:59:59,360631362.67
 13-2-2023,00:00:00 a 05:59:59,307503397.0
 13-2-2023,06:00:00 a 11:59:59,464842796.0
 13-2-2023,12:00:00 a 17:59:59,472864091.0
 13-2-2023,18:00:00 a 23:59:59,287423087.0
 14-2-2023,00:00:00 a 05:59:59,449376037.0
 14-2-2023,06:00:00 a 11:59:59,388659085.0
 14-2-2023,12:00:00 a 17:59:59,366013772.0
 14-2-2023,18:00:00 a 23:59:59,457183892.5
 15-2-2023,00:00:00 a 05:59:59,356577041.0
 15-2-2023,06:00:00 a 11:59:59,387453790.5
 15-2-2023,12:00:00 a 17:59:59,409364377.0
 15-2-2023,18:00:00 a 23:59:59,354007848.0
 16-2-2023,00:00:00 a 05:59:59,404636968.5
 16-2-2023,06:00:00 a 11:59:59,328658584.0
 16-2-2023,12:00:00 a 17:59:59,351753281.0
 16-2-2023,18:00:00 a 23:59:59,427460500.0
 17-2-2023,00:00:00 a 05:59:59,354216269.0
 17-2-2023,06:00:00 a 11:59:59,388033834.0
 17-2-2023,12:00:00 a 17:59:59,-1
 17-2-2023,18:00:00 a 23:59:59,453172624.0
 18-2-2023,00:00:00 a 05:59:59,309023517.0
 18-2-2023,06:00:00 a 11:59:59,307608178.0
 18-2-2023,12:00:00 a 17:59:59,333713871.0
 18-2-2023,18:00:00 a 23:59:59,389554368.0
 19-2-2023,00:00:00 a 05:59:59,331096574.5
