Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,-1
 8-1-2023,18:00:00 a 23:59:59,656199910.0
 9-1-2023,00:00:00 a 05:59:59,880616984.5
 9-1-2023,06:00:00 a 11:59:59,812708206.0
 9-1-2023,12:00:00 a 17:59:59,615202369.0
 9-1-2023,18:00:00 a 23:59:59,746875920.0
 10-1-2023,00:00:00 a 05:59:59,875927217.0
 10-1-2023,06:00:00 a 11:59:59,893939102.5
 10-1-2023,12:00:00 a 17:59:59,789999518.0
 10-1-2023,18:00:00 a 23:59:59,903295569.0
 11-1-2023,00:00:00 a 05:59:59,926682468.0
 11-1-2023,06:00:00 a 11:59:59,869402396.5
 11-1-2023,12:00:00 a 17:59:59,863869893.0
 11-1-2023,18:00:00 a 23:59:59,900362258.0
 12-1-2023,00:00:00 a 05:59:59,935217031.0
 12-1-2023,06:00:00 a 11:59:59,805648459.0
 12-1-2023,12:00:00 a 17:59:59,791939083.0
 12-1-2023,18:00:00 a 23:59:59,884685762.5
 13-1-2023,00:00:00 a 05:59:59,874777597.5
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,843399138.5
 13-1-2023,18:00:00 a 23:59:59,710411589.0
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,797547671.5
 14-1-2023,12:00:00 a 17:59:59,785911309.0
 14-1-2023,18:00:00 a 23:59:59,906816640.0
 15-1-2023,00:00:00 a 05:59:59,932605546.0
 15-1-2023,06:00:00 a 11:59:59,755498468.5
 15-1-2023,12:00:00 a 17:59:59,878341003.0
 15-1-2023,18:00:00 a 23:59:59,692764386.5
 16-1-2023,00:00:00 a 05:59:59,911369693.0
 16-1-2023,06:00:00 a 11:59:59,826175013.0
 16-1-2023,12:00:00 a 17:59:59,809502337.0
 16-1-2023,18:00:00 a 23:59:59,-1
 17-1-2023,00:00:00 a 05:59:59,820745448.5
 17-1-2023,06:00:00 a 11:59:59,150313286.0
 17-1-2023,12:00:00 a 17:59:59,256560811.5
 17-1-2023,18:00:00 a 23:59:59,649804399.0
 18-1-2023,00:00:00 a 05:59:59,876323281.0
 18-1-2023,06:00:00 a 11:59:59,699620996.0
 18-1-2023,12:00:00 a 17:59:59,245577481.0
 18-1-2023,18:00:00 a 23:59:59,454847272.0
 19-1-2023,00:00:00 a 05:59:59,824442591.0
 19-1-2023,06:00:00 a 11:59:59,379270716.0
 19-1-2023,12:00:00 a 17:59:59,337933889.5
 19-1-2023,18:00:00 a 23:59:59,744229309.0
 20-1-2023,00:00:00 a 05:59:59,594701157.0
 20-1-2023,06:00:00 a 11:59:59,566441654.0
 20-1-2023,12:00:00 a 17:59:59,557894832.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,759798779.5
 21-1-2023,06:00:00 a 11:59:59,882483856.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,935438531.0
 22-1-2023,00:00:00 a 05:59:59,913048236.0
 22-1-2023,06:00:00 a 11:59:59,903847145.5
