Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,-1
 8-1-2023,18:00:00 a 23:59:59,2896303356.0
 9-1-2023,00:00:00 a 05:59:59,1566049900.0
 9-1-2023,06:00:00 a 11:59:59,666947164.0
 9-1-2023,12:00:00 a 17:59:59,3551727552.0
 9-1-2023,18:00:00 a 23:59:59,5606126908.0
 10-1-2023,00:00:00 a 05:59:59,2150421058.0
 10-1-2023,06:00:00 a 11:59:59,2124966305.0
 10-1-2023,12:00:00 a 17:59:59,-1
 10-1-2023,18:00:00 a 23:59:59,2691650140.5
 11-1-2023,00:00:00 a 05:59:59,4199712398.0
 11-1-2023,06:00:00 a 11:59:59,2983525718.5
 11-1-2023,12:00:00 a 17:59:59,2932671782.5
 11-1-2023,18:00:00 a 23:59:59,1683127657.0
 12-1-2023,00:00:00 a 05:59:59,3630115811.0
 12-1-2023,06:00:00 a 11:59:59,4957882001.0
 12-1-2023,12:00:00 a 17:59:59,5449163507.0
 12-1-2023,18:00:00 a 23:59:59,3871469112.0
 13-1-2023,00:00:00 a 05:59:59,2775633655.0
 13-1-2023,06:00:00 a 11:59:59,1694866075.0
 13-1-2023,12:00:00 a 17:59:59,2826996923.5
 13-1-2023,18:00:00 a 23:59:59,-1
 14-1-2023,00:00:00 a 05:59:59,3954910823.0
 14-1-2023,06:00:00 a 11:59:59,2217161855.0
 14-1-2023,12:00:00 a 17:59:59,5013681224.0
 14-1-2023,18:00:00 a 23:59:59,5123621131.0
 15-1-2023,00:00:00 a 05:59:59,1334733591.0
 15-1-2023,06:00:00 a 11:59:59,2632763567.0
 15-1-2023,12:00:00 a 17:59:59,5736814396.5
 15-1-2023,18:00:00 a 23:59:59,2086038658.0
 16-1-2023,00:00:00 a 05:59:59,4549481513.5
 16-1-2023,06:00:00 a 11:59:59,1485543751.5
 16-1-2023,12:00:00 a 17:59:59,1212414545.0
 16-1-2023,18:00:00 a 23:59:59,-1
 17-1-2023,00:00:00 a 05:59:59,277873195.0
 17-1-2023,06:00:00 a 11:59:59,1946760808.0
 17-1-2023,12:00:00 a 17:59:59,7693873312.0
 17-1-2023,18:00:00 a 23:59:59,1776288707.5
 18-1-2023,00:00:00 a 05:59:59,4033944839.0
 18-1-2023,06:00:00 a 11:59:59,1929514119.0
 18-1-2023,12:00:00 a 17:59:59,2723736215.0
 18-1-2023,18:00:00 a 23:59:59,3589082057.5
 19-1-2023,00:00:00 a 05:59:59,5312879187.0
 19-1-2023,06:00:00 a 11:59:59,3241046961.0
 19-1-2023,12:00:00 a 17:59:59,2684803956.0
 19-1-2023,18:00:00 a 23:59:59,5302047725.0
 20-1-2023,00:00:00 a 05:59:59,3734455289.0
 20-1-2023,06:00:00 a 11:59:59,2121675512.0
 20-1-2023,12:00:00 a 17:59:59,593022957.0
 20-1-2023,18:00:00 a 23:59:59,-1
 21-1-2023,00:00:00 a 05:59:59,5870824822.0
 21-1-2023,06:00:00 a 11:59:59,3759101177.0
 21-1-2023,12:00:00 a 17:59:59,-1
 21-1-2023,18:00:00 a 23:59:59,3120477133.0
