Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,704643670.0
 8-1-2023,18:00:00 a 23:59:59,706742626.0
 9-1-2023,00:00:00 a 05:59:59,807876249.0
 9-1-2023,06:00:00 a 11:59:59,-1
 9-1-2023,12:00:00 a 17:59:59,-1
 9-1-2023,18:00:00 a 23:59:59,846564248.0
 10-1-2023,00:00:00 a 05:59:59,711195356.0
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,867165284.0
 10-1-2023,18:00:00 a 23:59:59,813339127.0
 11-1-2023,00:00:00 a 05:59:59,788574207.0
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,20919134.0
 11-1-2023,18:00:00 a 23:59:59,884879481.5
 12-1-2023,00:00:00 a 05:59:59,826766264.0
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,554855364.0
 12-1-2023,18:00:00 a 23:59:59,789110642.0
 13-1-2023,00:00:00 a 05:59:59,825283826.5
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,853235079.0
 13-1-2023,18:00:00 a 23:59:59,582852601.0
 14-1-2023,00:00:00 a 05:59:59,761300386.5
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,846149926.0
 14-1-2023,18:00:00 a 23:59:59,781953890.0
 15-1-2023,00:00:00 a 05:59:59,818362898.0
 15-1-2023,06:00:00 a 11:59:59,-1
 15-1-2023,12:00:00 a 17:59:59,885736575.0
 15-1-2023,18:00:00 a 23:59:59,830491428.0
 16-1-2023,00:00:00 a 05:59:59,793626253.0
 16-1-2023,06:00:00 a 11:59:59,720529250.0
 16-1-2023,12:00:00 a 17:59:59,815611521.5
 16-1-2023,18:00:00 a 23:59:59,384356468.5
 17-1-2023,00:00:00 a 05:59:59,-1
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,763994803.0
 17-1-2023,18:00:00 a 23:59:59,593232227.0
 18-1-2023,00:00:00 a 05:59:59,831419859.0
 18-1-2023,06:00:00 a 11:59:59,694318694.0
 18-1-2023,12:00:00 a 17:59:59,801478985.0
 18-1-2023,18:00:00 a 23:59:59,894909066.0
 19-1-2023,00:00:00 a 05:59:59,815217408.0
 19-1-2023,06:00:00 a 11:59:59,754514196.0
 19-1-2023,12:00:00 a 17:59:59,610325471.5
 19-1-2023,18:00:00 a 23:59:59,892838343.0
 20-1-2023,00:00:00 a 05:59:59,-1
 20-1-2023,06:00:00 a 11:59:59,886894472.0
 20-1-2023,12:00:00 a 17:59:59,852546336.0
 20-1-2023,18:00:00 a 23:59:59,862403000.5
 21-1-2023,00:00:00 a 05:59:59,654522873.0
 21-1-2023,06:00:00 a 11:59:59,824919771.0
 21-1-2023,12:00:00 a 17:59:59,790941786.0
 21-1-2023,18:00:00 a 23:59:59,893021670.0
 22-1-2023,00:00:00 a 05:59:59,831733182.5
 22-1-2023,06:00:00 a 11:59:59,883686054.0
