Data,Intervalo,Vazao
6-1-2023,00:00:00 a 05:59:59,855956868.0
 6-1-2023,06:00:00 a 11:59:59,829527685.0
 6-1-2023,12:00:00 a 17:59:59,850868441.0
 6-1-2023,18:00:00 a 23:59:59,847670618.0
 7-1-2023,00:00:00 a 05:59:59,842078222.5
 7-1-2023,06:00:00 a 11:59:59,-1
 7-1-2023,12:00:00 a 17:59:59,844679340.0
 7-1-2023,18:00:00 a 23:59:59,549244301.0
 8-1-2023,00:00:00 a 05:59:59,737963334.0
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,856792392.0
 8-1-2023,18:00:00 a 23:59:59,859282075.5
 9-1-2023,00:00:00 a 05:59:59,860777114.0
 9-1-2023,06:00:00 a 11:59:59,869591954.0
 9-1-2023,12:00:00 a 17:59:59,880381196.0
 9-1-2023,18:00:00 a 23:59:59,733087086.5
 10-1-2023,00:00:00 a 05:59:59,865623927.5
 10-1-2023,06:00:00 a 11:59:59,891237705.0
 10-1-2023,12:00:00 a 17:59:59,882430059.0
 10-1-2023,18:00:00 a 23:59:59,805272383.0
 11-1-2023,00:00:00 a 05:59:59,873201925.0
 11-1-2023,06:00:00 a 11:59:59,901933864.0
 11-1-2023,12:00:00 a 17:59:59,3354851.0
 11-1-2023,18:00:00 a 23:59:59,-1
 12-1-2023,00:00:00 a 05:59:59,840589395.0
 12-1-2023,06:00:00 a 11:59:59,866203849.0
 12-1-2023,12:00:00 a 17:59:59,878732669.5
 12-1-2023,18:00:00 a 23:59:59,892497381.0
 13-1-2023,00:00:00 a 05:59:59,870395987.0
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,828246391.0
 13-1-2023,18:00:00 a 23:59:59,872573521.0
 14-1-2023,00:00:00 a 05:59:59,857333315.0
 14-1-2023,06:00:00 a 11:59:59,881144552.0
 14-1-2023,12:00:00 a 17:59:59,880168225.0
 14-1-2023,18:00:00 a 23:59:59,830238952.5
 15-1-2023,00:00:00 a 05:59:59,697878814.0
 15-1-2023,06:00:00 a 11:59:59,857169548.0
 15-1-2023,12:00:00 a 17:59:59,908540764.0
 15-1-2023,18:00:00 a 23:59:59,896717728.0
 16-1-2023,00:00:00 a 05:59:59,747342978.0
 16-1-2023,06:00:00 a 11:59:59,868934108.0
 16-1-2023,12:00:00 a 17:59:59,839492757.0
 16-1-2023,18:00:00 a 23:59:59,863190097.0
 17-1-2023,00:00:00 a 05:59:59,665611247.5
 17-1-2023,06:00:00 a 11:59:59,874225773.5
 17-1-2023,12:00:00 a 17:59:59,34550631.0
 17-1-2023,18:00:00 a 23:59:59,841168844.0
 18-1-2023,00:00:00 a 05:59:59,828446972.0
 18-1-2023,06:00:00 a 11:59:59,891027277.0
 18-1-2023,12:00:00 a 17:59:59,-1
 18-1-2023,18:00:00 a 23:59:59,-1
 19-1-2023,00:00:00 a 05:59:59,-1
 19-1-2023,06:00:00 a 11:59:59,841281063.0
 19-1-2023,12:00:00 a 17:59:59,863766497.5
 19-1-2023,18:00:00 a 23:59:59,894385427.33
 20-1-2023,00:00:00 a 05:59:59,-1
 20-1-2023,06:00:00 a 11:59:59,883949479.0
 20-1-2023,12:00:00 a 17:59:59,854064340.0
 20-1-2023,18:00:00 a 23:59:59,580230556.5
